date,product_id,product_name,product_quantity,total_amount,discount_applied,tax_amount,transaction_count,region
2024-01-01,P000244,KrogerBrand Cheese,1,10.42,0.49,1.12,1,EU
2024-01-01,P000248,Nike Bag,1,319.2,15.0,34.2,1,EU
2024-01-01,P000263,Kenwood Chair,2,678.41,0.0,72.69,1,EU
2024-01-01,P000266,LG Headphones,1,3540.0,0.0,540.0,1,AU
2024-01-01,P000267,TraderJoes Cereal,3,165.0,0.0,15.0,1,US
2024-01-01,P000269,Hamilton Beach Cookware,5,2398.54,0.0,256.99,1,UK
2024-01-01,P000271,Uniqlo Jacket,1,180.55,0.0,27.54,1,IN
2024-01-01,P000293,Zara Dress,1,93.09,1.7,9.97,1,UK
2024-01-01,P000299,Nike Shoes,1,47.18,2.1,7.2,1,AU
2024-01-01,P000302,Samsung Phone,1,1265.76,23.48,115.07,1,US
2024-01-01,P000304,Philips Cookware,1,129.48,6.08,13.87,1,EU
2024-01-01,P000305,L'Oreal Cream,1,54.87,0.0,5.88,1,EU
2024-01-01,P000319,Uniqlo Watch,1,60.5,2.7,9.23,1,IN
2024-01-01,P000320,TraderJoes Chocolate,1,56.0,0.0,6.0,1,UK
2024-01-01,P000326,Hamilton Beach Vacuum,1,509.18,24.36,46.29,1,US
2024-01-01,P000334,Samsung Microwave,1,307.83,5.61,32.98,1,UK
2024-01-01,P000339,KrogerBrand Chocolate,1,34.89,0.0,3.74,1,UK
2024-01-01,P000352,Zara Dress,1,155.92,2.84,16.71,1,UK
2024-01-01,P000357,Lenovo Speaker,1,3300.0,0.0,300.0,1,US
2024-01-01,P000365,Whirlpool Washing Machine,1,2750.0,0.0,250.0,1,US
2024-01-01,P000374,Under Armour Dress,1,106.9,10.8,9.72,1,US
2024-01-01,P000375,NaturesBest Chocolate,1,59.0,0.0,9.0,1,IN
2024-01-01,P000384,Levi's Shoes,1,194.16,3.54,20.8,1,UK
2024-01-01,P000387,Gucci Jacket,1,315.67,0.0,28.7,1,US
2024-01-01,P000388,TraderJoes Chocolate,1,24.86,0.0,2.66,1,EU
2024-01-01,P000411,Adidas Running Shoes,1,87.39,1.62,7.94,1,US
2024-01-01,P000412,HP Laptop,1,760.82,0.0,81.52,1,EU
2024-01-01,P000416,Hamilton Beach Cookware,1,547.42,0.0,58.65,1,UK
2024-01-01,P000418,Samsung Microwave,1,301.93,0.0,46.06,1,IN
2024-01-01,P000421,H&M Watch,1,271.56,5.04,24.69,1,US
2024-01-01,P000453,Dell Tablet,1,2512.76,0.0,383.3,1,AU
2024-01-01,P000457,HP Monitor,1,3002.4,54.71,321.69,1,UK
2024-01-01,P000457,HP Monitor,1,2948.78,54.71,268.07,1,US
2024-01-01,P000481,Sony Speaker,1,2226.02,0.0,202.37,1,US
2024-01-01,P000503,Panasonic Speaker,1,398.53,17.78,60.79,1,IN
2024-01-01,P000504,Philips Chair,3,1808.39,80.66,275.86,1,IN
2024-01-01,P000506,TraderJoes Chocolate,1,55.0,0.0,5.0,1,US
2024-01-01,P000510,Apple Phone,1,1654.44,0.0,177.26,1,EU
2024-01-01,P000512,Samsung Washing Machine,1,864.46,15.75,92.62,1,UK
2024-01-01,P000513,LG Monitor,1,3300.0,0.0,300.0,1,US
2024-01-01,P000524,KrogerBrand Cereal,2,38.66,0.0,4.14,2,EU
2024-01-01,P000525,LG Phone,1,861.52,0.0,78.32,1,US
2024-01-01,P000530,Lego Action Figure,1,106.43,0.0,11.4,1,EU
2024-01-01,P000548,Samsung Speaker,1,3300.0,0.0,300.0,1,US
2024-01-01,P000549,Under Armour Sunglasses,1,330.0,0.0,30.0,1,US
2024-01-01,P000551,Nike Bag,1,288.66,18.41,44.03,1,AU
2024-01-01,P000561,Prada Jacket,1,51.2,0.0,5.49,1,UK
2024-01-01,P000567,GenericBrandB Umbrella,1,178.01,0.0,16.18,1,US
2024-01-01,P000568,Bose Tablet,1,2007.84,0.0,215.13,1,UK
2024-01-01,P000570,Bose Phone,1,3192.0,150.0,342.0,1,EU
2024-01-01,P000571,Levi's Bag,1,330.0,0.0,30.0,1,US
2024-01-01,P000574,Bose Tablet,2,6585.6,120.0,705.6,1,UK
2024-01-01,P000576,Prada Bag,1,336.3,15.0,51.3,1,IN
2024-01-01,P000594,KrogerBrand Cereal,1,29.31,1.31,4.47,1,IN
2024-01-01,P000606,LG Speaker,1,1586.58,0.0,242.02,1,AU
2024-01-01,P000610,KrogerBrand Cereal,1,29.03,0.0,4.43,1,IN
2024-01-01,P000624,Nike Dress,1,91.59,1.58,13.97,1,IN
2024-01-01,P000625,NaturesBest Milk,2,24.81,0.45,2.66,1,EU
2024-01-01,P000625,NaturesBest Milk,1,13.06,0.23,1.99,1,IN
2024-01-01,P000627,Nike Shoes,1,34.8,0.0,3.73,1,EU
2024-01-01,P000628,Lenovo Camera,1,1478.97,0.0,134.45,1,US
2024-01-01,P000637,TraderJoes Snack Pack,1,56.05,2.5,8.55,1,IN
2024-01-01,P000646,Mobil Oil Filter,2,313.86,14.0,47.88,1,IN
2024-01-01,P000648,Zara Shoes,1,57.21,1.04,6.13,1,EU
2024-01-01,P000653,NaturesBest Cheese,2,78.52,1.36,11.98,1,IN
2024-01-01,P000664,WholeFoods Juice,3,48.51,0.9,4.41,1,US
2024-01-01,P000671,Dell Monitor,2,1069.48,47.7,163.14,2,IN
2024-01-01,P000673,Hasbro Doll,1,43.41,0.0,6.62,1,IN
2024-01-01,P000686,HP Monitor,1,3360.0,0.0,360.0,1,UK
2024-01-01,P000688,Under Armour Shirt,1,165.45,0.0,15.04,1,US
2024-01-01,P000696,Under Armour Bag,1,175.81,17.44,18.84,1,EU
2024-01-01,P000696,Under Armour Bag,1,181.66,12.21,19.46,1,UK
2024-01-01,P000696,Under Armour Bag,1,191.85,0.0,17.44,1,US
2024-01-01,P000702,Zara Watch,1,336.0,0.0,36.0,1,UK
2024-01-01,P000706,KrogerBrand Juice,1,23.25,0.0,2.49,1,EU
2024-01-01,P000706,KrogerBrand Juice,1,22.78,0.42,2.44,1,UK
2024-01-01,P000740,KrogerBrand Juice,1,37.05,0.64,5.65,1,IN
2024-01-01,P000740,KrogerBrand Juice,3,105.73,0.0,9.61,1,US
2024-01-01,P000756,Bose Laptop,1,764.2,13.93,81.88,1,EU
2024-01-01,P000768,Random House Biography,3,52.14,5.17,5.59,1,EU
2024-01-01,P000781,Under Armour Watch,2,296.01,6.43,45.16,2,IN
2024-01-01,P000781,Under Armour Watch,2,270.87,15.43,29.020000000000003,2,UK
2024-01-01,P000788,Samsung Tablet,1,2221.72,0.0,238.04,1,EU
2024-01-01,P000792,Gucci Shoes,1,106.71,0.0,11.43,1,UK
2024-01-01,P000798,Puma Shirt,2,399.21,18.76,42.77,1,EU
2024-01-01,P000798,Puma Shirt,1,206.36,0.0,18.76,1,US
2024-01-01,P000802,Decathlon Helmet,1,448.0,0.0,48.0,1,UK
2024-01-01,P000805,Uniqlo Shoes,1,61.78,0.0,5.62,1,US
2024-01-01,P000807,Bose Headphones,1,3292.8,60.0,352.8,1,UK
2024-01-01,P000808,Philips Blender,1,287.78,27.1,43.9,1,AU
2024-01-01,P000814,Nivea Shampoo,1,44.62,0.81,4.78,1,UK
2024-01-01,P000823,Purina Pet Toy,1,212.8,10.0,22.8,1,UK
2024-01-01,P000836,KrogerBrand Milk,1,14.84,0.0,1.59,1,EU
2024-01-01,P000837,Lenovo Headphones,1,3292.8,60.0,352.8,1,UK
2024-01-01,P000840,Pedigree Dog Food,1,209.0,10.0,19.0,1,US
2024-01-01,P000844,Samsung Laptop,1,896.16,0.0,81.47,1,US
2024-01-01,P000845,Puma Watch,2,429.16,42.58,45.98,1,UK
2024-01-01,P000860,Pampers Stroller,1,56.64,2.66,6.07,1,EU
2024-01-01,P000874,Samsung Laptop,1,1526.02,27.81,163.5,1,EU
2024-01-01,P000878,Zara Bag,1,354.0,0.0,54.0,1,IN
2024-01-01,P000886,BIC Notebook,2,50.07,0.87,7.64,1,IN
2024-01-01,P000888,Sephora Mascara,1,51.19,0.89,7.81,1,IN
2024-01-01,P000892,Nike Bag,1,114.46,5.11,17.46,1,AU
2024-01-01,P000892,Nike Bag,1,114.36,0.0,12.25,1,UK
2024-01-01,P000896,WholeFoods Chocolate,1,56.0,0.0,6.0,1,UK
2024-01-01,P000900,NaturesBest Snack Pack,1,15.31,0.0,1.64,1,EU
2024-01-01,P000903,KrogerBrand Juice,3,15.42,0.0,1.65,1,UK
2024-01-01,P000917,Nivea Foundation,1,41.49,0.0,6.33,1,IN
2024-01-01,P000923,Bose Tablet,1,3151.99,0.0,337.71,1,UK
2024-01-01,P000927,West Elm Wardrobe,1,1697.09,0.0,154.28,1,US
2024-01-01,P000935,CVSBrand First Aid Kit,1,152.83,15.44,13.89,1,US
2024-01-01,P000940,Lego Action Figure,1,218.8,3.99,23.44,1,UK
2024-01-01,P000971,Panasonic Monitor,1,754.41,0.0,80.83,1,UK
2024-01-01,P000971,Panasonic Monitor,1,740.94,0.0,67.36,1,US
2024-01-01,P000974,Gucci Sunglasses,2,398.30999999999995,3.66,36.21,2,US
2024-01-01,P000978,Whirlpool Refrigerator,1,1254.73,0.0,114.07,1,US
2024-01-01,P000990,Hamilton Beach Table,1,594.0,60.0,54.0,1,US
2024-01-01,P000994,Bose Phone,1,541.61,0.0,82.62,1,IN
2024-01-01,P000994,Bose Phone,3,1388.44,114.75,126.22,2,US
2024-01-01,P000998,Panasonic Monitor,2,6468.0,120.0,588.0,1,US
2024-01-01,P001006,Adidas Bag,1,336.0,0.0,36.0,1,UK
2024-01-01,P001006,Adidas Bag,2,660.0,0.0,60.0,2,US
2024-01-01,P001016,Columbia Sleeping Bag,1,22.4,0.0,2.4,1,UK
2024-01-01,P001017,Lego Board Game,1,219.52,4.0,23.52,1,EU
2024-01-01,P001017,Lego Board Game,1,236.0,0.0,36.0,1,IN
2024-01-01,P001024,Sony Camera,1,773.95,0.0,82.92,1,UK
2024-01-01,P001028,Johnson&Johnson First Aid Kit,1,236.0,0.0,36.0,1,AU
2024-01-01,P001039,IKEA Bed,1,1116.6,175.94,119.64,1,UK
2024-01-01,P001042,Panasonic Monitor,1,1015.27,0.0,108.78,1,UK
2024-01-01,P001047,Yonex Helmet,1,120.9,0.0,12.95,1,UK
2024-01-01,P001055,Nike Sunglasses,1,297.0,30.0,27.0,1,US
2024-01-01,P001060,NaturesBest Chocolate,1,56.0,0.0,6.0,1,EU
2024-01-01,P001070,TraderJoes Snack Pack,1,10.82,0.2,1.16,1,UK
2024-01-01,P001077,Lenovo Phone,1,789.61,0.0,84.6,1,EU
2024-01-01,P001081,NaturesBest Cereal,3,122.5,11.54,18.69,1,AU
2024-01-01,P001082,Puma Shoes,2,672.0,0.0,72.0,1,EU
2024-01-01,P001091,KrogerBrand Cereal,1,37.57,0.0,3.42,1,US
2024-01-01,P001101,Yonex Tennis Racket,2,177.86,0.0,19.06,1,UK
2024-01-01,P001123,Philips Tablet,1,1347.39,63.32,144.36,1,EU
2024-01-01,P001133,Hamilton Beach Lamp,1,638.4,30.0,68.4,1,EU
2024-01-01,P001134,Adidas Jacket,1,288.65,4.99,44.03,1,IN
2024-01-01,P001139,Maybelline Shampoo,1,175.45,0.0,18.8,1,EU
2024-01-01,P001143,NaturesBest Cheese,5,269.5,5.0,24.5,1,US
2024-01-01,P001146,CVSBrand First Aid Kit,1,99.78,0.0,9.07,1,US
2024-01-01,P001158,Whirlpool Coffee Maker,1,2950.0,0.0,450.0,1,IN
2024-01-01,P001182,Nike Bag,1,231.56,0.0,35.32,1,AU
2024-01-01,P001190,Nike Shoes,2,672.6,30.0,102.6,2,IN
2024-01-01,P001192,KrogerBrand Chocolate,1,16.28,1.62,1.74,1,EU
2024-01-01,P001195,The Body Shop Cream,1,236.0,0.0,36.0,1,IN
2024-01-02,P000007,KrogerBrand Cheese,2,23.39,3.5,3.57,1,AU
2024-01-02,P000010,TraderJoes Cereal,1,53.1,5.0,8.1,1,IN
2024-01-02,P000011,LG Monitor,1,3150.78,0.0,480.63,1,IN
2024-01-02,P000014,KrogerBrand Cheese,6,302.4,30.0,32.4,1,UK
2024-01-02,P000018,Samsung Washing Machine,1,2654.78,0.0,241.34,1,US
2024-01-02,P000019,Adidas Basketball,1,448.0,0.0,48.0,1,EU
2024-01-02,P000021,Samsung Monitor,1,325.33,5.63,49.63,1,IN
2024-01-02,P000021,Samsung Monitor,1,309.46,0.0,28.13,1,US
2024-01-02,P000025,WholeFoods Juice,3,46.8,0.0,5.01,1,UK
2024-01-02,P000030,NaturesBest Cheese,4,67.43,0.62,6.13,2,US
2024-01-02,P000031,Nike Basketball,1,193.94,0.0,29.58,1,IN
2024-01-02,P000039,TraderJoes Cereal,1,10.04,0.0,1.08,1,EU
2024-01-02,P000039,TraderJoes Cereal,1,8.67,1.08,0.79,1,US
2024-01-02,P000046,Prada Watch,1,193.37,0.0,29.5,1,AU
2024-01-02,P000051,Johnson&Johnson Baby Monitor,2,112.32,2.05,12.03,1,UK
2024-01-02,P000054,GE Refrigerator,1,2800.0,0.0,300.0,1,UK
2024-01-02,P000058,Lenovo Headphones,2,4131.36,0.0,375.58,1,US
2024-01-02,P000062,KrogerBrand Milk,3,34.79,0.65,3.16,1,US
2024-01-02,P000069,3M Car Cover,1,452.05,0.0,68.96,1,IN
2024-01-02,P000070,Whirlpool Toaster,2,5500.0,0.0,500.0,1,US
2024-01-02,P000087,Uniqlo Sunglasses,1,91.63,9.09,9.82,1,EU
2024-01-02,P000089,KrogerBrand Chocolate,1,31.62,0.0,4.82,1,AU
2024-01-02,P000095,Lenovo Phone,1,1925.77,0.0,293.76,1,IN
2024-01-02,P000095,Lenovo Phone,1,1705.45,81.6,155.04,1,US
2024-01-02,P000101,GE Refrigerator,1,1046.35,0.0,112.11,1,EU
2024-01-02,P000102,TraderJoes Chocolate,1,56.0,0.0,6.0,1,UK
2024-01-02,P000111,Lenovo Camera,1,1475.9,0.0,225.14,1,AU
2024-01-02,P000115,TraderJoes Juice,1,10.69,0.2,0.97,1,US
2024-01-02,P000126,Sephora Shampoo,1,147.96,0.0,22.57,1,IN
2024-01-02,P000126,Sephora Shampoo,1,135.17,2.51,12.29,1,US
2024-01-02,P000160,Sephora Lipstick,1,37.57,1.8,3.42,1,US
2024-01-02,P000179,CVSBrand Bandages,2,401.88,0.0,43.06,1,UK
2024-01-02,P000180,Whirlpool Refrigerator,1,315.47,5.75,33.8,1,UK
2024-01-02,P000187,Lego Board Game,1,215.16,0.0,19.56,1,US
2024-01-02,P000194,Dove Perfume,1,201.6,20.0,21.6,1,UK
2024-01-02,P000196,Philips Phone,1,924.02,15.98,140.95,1,IN
2024-01-02,P000209,Gucci Bag,1,148.38,0.0,22.63,1,IN
2024-01-02,P000211,Uniqlo Bag,1,154.06,2.81,16.51,1,UK
2024-01-02,P000216,TraderJoes Cheese,2,115.64,2.0,17.64,1,AU
2024-01-02,P000216,TraderJoes Cheese,1,57.82,1.0,8.82,1,IN
2024-01-02,P000222,Philips Tablet,1,1942.13,0.0,296.26,1,AU
2024-01-02,P000228,NaturesBest Chocolate,1,41.72,4.82,6.36,1,IN
2024-01-02,P000238,Lenovo Laptop,1,709.6,0.0,64.51,1,US
2024-01-02,P000248,Nike Bag,1,330.0,0.0,30.0,1,US
2024-01-02,P000261,Samsung Camera,1,641.43,30.69,58.31,1,US
2024-01-02,P000262,Puma Sunglasses,2,486.53,22.86,52.13,1,EU
2024-01-02,P000278,Puma Yoga Mat,1,197.01,24.42,17.91,1,US
2024-01-02,P000293,Zara Dress,1,95.0,0.0,10.18,1,EU
2024-01-02,P000293,Zara Dress,1,93.3,0.0,8.48,1,US
2024-01-02,P000313,Whirlpool Toaster,1,2950.0,0.0,450.0,1,AU
2024-01-02,P000318,L'Oreal Mascara,1,114.78,0.0,12.3,1,EU
2024-01-02,P000320,TraderJoes Chocolate,1,57.82,1.0,8.82,1,IN
2024-01-02,P000335,Zara Dress,1,137.45,0.0,12.5,1,US
2024-01-02,P000341,Nike Shirt,1,264.49,0.0,40.35,1,IN
2024-01-02,P000348,Adidas Bag,1,40.91,1.96,3.72,1,US
2024-01-02,P000350,Adidas Dress,1,354.0,0.0,54.0,1,IN
2024-01-02,P000363,Apple Speaker,1,2336.78,0.0,250.37,1,UK
2024-01-02,P000371,Dove Cream,2,448.4,20.0,68.4,1,IN
2024-01-02,P000372,TraderJoes Cheese,1,36.7,1.72,3.93,1,UK
2024-01-02,P000379,NaturesBest Milk,1,50.13,2.4,4.56,1,US
2024-01-02,P000387,Gucci Jacket,1,338.62,0.0,51.65,1,IN
2024-01-02,P000391,TraderJoes Milk,1,56.0,0.0,6.0,1,EU
2024-01-02,P000397,Bose Camera,1,1899.04,0.0,172.64,1,US
2024-01-02,P000398,LG Tablet,1,2714.22,0.0,246.75,1,US
2024-01-02,P000435,Whirlpool Microwave,1,1470.07,26.79,157.51,1,UK
2024-01-02,P000437,Maybelline Shampoo,1,123.97,0.0,18.91,1,IN
2024-01-02,P000440,Bose Phone,1,3540.0,0.0,540.0,1,IN
2024-01-02,P000446,TraderJoes Juice,3,51.05,0.0,4.64,1,US
2024-01-02,P000453,Dell Tablet,1,2295.56,42.59,208.69,1,US
2024-01-02,P000457,HP Monitor,1,3163.24,54.71,482.53,1,AU
2024-01-02,P000457,HP Monitor,2,6017.92,0.0,547.08,1,US
2024-01-02,P000463,Puma Tennis Racket,1,472.0,0.0,72.0,1,IN
2024-01-02,P000466,GE Toaster,1,190.78,0.0,17.34,1,US
2024-01-02,P000474,Puma Jacket,1,101.44,0.0,10.87,1,EU
2024-01-02,P000474,Puma Jacket,1,101.44,0.0,10.87,1,UK
2024-01-02,P000478,Maybelline Lipstick,1,56.72,2.53,8.65,1,IN
2024-01-02,P000487,Gucci Shirt,1,13.95,1.61,2.13,1,IN
2024-01-02,P000527,Yonex Yoga Mat,1,448.0,0.0,48.0,1,UK
2024-01-02,P000536,Lenovo Speaker,1,2989.4,190.68,456.01,1,IN
2024-01-02,P000540,Adidas Shirt,1,330.0,0.0,30.0,1,US
2024-01-02,P000549,Under Armour Sunglasses,1,336.3,15.0,51.3,1,AU
2024-01-02,P000550,Apple Headphones,2,638.78,11.85,58.07,1,US
2024-01-02,P000559,LG Tablet,2,1967.01,92.44,210.75,1,UK
2024-01-02,P000572,Apple Monitor,1,876.56,0.0,93.92,1,UK
2024-01-02,P000575,L'Oreal Cream,1,57.87,0.0,8.83,1,IN
2024-01-02,P000576,Prada Bag,1,336.3,15.0,51.3,1,IN
2024-01-02,P000582,Samsung Speaker,1,718.14,0.0,76.94,1,UK
2024-01-02,P000589,Dell Laptop,1,2339.27,42.62,250.64,1,UK
2024-01-02,P000609,Nivea Mascara,2,163.18,0.0,17.48,1,UK
2024-01-02,P000610,KrogerBrand Cereal,3,74.39,7.38,7.97,1,UK
2024-01-02,P000639,Hamilton Beach Vacuum,1,196.87,9.25,21.09,1,EU
2024-01-02,P000656,Johnson&Johnson Protein Powder,1,50.34,0.87,7.68,1,IN
2024-01-02,P000664,WholeFoods Juice,2,32.34,0.6,2.94,1,US
2024-01-02,P000673,Hasbro Doll,2,85.09,1.47,12.98,1,AU
2024-01-02,P000678,NaturesBest Cheese,2,99.0,10.0,9.0,1,US
2024-01-02,P000694,Philips Table,3,1940.4,36.0,176.4,1,US
2024-01-02,P000698,LG Speaker,1,2029.72,35.1,309.62,1,AU
2024-01-02,P000702,Zara Watch,1,346.92,6.0,52.92,1,IN
2024-01-02,P000704,Uniqlo Watch,1,354.0,0.0,54.0,1,IN
2024-01-02,P000732,HarperCollins Biography,1,40.34,0.0,4.32,1,UK
2024-01-02,P000737,Hamilton Beach Chair,2,958.84,16.58,146.26,1,IN
2024-01-02,P000751,Purina Leash,1,220.0,0.0,20.0,1,US
2024-01-02,P000752,Hasbro Action Figure,1,233.18,0.0,35.57,1,AU
2024-01-02,P000754,Apple Speaker,2,785.23,0.0,84.13,1,EU
2024-01-02,P000755,Adidas Jacket,2,462.23,26.83,42.019999999999996,2,US
2024-01-02,P000761,Instant Pot Knife Set,1,266.74,0.0,40.69,1,IN
2024-01-02,P000777,LG Headphones,1,3135.0,150.0,285.0,1,US
2024-01-02,P000781,Under Armour Watch,1,141.5,0.0,12.86,1,US
2024-01-02,P000794,Levi's Watch,1,132.45,15.31,20.2,1,AU
2024-01-02,P000794,Levi's Watch,1,142.87,0.0,15.31,1,EU
2024-01-02,P000810,Zara Sunglasses,1,303.86,14.28,32.56,1,EU
2024-01-02,P000813,Philips Blender,2,993.43,0.0,90.31,1,US
2024-01-02,P000815,Tiffany Earrings,1,5323.91,0.0,570.42,1,UK
2024-01-02,P000822,Staples Notebook,1,25.64,0.0,3.91,1,IN
2024-01-02,P000835,Hamilton Beach Vacuum,1,70.6,0.0,7.56,1,UK
2024-01-02,P000849,Puma Dress,1,45.31,2.02,6.91,1,IN
2024-01-02,P000864,Uniqlo Dress,1,319.2,15.0,34.2,1,EU
2024-01-02,P000864,Uniqlo Dress,1,336.0,0.0,36.0,1,UK
2024-01-02,P000872,Bose Phone,2,4008.65,74.37,364.42,1,US
2024-01-02,P000882,Zara Dress,1,354.0,0.0,54.0,1,IN
2024-01-02,P000883,KrogerBrand Milk,1,54.88,1.0,5.88,1,EU
2024-01-02,P000891,NaturesBest Juice,1,37.71,0.0,4.04,1,EU
2024-01-02,P000898,Puma Sunglasses,1,107.97,1.87,16.47,1,IN
2024-01-02,P000912,Levi's Bag,1,211.14,0.0,22.62,1,UK
2024-01-02,P000922,LG Speaker,1,2064.77,0.0,187.71,1,US
2024-01-02,P000928,Lego Doll,1,112.32,0.0,12.03,1,UK
2024-01-02,P000935,CVSBrand First Aid Kit,1,155.61,15.44,16.67,1,EU
2024-01-02,P000936,CVSBrand Bandages,1,104.42,7.15,9.49,1,US
2024-01-02,P000951,Johnson&Johnson Protein Powder,1,20.55,0.0,2.2,1,UK
2024-01-02,P000992,IKEA Table,1,642.05,0.0,97.94,1,IN
2024-01-02,P000992,IKEA Table,1,598.52,0.0,54.41,1,US
2024-01-02,P000998,Panasonic Monitor,1,3300.0,0.0,300.0,1,US
2024-01-02,P001019,Samsung Toaster,1,2131.17,211.43,228.34,1,UK
2024-01-02,P001022,BIC Pen,1,78.88,3.52,12.03,1,AU
2024-01-02,P001026,Uniqlo Watch,1,74.14,7.36,7.94,1,UK
2024-01-02,P001029,WholeFoods Milk,1,51.92,6.0,7.92,1,IN
2024-01-02,P001055,Nike Sunglasses,1,330.0,0.0,30.0,1,US
2024-01-02,P001056,Zara Jacket,1,330.0,0.0,30.0,1,US
2024-01-02,P001071,Nike Watch,1,323.4,6.0,29.4,1,US
2024-01-02,P001077,Lenovo Phone,2,1663.82,0.0,253.8,1,IN
2024-01-02,P001080,Adidas Football,1,323.33,0.0,34.64,1,UK
2024-01-02,P001081,NaturesBest Cereal,1,40.91,1.92,4.38,1,EU
2024-01-02,P001082,Puma Shoes,2,627.0,30.0,57.0,2,US
2024-01-02,P001086,KrogerBrand Milk,6,136.75,0.0,12.43,1,US
2024-01-02,P001104,HP Laptop,1,608.97,0.0,65.25,1,UK
2024-01-02,P001113,Prada Shoes,1,244.64,0.0,26.21,1,EU
2024-01-02,P001125,Nike Shirt,1,166.8,2.88,25.44,1,IN
2024-01-02,P001128,Adidas Tennis Racket,1,210.13,3.9,19.1,1,US
2024-01-02,P001137,Adidas Sunglasses,1,34.87,0.6,5.32,1,AU
2024-01-02,P001137,Adidas Sunglasses,1,30.39,3.02,3.26,1,EU
2024-01-02,P001141,Dell Monitor,1,1204.1,119.45,129.01,1,UK
2024-01-02,P001164,Prada Shoes,1,103.05,0.0,9.37,1,US
2024-01-02,P001176,KrogerBrand Juice,2,21.92,0.98,3.34,1,IN
2024-01-02,P001184,H&M Bag,1,354.0,0.0,54.0,1,AU
2024-01-02,P001193,Husqvarna Hose,1,88.89,0.0,13.56,1,IN
2024-01-03,P000001,Prada Shirt,1,68.48,0.0,7.34,1,EU
2024-01-03,P000011,LG Monitor,1,2930.76,53.4,314.01,1,EU
2024-01-03,P000018,Samsung Washing Machine,1,2654.78,0.0,241.34,1,US
2024-01-03,P000022,Funko LEGO Set,1,201.44,18.97,30.73,1,IN
2024-01-03,P000026,TraderJoes Chocolate,1,59.0,0.0,9.0,1,IN
2024-01-03,P000031,Nike Basketball,1,180.8,0.0,16.44,1,US
2024-01-03,P000036,NaturesBest Snack Pack,1,32.8,0.61,2.98,1,US
2024-01-03,P000053,Samsung Refrigerator,1,2695.0,50.0,245.0,1,US
2024-01-03,P000056,Nike Bag,1,330.0,0.0,30.0,1,US
2024-01-03,P000074,Puma Helmet,2,880.0,0.0,80.0,1,US
2024-01-03,P000081,NaturesBest Cheese,1,52.25,2.5,4.75,1,US
2024-01-03,P000100,Sony Phone,1,1784.61,32.52,191.21,1,EU
2024-01-03,P000100,Sony Phone,2,3642.06,0.0,390.22,1,UK
2024-01-03,P000115,TraderJoes Juice,2,20.66,1.39,2.21,1,EU
2024-01-03,P000118,WholeFoods Cheese,1,57.82,1.0,8.82,1,IN
2024-01-03,P000122,NaturesBest Juice,1,26.37,1.18,4.02,1,IN
2024-01-03,P000123,Hamilton Beach Knife Set,1,33.47,4.07,3.59,1,EU
