transaction_id,product_id,customer_id,product_name,unit_price,product_quantity,discount_applied,tax_amount,total,transaction_date,region,city,mode_of_paymen,transaction_status,channel,delivery_type,refund_flag,num_items,total_amount,date_of_transaction,customer_id,region_y,city_y,mode_of_payment_y,transaction_status_y
T00000009,P000878,C003119,Zara Bag,300.0,2,0.0,108.0,708.0,2024-02-26,IN,Chennai,Debit Card,Completed,Online,Home Delivery,0,3,1917.02,2024-02-26,C003119,IN,Chennai,Debit Card,Completed
T00000009,P000850,C003119,Panasonic Headphones,1029.81,1,51.49,176.1,1154.42,2024-02-26,IN,Chennai,Debit Card,Completed,Online,Home Delivery,0,3,1917.02,2024-02-26,C003119,IN,Chennai,Debit Card,Completed
T00000010,P000686,C001556,HP Monitor,3000.0,1,300.0,486.0,3186.0,2024-05-29,IN,Hyderabad,Credit Card,Completed,Online,Store Pickup,0,1,3186.0,2024-05-29,C001556,IN,Hyderabad,Credit Card,Completed
T00000011,P000707,C000146,TraderJoes Snack Pack,11.75,1,0.0,1.18,12.93,2024-05-19,US,Austin,Credit Card,Completed,Online,Store Pickup,0,1,12.93,2024-05-19,C000146,US,Austin,Credit Card,Completed
T00000012,P000706,C004753,KrogerBrand Juice,20.76,1,2.08,2.24,20.92,2024-06-06,EU,Amsterdam,PayPal,Completed,Online,Store Pickup,0,1,20.92,2024-06-06,C004753,EU,Amsterdam,PayPal,Completed
T00000013,P000609,C004962,Nivea Mascara,72.85,1,0.0,8.74,81.59,2024-02-05,UK,Birmingham,PayPal,Completed,Online,Store Pickup,0,2,131.73,2024-02-05,C004962,UK,Birmingham,PayPal,Completed
T00000013,P000370,C004962,Yonex Basketball,44.77,1,0.0,5.37,50.14,2024-02-05,UK,Birmingham,PayPal,Completed,Online,Home Delivery,0,2,131.73,2024-02-05,C004962,UK,Birmingham,PayPal,Completed
T00000014,P000524,C000586,KrogerBrand Cereal,17.26,1,0.86,2.95,19.35,2024-07-19,IN,Hyderabad,Credit Card,Completed,Online,Store Pickup,0,3,1105.78,2024-07-19,C000586,IN,Hyderabad,Credit Card,Completed
T00000014,P000520,C000586,Apple Headphones,669.16,1,33.46,114.43,750.13,2024-07-19,IN,Hyderabad,Credit Card,Completed,Online,Store Pickup,0,3,1105.78,2024-07-19,C000586,IN,Hyderabad,Credit Card,Completed
T00000014,P000258,C000586,Under Armour Jacket,300.0,1,15.0,51.3,336.3,2024-07-19,IN,Hyderabad,Credit Card,Completed,Online,Home Delivery,0,3,1105.78,2024-07-19,C000586,IN,Hyderabad,Credit Card,Completed
T00000015,P000986,C000383,Gucci Jacket,300.0,1,15.0,34.2,319.2,2024-06-10,UK,Birmingham,Credit Card,Completed,Mobile App,Store Pickup,0,1,319.2,2024-06-10,C000383,UK,Birmingham,Credit Card,Completed
T00000016,P000918,C003107,Gucci Shoes,259.32,1,0.0,31.12,290.44,2024-09-03,UK,Birmingham,PayPal,Completed,In-store,Store Pickup,0,1,290.44,2024-09-03,C003107,UK,Birmingham,PayPal,Completed
T00000017,P000125,C004899,KrogerBrand Cheese,15.99,1,0.32,2.82,18.49,2024-10-30,IN,Mumbai,Wallet,Completed,Online,Store Pickup,0,1,18.49,2024-10-30,C004899,IN,Mumbai,Wallet,Completed
T00000018,P000671,C000796,Dell Monitor,477.02,1,47.7,77.28,506.6,2024-03-05,AU,Melbourne,PayPal,Completed,Online,Store Pickup,0,1,506.6,2024-03-05,C000796,AU,Melbourne,PayPal,Completed
T00000019,P000739,C003787,KrogerBrand Chocolate,7.33,1,1.1,0.75,6.98,2024-12-06,EU,Madrid,Credit Card,Completed,In-store,Home Delivery,0,1,6.98,2024-12-06,C003787,EU,Madrid,Credit Card,Completed
T00000020,P000058,C003408,Lenovo Headphones,1877.89,1,0.0,338.02,2215.91,2024-07-05,IN,Hyderabad,Wallet,Completed,Online,Store Pickup,0,1,2215.91,2024-07-05,C003408,IN,Hyderabad,Wallet,Completed
T00000021,P000683,C002695,NaturesBest Cheese,50.0,2,0.0,18.0,118.0,2024-02-14,IN,Bengaluru,Debit Card,Completed,Online,Store Pickup,0,1,118.0,2024-02-14,C002695,IN,Bengaluru,Debit Card,Completed
T00000022,P000856,C002400,NaturesBest Cereal,23.67,2,2.37,5.4,50.37,2024-12-12,UK,London,PayPal,Completed,In-store,Store Pickup,0,1,50.37,2024-12-12,C002400,UK,London,PayPal,Completed
T00000023,P000524,C004472,KrogerBrand Cereal,17.26,1,0.86,2.95,19.35,2024-08-02,IN,Delhi,Debit Card,Completed,Online,Store Pickup,0,1,19.35,2024-08-02,C004472,IN,Delhi,Debit Card,Completed
T00000024,P000386,C001477,L'Oreal Shampoo,200.0,1,0.0,24.0,224.0,2024-05-10,UK,London,PayPal,Completed,In-store,Store Pickup,0,2,560.0,2024-05-10,C001477,UK,London,PayPal,Completed
T00000024,P000519,C001477,Gardena Lawn Mower,300.0,1,0.0,36.0,336.0,2024-05-10,UK,London,PayPal,Completed,In-store,Home Delivery,0,2,560.0,2024-05-10,C001477,UK,London,PayPal,Completed
T00000025,P000056,C004830,Nike Bag,300.0,1,0.0,30.0,330.0,2024-07-20,US,San Francisco,PayPal,Completed,Mobile App,Store Pickup,0,1,330.0,2024-07-20,C004830,US,San Francisco,PayPal,Completed
T00000026,P000897,C001526,TraderJoes Cereal,50.0,3,3.0,26.46,173.46,2024-06-27,IN,Mumbai,Credit Card,Completed,In-store,Store Pickup,0,1,173.46,2024-06-27,C001526,IN,Mumbai,Credit Card,Completed
T00000027,P001083,C003027,H&M Jacket,193.44,1,3.87,22.75,212.32,2024-12-22,EU,Madrid,Debit Card,Completed,In-store,Store Pickup,0,1,212.32,2024-12-22,C003027,EU,Madrid,Debit Card,Completed
T00000028,P000636,C001161,Johnson&Johnson First Aid Kit,200.0,1,0.0,36.0,236.0,2024-10-22,IN,Delhi,UPI,Completed,Online,Store Pickup,0,1,236.0,2024-10-22,C001161,IN,Delhi,UPI,Completed
T00000029,P000209,C000559,Gucci Bag,125.75,1,0.0,12.58,138.33,2024-05-14,US,New York,Apple Pay,Completed,Mobile App,Store Pickup,0,1,138.33,2024-05-14,C000559,US,New York,Apple Pay,Completed
T00000030,P000761,C003934,Instant Pot Knife Set,226.05,1,0.0,27.13,253.18,2024-05-21,EU,Madrid,PayPal,Completed,Online,Home Delivery,0,2,589.18,2024-05-21,C003934,EU,Madrid,PayPal,Completed
T00000030,P000852,C003934,Puma Sunglasses,300.0,1,0.0,36.0,336.0,2024-05-21,EU,Madrid,PayPal,Completed,Online,Home Delivery,0,2,589.18,2024-05-21,C003934,EU,Madrid,PayPal,Completed
T00000031,P000971,C001748,Panasonic Monitor,673.58,1,33.68,63.99,703.89,2024-01-05,US,Austin,Debit Card,Completed,In-store,Home Delivery,0,2,792.08,2024-01-05,C001748,US,Austin,Debit Card,Completed
T00000031,P000492,C001748,Nivea Mascara,84.39,1,4.22,8.02,88.19,2024-01-05,US,Austin,Debit Card,Completed,In-store,Home Delivery,0,2,792.08,2024-01-05,C001748,US,Austin,Debit Card,Completed
T00000032,P000948,C001691,Random House Comic Book,50.0,1,0.0,6.0,56.0,2024-05-13,UK,Birmingham,Credit Card,Completed,Online,Store Pickup,0,2,2856.0,2024-05-13,C001691,UK,Birmingham,Credit Card,Completed
T00000032,P000962,C001691,Samsung Washing Machine,2500.0,1,0.0,300.0,2800.0,2024-05-13,UK,Birmingham,Credit Card,Completed,Online,Home Delivery,0,2,2856.0,2024-05-13,C001691,UK,Birmingham,Credit Card,Completed
T00000033,P000463,C001246,Puma Tennis Racket,400.0,1,0.0,72.0,472.0,2024-11-21,IN,Chennai,Credit Card,Completed,Online,Home Delivery,0,1,472.0,2024-11-21,C001246,IN,Chennai,Credit Card,Completed
T00000034,P000467,C000045,Kenwood Chair,371.08,2,37.11,126.91,831.96,2024-05-18,AU,Sydney,PayPal,Completed,Online,Store Pickup,0,2,991.7,2024-05-18,C000045,AU,Sydney,PayPal,Completed
T00000034,P000688,C000045,Under Armour Shirt,150.41,1,15.04,24.37,159.74,2024-05-18,AU,Sydney,PayPal,Completed,Online,Store Pickup,0,2,991.7,2024-05-18,C000045,AU,Sydney,PayPal,Completed
T00000035,P000750,C004808,NaturesBest Milk,22.74,1,0.0,2.73,25.47,2024-09-23,UK,London,Debit Card,Completed,Online,Store Pickup,0,1,25.47,2024-09-23,C004808,UK,London,Debit Card,Completed
T00000036,P001033,C001482,Hamilton Beach Table,600.0,1,30.0,57.0,627.0,2024-09-29,US,Austin,Credit Card,Completed,In-store,Store Pickup,0,1,627.0,2024-09-29,C001482,US,Austin,Credit Card,Completed
T00000037,P001192,C001748,KrogerBrand Chocolate,16.16,2,1.62,3.07,33.77,2024-05-17,US,Austin,Credit Card,Completed,Online,Store Pickup,0,1,33.77,2024-05-17,C001748,US,Austin,Credit Card,Completed
T00000038,P000467,C000815,Kenwood Chair,371.08,1,18.55,42.3,394.83,2024-02-23,UK,Manchester,Credit Card,Completed,In-store,Store Pickup,0,1,394.83,2024-02-23,C000815,UK,Manchester,Credit Card,Completed
T00000039,P000406,C001916,Zara Shoes,300.0,1,21.0,33.48,312.48,2024-03-10,UK,London,PayPal,Completed,Online,Store Pickup,0,1,312.48,2024-03-10,C001916,UK,London,PayPal,Completed
T00000040,P000280,C004316,Panasonic Phone,878.15,1,17.56,154.91,1015.5,2024-01-26,IN,Bengaluru,Debit Card,Completed,Online,Home Delivery,0,2,1309.49,2024-01-26,C004316,IN,Bengaluru,Debit Card,Completed
T00000040,P000423,C004316,Puma Dress,254.22,1,5.08,44.85,293.99,2024-01-26,IN,Bengaluru,Debit Card,Completed,Online,Store Pickup,0,2,1309.49,2024-01-26,C004316,IN,Bengaluru,Debit Card,Completed
T00000041,P000518,C002435,TraderJoes Milk,40.9,1,0.0,7.36,48.26,2024-06-29,IN,Chennai,Credit Card,Completed,Online,Home Delivery,0,1,48.26,2024-06-29,C002435,IN,Chennai,Credit Card,Completed
T00000042,P000754,C000025,Apple Speaker,350.55,1,17.53,39.96,372.98,2024-03-02,UK,London,PayPal,Completed,In-store,Store Pickup,0,1,372.98,2024-03-02,C000025,UK,London,PayPal,Completed
T00000043,P000011,C003914,LG Monitor,2670.15,1,0.0,267.02,2937.17,2024-02-11,US,Chicago,Debit Card,Completed,In-store,Store Pickup,0,1,2937.17,2024-02-11,C003914,US,Chicago,Debit Card,Completed
T00000044,P000119,C002235,Levi's Jacket,234.39,1,4.69,27.56,257.26,2024-01-18,UK,Birmingham,Debit Card,Completed,Online,Home Delivery,0,1,257.26,2024-01-18,C002235,UK,Birmingham,Debit Card,Completed
T00000045,P000994,C004370,Bose Phone,458.99,1,22.95,52.32,488.36,2024-12-11,UK,Birmingham,Debit Card,Completed,Online,Home Delivery,0,1,488.36,2024-12-11,C004370,UK,Birmingham,Debit Card,Completed
T00000046,P000345,C003877,Adidas Dress,134.28,1,13.43,21.75,142.6,2024-08-29,AU,Sydney,PayPal,Completed,Online,Store Pickup,0,1,142.6,2024-08-29,C003877,AU,Sydney,PayPal,Completed
T00000047,P000089,C003087,KrogerBrand Chocolate,26.8,1,0.54,4.73,30.99,2024-05-01,AU,Brisbane,Credit Card,Completed,Online,Home Delivery,0,2,56.67,2024-05-01,C003087,AU,Brisbane,Credit Card,Completed
T00000047,P000388,C003087,TraderJoes Chocolate,22.2,1,0.44,3.92,25.68,2024-05-01,AU,Brisbane,Credit Card,Completed,Online,Store Pickup,0,2,56.67,2024-05-01,C003087,AU,Brisbane,Credit Card,Completed
T00000048,P000095,C004578,Lenovo Phone,1632.01,1,32.64,191.92,1791.29,2024-11-02,UK,Manchester,Credit Card,Completed,Online,Store Pickup,0,2,1846.17,2024-11-02,C004578,UK,Manchester,Credit Card,Completed
T00000048,P001131,C004578,WholeFoods Cheese,50.0,1,1.0,5.88,54.88,2024-11-02,UK,Manchester,Credit Card,Completed,Online,Home Delivery,0,2,1846.17,2024-11-02,C004578,UK,Manchester,Credit Card,Completed
T00000049,P001062,C000764,Pilot Notebook,35.33,1,4.24,3.11,34.2,2024-04-12,US,Austin,Apple Pay,Completed,Online,Store Pickup,0,1,34.2,2024-04-12,C000764,US,Austin,Apple Pay,Completed
T00000050,P000227,C000551,LG Speaker,981.97,1,0.0,117.84,1099.81,2024-06-16,UK,London,Credit Card,Completed,Online,Home Delivery,0,1,1099.81,2024-06-16,C000551,UK,London,Credit Card,Completed
T00000051,P001143,C001354,NaturesBest Cheese,50.0,1,1.0,8.82,57.82,2024-08-29,AU,Sydney,Credit Card,Completed,In-store,Home Delivery,0,1,57.82,2024-08-29,C001354,AU,Sydney,Credit Card,Completed
T00000052,P001057,C003461,Uniqlo Jacket,87.6,1,1.75,15.45,101.3,2024-10-24,AU,Sydney,Credit Card,Completed,Online,Home Delivery,0,1,101.3,2024-10-24,C003461,AU,Sydney,Credit Card,Completed
T00000053,P000092,C001257,Whirlpool Toaster,2500.0,1,0.0,300.0,2800.0,2024-04-27,UK,Birmingham,Credit Card,Completed,Online,Home Delivery,0,1,2800.0,2024-04-27,C001257,UK,Birmingham,Credit Card,Completed
T00000054,P000692,C004453,Samsung Camera,1874.86,1,0.0,337.47,2212.33,2024-10-21,IN,Delhi,Debit Card,Completed,Online,Store Pickup,0,1,2212.33,2024-10-21,C004453,IN,Delhi,Debit Card,Completed
T00000055,P000252,C001946,Under Armour Shirt,300.0,1,0.0,36.0,336.0,2024-03-08,EU,Berlin,Credit Card,Completed,In-store,Home Delivery,0,1,336.0,2024-03-08,C001946,EU,Berlin,Credit Card,Completed
T00000056,P000288,C001016,WholeFoods Chocolate,5.55,1,0.0,0.67,6.22,2024-05-08,UK,Birmingham,Credit Card,Completed,Mobile App,Store Pickup,0,1,6.22,2024-05-08,C001016,UK,Birmingham,Credit Card,Completed
T00000057,P000779,C001172,Instant Pot Cookware,600.0,6,0.0,432.0,4032.0,2024-04-14,UK,London,Debit Card,Refunded,In-store,Home Delivery,1,4,7242.2,2024-04-14,C001172,UK,London,Debit Card,Refunded
T00000057,P000095,C001172,Lenovo Phone,1632.01,1,0.0,195.84,1827.85,2024-04-14,UK,London,Debit Card,Refunded,In-store,Store Pickup,1,4,7242.2,2024-04-14,C001172,UK,London,Debit Card,Refunded
T00000057,P000101,C001172,GE Refrigerator,934.24,1,0.0,112.11,1046.35,2024-04-14,UK,London,Debit Card,Refunded,In-store,Home Delivery,1,4,7242.2,2024-04-14,C001172,UK,London,Debit Card,Refunded
T00000057,P000350,C001172,Adidas Dress,300.0,1,0.0,36.0,336.0,2024-04-14,UK,London,Debit Card,Refunded,In-store,Store Pickup,1,4,7242.2,2024-04-14,C001172,UK,London,Debit Card,Refunded
T00000058,P000807,C001041,Bose Headphones,3000.0,1,300.0,270.0,2970.0,2024-11-09,US,New York,Debit Card,Completed,Online,Home Delivery,0,1,2970.0,2024-11-09,C001041,US,New York,Debit Card,Completed
T00000059,P000898,C003476,Puma Sunglasses,93.37,1,0.0,11.2,104.57,2024-01-10,UK,London,Credit Card,Completed,Online,Store Pickup,0,1,104.57,2024-01-10,C003476,UK,London,Credit Card,Completed
T00000060,P000030,C002943,NaturesBest Cheese,15.48,1,0.0,1.55,17.03,2024-03-09,US,San Francisco,PayPal,Completed,Online,Home Delivery,0,1,17.03,2024-03-09,C002943,US,San Francisco,PayPal,Completed
T00000061,P000712,C002739,IKEA Lamp,475.15,3,0.0,171.05,1596.5,2024-01-14,UK,Birmingham,PayPal,Completed,Online,Store Pickup,0,1,1596.5,2024-01-14,C002739,UK,Birmingham,PayPal,Completed
T00000062,P001081,C002179,NaturesBest Cereal,38.45,1,0.77,6.78,44.46,2024-01-08,IN,Mumbai,UPI,Completed,Online,Store Pickup,0,2,443.13,2024-01-08,C002179,IN,Mumbai,UPI,Completed
T00000062,P000165,C002179,HP Tablet,344.76,1,6.9,60.81,398.67,2024-01-08,IN,Mumbai,UPI,Completed,Online,Home Delivery,0,2,443.13,2024-01-08,C002179,IN,Mumbai,UPI,Completed
T00000063,P001142,C004739,Yonex Basketball,400.0,1,0.0,40.0,440.0,2024-08-09,US,New York,PayPal,Completed,Online,Home Delivery,0,3,1651.0,2024-08-09,C004739,US,New York,PayPal,Completed
T00000063,P000954,C004739,Hamilton Beach Lamp,166.67,1,0.0,16.67,183.34,2024-08-09,US,New York,PayPal,Completed,Online,Store Pickup,0,3,1651.0,2024-08-09,C004739,US,New York,PayPal,Completed
T00000063,P000101,C004739,GE Refrigerator,934.24,1,0.0,93.42,1027.66,2024-08-09,US,New York,PayPal,Completed,Online,Home Delivery,0,3,1651.0,2024-08-09,C004739,US,New York,PayPal,Completed
T00000064,P000072,C003214,WalgreensBrand Bandages,135.87,1,6.79,12.91,141.99,2024-09-14,US,New York,Credit Card,Completed,Online,Store Pickup,0,1,141.99,2024-09-14,C003214,US,New York,Credit Card,Completed
T00000065,P000514,C000017,Sephora Mascara,136.44,1,6.82,12.96,142.58,2024-08-31,US,Chicago,PayPal,Completed,In-store,Store Pickup,0,1,142.58,2024-08-31,C000017,US,Chicago,PayPal,Completed
T00000066,P000135,C004076,TraderJoes Chocolate,18.51,1,0.37,2.18,20.32,2024-03-26,UK,London,Credit Card,Completed,Mobile App,Store Pickup,0,1,20.32,2024-03-26,C004076,UK,London,Credit Card,Completed
T00000067,P000896,C002177,WholeFoods Chocolate,50.0,1,0.0,6.0,56.0,2024-01-01,UK,London,Debit Card,Completed,In-store,Store Pickup,0,1,56.0,2024-01-01,C002177,UK,London,Debit Card,Completed
T00000068,P000365,C002134,Whirlpool Washing Machine,2500.0,1,50.0,441.0,2891.0,2024-06-19,AU,Melbourne,PayPal,Completed,In-store,Home Delivery,0,2,3180.1,2024-06-19,C002134,AU,Melbourne,PayPal,Completed
T00000068,P000193,C002134,GenericBrandB Umbrella,250.0,1,5.0,44.1,289.1,2024-06-19,AU,Melbourne,PayPal,Completed,In-store,Store Pickup,0,2,3180.1,2024-06-19,C002134,AU,Melbourne,PayPal,Completed
T00000069,P000378,C001951,WalgreensBrand First Aid Kit,200.0,1,10.0,34.2,224.2,2024-01-16,IN,Hyderabad,UPI,Completed,In-store,Store Pickup,0,1,224.2,2024-01-16,C001951,IN,Hyderabad,UPI,Completed
T00000070,P000745,C003427,Uniqlo Sunglasses,300.0,1,0.0,30.0,330.0,2024-06-28,US,San Francisco,Debit Card,Completed,Mobile App,Store Pickup,0,1,330.0,2024-06-28,C003427,US,San Francisco,Debit Card,Completed
T00000071,P000326,C004822,Hamilton Beach Vacuum,487.25,1,9.75,47.75,525.25,2024-09-15,US,Austin,Debit Card,Completed,Online,Home Delivery,0,2,3649.13,2024-09-15,C004822,US,Austin,Debit Card,Completed
T00000071,P000895,C004822,IKEA Knife Set,579.57,5,57.96,283.99,3123.88,2024-09-15,US,Austin,Debit Card,Completed,Online,Home Delivery,0,2,3649.13,2024-09-15,C004822,US,Austin,Debit Card,Completed
T00000072,P000697,C002090,Kenwood Blender,585.27,5,0.0,351.16,3277.51,2024-07-11,UK,Birmingham,Credit Card,Completed,Online,Store Pickup,0,1,3277.51,2024-07-11,C002090,UK,Birmingham,Credit Card,Completed
T00000073,P000353,C001827,TraderJoes Cheese,27.01,1,0.0,3.24,30.25,2024-08-31,EU,Paris,SEPA,Completed,Online,Store Pickup,0,1,30.25,2024-08-31,C001827,EU,Paris,SEPA,Completed
T00000074,P000384,C000819,Levi's Shoes,176.9,1,8.85,20.17,188.22,2024-06-28,UK,Manchester,Debit Card,Completed,Online,Home Delivery,0,1,188.22,2024-06-28,C000819,UK,Manchester,Debit Card,Completed
T00000075,P000405,C000374,TraderJoes Milk,40.23,5,10.06,34.4,225.49,2024-12-13,IN,Hyderabad,UPI,Completed,Online,Home Delivery,0,1,225.49,2024-12-13,C000374,IN,Hyderabad,UPI,Completed
T00000076,P000431,C001340,Nike Shoes,105.9,1,0.0,19.06,124.96,2024-11-03,IN,Hyderabad,Credit Card,Completed,Online,Home Delivery,0,3,377.65,2024-11-03,C001340,IN,Hyderabad,Credit Card,Completed
T00000076,P000901,C001340,Pampers Stroller,111.51,1,11.15,18.06,118.42,2024-11-03,IN,Hyderabad,Credit Card,Completed,Online,Store Pickup,0,3,377.65,2024-11-03,C001340,IN,Hyderabad,Credit Card,Completed
T00000076,P000604,C001340,WalgreensBrand Protein Powder,119.78,1,5.99,20.48,134.27,2024-11-03,IN,Hyderabad,Credit Card,Completed,Online,Home Delivery,0,3,377.65,2024-11-03,C001340,IN,Hyderabad,Credit Card,Completed
T00000077,P000994,C004328,Bose Phone,458.99,1,0.0,82.62,541.61,2024-04-17,IN,Chennai,Wallet,Completed,In-store,Store Pickup,0,1,541.61,2024-04-17,C004328,IN,Chennai,Wallet,Completed
T00000078,P000865,C002531,LG Tablet,3000.0,1,360.0,475.2,3115.2,2024-12-01,AU,Melbourne,Debit Card,Completed,Online,Home Delivery,0,2,3135.14,2024-12-01,C002531,AU,Melbourne,Debit Card,Completed
T00000078,P000768,C002531,Random House Biography,17.24,1,0.34,3.04,19.94,2024-12-01,AU,Melbourne,Debit Card,Completed,Online,Store Pickup,0,2,3135.14,2024-12-01,C002531,AU,Melbourne,Debit Card,Completed
T00000079,P000835,C000135,Hamilton Beach Vacuum,63.04,1,0.0,7.56,70.6,2024-10-20,UK,London,PayPal,Completed,In-store,Store Pickup,0,1,70.6,2024-10-20,C000135,UK,London,PayPal,Completed
T00000080,P001025,C001348,Philips Speaker,1928.26,1,38.57,188.97,2078.66,2024-08-22,US,Los Angeles,Credit Card,Completed,Mobile App,Home Delivery,0,2,2100.78,2024-08-22,C001348,US,Los Angeles,Credit Card,Completed
T00000080,P000150,C001348,TraderJoes Juice,20.52,1,0.41,2.01,22.12,2024-08-22,US,Los Angeles,Credit Card,Completed,Mobile App,Home Delivery,0,2,2100.78,2024-08-22,C001348,US,Los Angeles,Credit Card,Completed
T00000081,P000613,C003981,Mattel LEGO Set,53.37,1,3.74,8.93,58.56,2024-11-21,AU,Melbourne,PayPal,Completed,Online,Home Delivery,0,2,286.15,2024-11-21,C003981,AU,Melbourne,PayPal,Completed
T00000081,P000044,C003981,WalgreensBrand First Aid Kit,196.81,1,3.94,34.72,227.59,2024-11-21,AU,Melbourne,PayPal,Completed,Online,Home Delivery,0,2,286.15,2024-11-21,C003981,AU,Melbourne,PayPal,Completed
T00000082,P000318,C002122,L'Oreal Mascara,102.48,1,2.05,10.04,110.47,2024-12-13,US,Los Angeles,PayPal,Completed,In-store,Store Pickup,0,1,110.47,2024-12-13,C002122,US,Los Angeles,PayPal,Completed
T00000083,P000428,C004988,Nike Sunglasses,174.12,1,0.0,31.34,205.46,2024-09-27,IN,Mumbai,Debit Card,Completed,Online,Home Delivery,0,2,259.95,2024-09-27,C004988,IN,Mumbai,Debit Card,Completed
T00000083,P000753,C004988,Pilot Stapler,48.61,1,2.43,8.31,54.49,2024-09-27,IN,Mumbai,Debit Card,Completed,Online,Store Pickup,0,2,259.95,2024-09-27,C004988,IN,Mumbai,Debit Card,Completed
T00000084,P000972,C003940,TraderJoes Snack Pack,6.91,3,0.41,2.03,22.35,2024-05-22,US,New York,Apple Pay,Completed,Online,Store Pickup,0,1,22.35,2024-05-22,C003940,US,New York,Apple Pay,Completed
T00000085,P000728,C003684,Hasbro LEGO Set,39.56,1,0.79,6.98,45.75,2024-08-22,AU,Sydney,PayPal,Completed,In-store,Store Pickup,0,1,45.75,2024-08-22,C003684,AU,Sydney,PayPal,Completed
T00000086,P000338,C003065,IKEA Chair,499.79,1,10.0,58.77,548.56,2024-06-23,UK,Manchester,Debit Card,Completed,Online,Home Delivery,0,1,548.56,2024-06-23,C003065,UK,Manchester,Debit Card,Completed
T00000087,P000250,C000618,Hamilton Beach Chair,223.64,3,67.09,72.46,676.29,2024-03-01,UK,Birmingham,Debit Card,Completed,Online,Store Pickup,0,1,676.29,2024-03-01,C000618,UK,Birmingham,Debit Card,Completed
T00000088,P000211,C003291,Uniqlo Bag,140.36,1,2.81,16.51,154.06,2024-04-11,UK,Birmingham,Credit Card,Completed,Online,Home Delivery,0,2,191.55,2024-04-11,C003291,UK,Birmingham,Credit Card,Completed
T00000088,P001091,C003291,KrogerBrand Cereal,34.15,1,0.68,4.02,37.49,2024-04-11,UK,Birmingham,Credit Card,Completed,Online,Home Delivery,0,2,191.55,2024-04-11,C003291,UK,Birmingham,Credit Card,Completed
T00000089,P000688,C004207,Under Armour Shirt,150.41,1,15.04,24.37,159.74,2024-07-17,IN,Chennai,Debit Card,Completed,Mobile App,Home Delivery,0,1,159.74,2024-07-17,C004207,IN,Chennai,Debit Card,Completed
T00000090,P000565,C001541,Under Armour Sunglasses,283.67,1,5.67,50.04,328.04,2024-10-19,IN,Chennai,UPI,Completed,Online,Store Pickup,0,1,328.04,2024-10-19,C001541,IN,Chennai,UPI,Completed
T00000091,P000879,C002385,H&M Dress,144.98,1,7.25,16.53,154.26,2024-06-23,UK,London,Debit Card,Completed,Online,Home Delivery,0,1,154.26,2024-06-23,C002385,UK,London,Debit Card,Completed
T00000092,P001184,C001497,H&M Bag,300.0,1,0.0,54.0,354.0,2024-01-02,AU,Brisbane,Credit Card,Completed,Online,Home Delivery,0,1,354.0,2024-01-02,C001497,AU,Brisbane,Credit Card,Completed
