sku_id,sku_name,category,subcategory,brand,uom,variant,launch_date,perishability_flag,expiry_days,base_mrp
SKU1088,"Mendoza, Manage pcs",Cosmetics,Sport,"Mendoza,",pcs,Mini,2025-07-07,0,,383
SKU1089,"Patterson, We pcs",Electronics,Various,"Patterson,",pcs,Mini,2024-02-04,0,,453
SKU1090,Jacobson Language pcs,Electronics,Government,Jacobson,pcs,Green,2023-09-19,0,,913
SKU1091,Garcia-Marquez According g,Grocery,Total,Garcia-Marquez,g,XL,2023-07-21,1,180.0,161
SKU1092,"Jones, North pcs",Electronics,Character,"Jones,",pcs,Classic,2024-06-09,0,,1407
SKU1093,"Patel, Hope pcs",Snacks,Study,"Patel,",pcs,New,2024-06-06,0,,62
SKU1094,Stephens Sit pcs,Pharma,Wind,Stephens,pcs,Mini,2024-06-14,1,720.0,121
SKU1095,Taylor Mind L,Household,State,Taylor,L,Green,2024-04-07,0,,154
SKU1096,Morton-Mitchell Structure kg,Grocery,Them,Morton-Mitchell,kg,XL,2023-12-29,1,720.0,76
SKU1097,"Simmons, Or mg",Pharma,Than,"Simmons,",mg,New,2023-11-11,1,180.0,171
SKU1098,Burton-Johnson Door mg,Pharma,Yet,Burton-Johnson,mg,XL,2024-01-28,1,180.0,269
SKU1099,Meyer-Woodward Oil pcs,Household,Something,Meyer-Woodward,pcs,Mini,2024-07-01,0,,255
SKU1100,Bishop-Wood West L,Household,Whose,Bishop-Wood,L,New,2024-11-22,0,,150
SKU1101,"Duran, Fight mg",Pharma,Throughout,"Duran,",mg,New,2023-08-24,1,180.0,297
SKU1102,Drake Note pcs,Pharma,Coach,Drake,pcs,Green,2023-10-24,1,365.0,317
SKU1103,Williams Late pcs,Electronics,Yard,Williams,pcs,Green,2024-09-23,0,,672
SKU1104,"Cook, Better g",Snacks,Source,"Cook,",g,Mini,2022-11-22,0,,66
SKU1105,Wagner-Walter Number pcs,Household,Course,Wagner-Walter,pcs,New,2023-02-14,0,,92
SKU1106,Bell-Kirk Station L,Beverages,Time,Bell-Kirk,L,Classic,2023-01-13,1,,103
SKU1107,"Parker, Court kg",Grocery,Deal,"Parker,",kg,Green,2025-11-07,1,180.0,28
SKU1108,Delgado Day L,Household,Recognize,Delgado,L,Classic,2025-04-03,0,,227
SKU1109,"Spencer, Art pcs",Snacks,It,"Spencer,",pcs,XL,2025-09-03,0,,59
SKU1110,Murray Compare pcs,Snacks,Important,Murray,pcs,Classic,2025-06-05,0,,67
SKU1111,Baldwin-Flynn Market L,Household,Bring,Baldwin-Flynn,L,XL,2025-01-19,0,,172
SKU1112,Wilson Image ml,Cosmetics,Manager,Wilson,ml,XL,2023-09-03,0,,384
SKU1113,Tran Society pcs,Electronics,Tv,Tran,pcs,Mini,2023-09-24,0,,1007
SKU1114,Cochran-Thompson Some mg,Pharma,Many,Cochran-Thompson,mg,New,2025-05-03,1,720.0,912
SKU1115,Webb-Bonilla Result ml,Beverages,Rest,Webb-Bonilla,ml,XL,2024-08-27,1,,154
SKU1116,"Diaz, Instead pcs",Household,Inside,"Diaz,",pcs,Mini,2024-12-23,0,,181
SKU1117,Potter-Brewer Deep L,Household,Vote,Potter-Brewer,L,Mini,2025-06-01,0,,72
SKU1118,"Mcclain, Again L",Household,Sit,"Mcclain,",L,Green,2023-02-04,0,,129
SKU1119,Donaldson Final g,Snacks,Upon,Donaldson,g,Classic,2024-01-17,0,,56
