date,total_sales_amount,total_quantity_sold,unique_customers,unique_products,num_transactions
2021-04-09,35597.29,425,209,123,212
2021-04-10,43585.32,500,259,143,268
2021-04-11,46775.49,557,285,144,292
2021-04-12,39003.75,428,223,133,223
2021-04-13,44247.72,569,213,134,219
2021-04-14,32371.9,328,199,126,204
2021-04-15,32170.09,366,236,132,239
2021-04-16,38290.39,440,205,120,209
2021-04-17,47746.32,552,277,146,283
2021-04-18,52132.96,579,312,152,315
2021-04-19,34885.64,433,231,135,237
2021-04-20,40105.89,438,209,130,214
2021-04-21,38315.36,456,246,143,250
2021-04-22,33958.090000000004,392,208,127,209
2021-04-23,44265.23,488,251,140,254
2021-04-24,43393.29,557,308,158,311
2021-04-25,38563.12,455,258,146,263
2021-04-26,34931.64,385,193,117,193
2021-04-27,46560.3,556,224,134,227
2021-04-28,35849.21,463,257,141,261
2021-04-29,34834.92,450,208,130,210
2021-04-30,37573.27,432,220,125,221
2021-05-01,59970.23,649,307,154,309
2021-05-02,49663.5,544,299,153,305
2021-05-03,32803.4,435,234,130,234
2021-05-04,30083.239999999998,352,180,117,181
2021-05-05,36818.57,409,186,114,189
2021-05-06,33567.88,390,210,129,213
2021-05-07,31956.56,396,187,117,189
2021-05-08,49275.3,569,250,134,255
2021-05-09,46030.99,511,306,160,308
2021-05-10,37128.51,412,207,136,210
2021-05-11,38315.14,421,222,135,225
2021-05-12,45663.2,487,228,137,232
2021-05-13,32621.920000000002,408,238,138,241
2021-05-14,43161.33,433,228,129,233
2021-05-15,48409.59,643,260,144,266
2021-05-16,40289.24,501,275,140,278
2021-05-17,34893.1,420,215,127,218
2021-05-18,36694.1,428,227,133,228
2021-05-19,33171.31,383,209,124,212
2021-05-20,34732.38,457,198,127,200
2021-05-21,31404.24,364,209,128,212
2021-05-22,32857.25,376,223,132,227
2021-05-23,44666.71,522,286,159,290
2021-05-24,33139.24,411,212,141,214
2021-05-25,32663.56,397,223,141,225
2021-05-26,33209.8,363,204,121,208
2021-05-27,28930.02,326,191,119,195
2021-05-28,44036.62,485,202,126,205
2021-05-29,44251.01,505,285,136,292
2021-05-30,47453.3,503,280,145,285
2021-05-31,36040.82,482,218,130,220
2021-06-01,23658.19,279,174,113,174
2021-06-02,27264.15,330,173,109,175
2021-06-03,37809.97,420,216,125,221
2021-06-04,37916.84,437,226,137,230
2021-06-05,38161.6,464,265,140,270
2021-06-06,49809.05,656,276,156,279
2021-06-07,32381.21,440,196,123,200
2021-06-08,28782.36,397,192,117,193
2021-06-09,30976.71,369,197,121,201
2021-06-10,25845.85,310,178,117,179
2021-06-11,24711.98,281,163,104,163
2021-06-12,36365.06,414,258,141,259
2021-06-13,40821.1,499,278,151,286
2021-06-14,33498.06,425,204,123,205
2021-06-15,25998.01,312,182,119,185
2021-06-16,28482.77,332,187,117,187
2021-06-17,30055.91,363,183,115,187
2021-06-18,34140.51,367,193,118,195
2021-06-19,40551.83,413,236,142,239
2021-06-20,39482.24,484,253,135,255
2021-06-21,28457.13,356,191,116,195
2021-06-22,27744.54,336,179,122,181
2021-06-23,26913.86,329,181,117,185
2021-06-24,34849.51,374,172,113,176
2021-06-25,37814.06,404,177,122,178
2021-06-26,34038.69,405,239,136,242
2021-06-27,37708.17,446,242,132,243
2021-06-28,31481.14,357,191,120,197
2021-06-29,28955.59,381,212,127,216
2021-06-30,29528.94,342,187,120,189
2021-07-01,25912.72,344,201,130,202
2021-07-02,28964.68,339,181,113,182
2021-07-03,34082.979999999996,378,211,132,215
2021-07-04,30803.63,411,228,139,230
2021-07-05,31809.38,417,184,116,186
2021-07-06,36183.81,389,184,120,185
2021-07-07,36317.93,396,181,111,181
2021-07-08,27549.09,307,161,110,163
2021-07-09,22252.57,286,146,101,148
2021-07-10,39998.73,437,237,144,239
2021-07-11,41623.7,479,275,144,276
2021-07-12,25373.83,285,165,110,167
2021-07-13,37806.63,467,196,117,201
2021-07-14,37496.57,438,170,108,171
2021-07-15,23908.44,360,170,114,174
2021-07-16,27177.71,344,157,108,157
2021-07-17,34731.12,404,217,136,220
2021-07-18,33909.11,414,213,128,217
2021-07-19,31162.96,315,161,110,162
2021-07-20,21888.39,271,154,101,156
2021-07-21,21598.31,272,145,103,148
2021-07-22,28346.98,333,168,104,169
2021-07-23,24147.73,284,154,105,155
2021-07-24,39586.36,467,206,130,207
2021-07-25,28385.09,376,196,117,196
2021-07-26,21460.1,265,158,109,160
2021-07-27,24384.3,295,138,102,139
2021-07-28,23650.15,269,162,106,166
2021-07-29,24274.27,298,165,117,168
2021-07-30,25406.68,328,162,111,164
2021-07-31,34881.88,414,197,117,200
2021-08-01,35129.28,398,203,127,206
2021-08-02,22050.62,274,153,117,153
2021-08-03,17480.31,201,120,83,120
2021-08-04,24751.42,282,169,109,171
2021-08-05,23706.44,330,160,111,164
2021-08-06,23635.37,262,148,105,149
2021-08-07,32589.2,426,201,129,201
2021-08-08,41017.82,474,205,127,207
2021-08-09,22085.18,263,157,109,157
2021-08-10,23219.68,258,140,96,141
2021-08-11,18906.29,204,133,97,133
2021-08-12,24754.23,294,165,99,165
2021-08-13,31977.43,393,165,112,165
2021-08-14,30804.39,404,196,124,197
2021-08-15,34745.36,419,200,121,202
2021-08-16,30258.78,384,162,114,163
2021-08-17,18740.5,207,145,98,146
2021-08-18,22982.04,271,142,97,142
2021-08-19,22509.44,320,152,108,155
2021-08-20,20446.11,260,133,98,136
2021-08-21,31382.3,366,185,113,187
2021-08-22,31832.61,417,188,125,189
2021-08-23,29164.64,365,159,103,160
2021-08-24,23936.44,269,158,111,158
2021-08-25,24409.440000000002,302,132,95,132
2021-08-26,26454.16,321,149,107,150
2021-08-27,21439.29,245,148,97,149
2021-08-28,26201.96,321,168,112,171
2021-08-29,30587.29,363,203,125,205
2021-08-30,21413.86,247,149,108,149
2021-08-31,22829.15,275,148,100,150
2021-09-01,19838.4,256,137,99,137
2021-09-02,23836.25,306,140,99,141
2021-09-03,22516.61,243,154,110,155
2021-09-04,25729.18,339,186,117,186
2021-09-05,24128.84,292,168,118,170
2021-09-06,27851.98,294,142,101,142
2021-09-07,30642.61,358,140,101,140
2021-09-08,19220.12,221,131,95,132
2021-09-09,25346.0,296,147,102,147
2021-09-10,24067.45,264,143,95,143
2021-09-11,25247.19,329,201,123,203
2021-09-12,30631.68,366,167,112,167
2021-09-13,23981.6,243,129,91,130
2021-09-14,25357.83,367,153,101,155
2021-09-15,26457.329999999998,296,139,93,139
2021-09-16,33282.81,345,143,107,143
2021-09-17,18398.29,225,124,86,125
2021-09-18,27131.42,289,179,112,181
2021-09-19,32099.92,408,190,126,194
2021-09-20,17937.49,235,132,93,134
2021-09-21,19742.25,269,130,84,132
2021-09-22,23324.72,285,144,104,145
2021-09-23,21077.14,283,134,97,136
2021-09-24,20100.79,251,126,93,128
2021-09-25,25093.88,297,173,113,174
2021-09-26,26456.59,308,184,115,185
2021-09-27,28037.94,372,132,96,136
2021-09-28,21334.67,294,138,100,138
2021-09-29,20405.57,255,128,92,129
2021-09-30,23842.13,281,148,109,151
2021-10-01,23011.87,277,140,104,140
2021-10-02,27833.14,362,178,118,180
2021-10-03,22456.53,308,167,112,170
2021-10-04,19851.65,243,132,98,133
2021-10-05,23198.87,272,120,88,121
2021-10-06,21992.86,281,142,104,145
2021-10-07,25137.239999999998,339,131,95,131
2021-10-08,22399.74,245,143,104,143
2021-10-09,29737.86,367,165,110,168
2021-10-10,30882.39,350,168,115,168
2021-10-11,20044.31,250,120,89,122
2021-10-12,26656.7,317,135,87,137
2021-10-13,22708.53,274,130,99,132
2021-10-14,17639.8,211,134,102,135
2021-10-15,21514.53,271,135,98,137
2021-10-16,38259.79,472,188,125,190
2021-10-17,34636.49,420,201,123,202
2021-10-18,18518.87,225,144,94,144
2021-10-19,26201.8,342,126,90,127
2021-10-20,21196.21,231,133,98,133
2021-10-21,17262.18,214,133,90,133
2021-10-22,23019.39,258,132,93,133
2021-10-23,27967.2,336,181,117,182
2021-10-24,25966.68,328,180,122,181
2021-10-25,26772.5,325,160,102,160
2021-10-26,22875.65,274,141,100,142
2021-10-27,24767.18,305,144,102,145
2021-10-28,18108.23,213,129,94,129
2021-10-29,20761.61,235,136,99,136
2021-10-30,30703.19,414,194,118,196
2021-10-31,26671.86,321,191,129,193
2021-11-01,31720.61,356,163,115,166
2021-11-02,25765.65,283,161,104,162
2021-11-03,18091.29,204,140,104,143
2021-11-04,56455.61,719,333,155,339
2021-11-05,26408.04,349,179,109,179
2021-11-06,28830.77,361,210,124,212
2021-11-07,25086.01,330,197,115,198
2021-11-08,33369.67,394,161,105,162
2021-11-09,21001.51,272,149,107,149
2021-11-10,22856.12,291,170,110,171
2021-11-11,25014.43,311,164,117,166
2021-11-12,30382.86,362,157,108,162
2021-11-13,36175.4,523,218,119,220
2021-11-14,25510.36,292,187,121,188
2021-11-15,27351.82,354,152,105,153
2021-11-16,23449.18,284,180,122,180
2021-11-17,20403.91,236,141,100,141
2021-11-18,27397.8,322,170,118,170
2021-11-19,36705.84,417,171,106,171
2021-11-20,41288.43,518,224,125,229
2021-11-21,40682.87,492,215,134,217
2021-11-22,26458.37,313,159,104,160
2021-11-23,22870.89,254,175,117,175
2021-11-24,25239.91,285,175,120,180
2021-11-25,28590.85,347,185,112,185
2021-11-26,29404.0,350,170,108,170
2021-11-27,88998.74,1152,562,186,580
2021-11-28,32960.1,374,236,138,237
2021-11-29,23826.77,295,148,100,150
2021-11-30,35577.07,371,171,120,173
2021-12-01,24991.97,337,155,110,156
2021-12-02,24915.54,298,166,112,166
2021-12-03,31794.7,385,179,106,180
2021-12-04,35122.67,409,230,135,235
2021-12-05,37013.25,451,233,138,238
2021-12-06,28329.36,370,164,113,165
2021-12-07,24582.07,302,184,116,185
2021-12-08,19987.17,260,124,90,124
2021-12-09,27611.63,320,188,116,189
2021-12-10,26795.95,319,192,120,192
2021-12-11,43416.9,514,224,130,229
2021-12-12,40575.45,495,221,135,224
2021-12-13,26422.420000000002,314,183,120,185
2021-12-14,23559.62,279,184,119,185
2021-12-15,36255.84,498,186,129,189
2021-12-16,22725.89,279,171,111,171
2021-12-17,32011.58,345,204,124,206
2021-12-18,42518.39,541,234,140,238
2021-12-19,48317.77,615,275,140,280
2021-12-20,40929.520000000004,440,188,117,193
2021-12-21,29839.76,368,182,122,184
2021-12-22,28836.079999999998,326,191,116,191
2021-12-23,35525.95,396,190,115,192
2021-12-24,32453.85,401,190,122,192
2021-12-25,67641.85,819,418,162,425
2021-12-26,48740.88,545,249,146,252
2021-12-27,33573.62,383,199,124,200
2021-12-28,29915.88,345,209,134,213
2021-12-29,28427.3,403,186,125,188
2021-12-30,41984.65,437,180,117,180
2021-12-31,26427.37,326,169,116,172
2022-01-01,53828.409999999996,647,316,158,321
2022-01-02,38893.22,435,212,127,217
2022-01-03,36139.090000000004,413,207,132,207
2022-01-04,35544.36,407,199,120,202
2022-01-05,32450.2,402,207,119,207
2022-01-06,24667.97,303,186,115,186
2022-01-07,22461.3,276,178,116,178
2022-01-08,31375.88,332,209,124,211
2022-01-09,37934.32,464,237,132,237
2022-01-10,25134.94,358,168,115,170
2022-01-11,26404.59,336,171,118,175
2022-01-12,28369.6,367,177,110,179
2022-01-13,28645.26,309,172,107,172
2022-01-14,37832.35,420,198,128,201
2022-01-15,31885.22,341,221,122,226
2022-01-16,41002.35,489,256,143,259
2022-01-17,32467.63,364,195,116,195
2022-01-18,35473.67,428,201,119,204
2022-01-19,34383.85,513,193,113,196
2022-01-20,28929.649999999998,336,197,124,198
2022-01-21,30999.579999999998,367,216,124,217
2022-01-22,35284.98,438,239,146,245
2022-01-23,41294.03,486,239,133,239
2022-01-24,31888.18,375,185,119,185
2022-01-25,30088.98,409,189,116,189
2022-01-26,34033.22,410,211,119,215
2022-01-27,29386.41,345,189,117,191
2022-01-28,32770.64,332,163,108,165
2022-01-29,49688.74,569,268,137,270
2022-01-30,43668.37,525,264,136,265
2022-01-31,29443.88,343,181,119,187
2022-02-01,31588.88,340,205,124,209
2022-02-02,32516.81,409,211,127,214
2022-02-03,22703.69,285,159,108,160
2022-02-04,35300.32,401,181,116,183
2022-02-05,49075.81,566,298,149,303
2022-02-06,41345.34,488,250,143,254
2022-02-07,27963.47,334,199,126,203
2022-02-08,35601.02,394,193,124,195
2022-02-09,34221.94,419,210,119,212
2022-02-10,37925.74,433,257,143,260
2022-02-11,29831.57,354,232,131,232
2022-02-12,54296.74,582,277,146,280
2022-02-13,45561.52,536,231,141,233
2022-02-14,42027.45,466,221,130,224
2022-02-15,34243.7,413,189,119,192
2022-02-16,33967.95,369,207,128,214
2022-02-17,28826.75,323,190,108,191
2022-02-18,35656.729999999996,410,200,122,202
2022-02-19,54242.03,624,283,143,288
2022-02-20,45320.77,576,284,142,288
2022-02-21,37375.46,471,218,128,220
2022-02-22,30130.14,356,217,133,217
2022-02-23,38225.9,506,224,129,228
2022-02-24,42656.99,524,215,131,216
2022-02-25,31938.92,372,213,133,217
2022-02-26,52294.21,612,278,148,283
2022-02-27,56846.12,628,278,140,280
2022-02-28,30974.69,373,220,131,222
2022-03-01,32092.67,417,235,140,239
2022-03-02,35688.34,464,224,132,225
2022-03-03,36071.09,413,225,122,227
2022-03-04,39103.56,455,245,131,252
2022-03-05,48138.13,574,273,146,277
2022-03-06,43205.34,474,275,153,277
2022-03-07,38299.66,438,222,130,224
2022-03-08,38012.34,511,237,133,239
2022-03-09,32798.77,460,213,129,215
2022-03-10,29373.21,382,191,124,193
2022-03-11,33233.24,365,213,127,216
2022-03-12,38989.01,473,252,138,255
2022-03-13,49743.48,556,296,163,303
2022-03-14,36791.8,430,206,130,209
2022-03-15,29684.54,394,228,135,230
2022-03-16,28664.53,363,202,124,203
2022-03-17,40696.29,472,230,136,235
2022-03-18,34908.63,445,234,138,237
2022-03-19,46922.74,584,294,152,299
2022-03-20,47248.76,543,299,151,303
2022-03-21,30018.11,364,202,124,206
2022-03-22,34546.13,416,225,128,227
2022-03-23,40555.02,555,223,125,225
2022-03-24,39589.9,514,237,133,239
2022-03-25,28632.53,355,202,128,204
2022-03-26,47223.01,517,302,154,306
2022-03-27,44284.97,508,293,154,295
2022-03-28,34975.81,444,206,124,209
2022-03-29,34548.41,449,215,128,218
2022-03-30,36228.83,486,225,129,228
2022-03-31,42435.24,505,249,140,255
2022-04-01,47129.32,549,209,124,210
2022-04-02,54934.38,691,301,157,308
2022-04-03,43218.17,501,301,147,303
2022-04-04,36121.91,427,217,129,219
2022-04-05,37294.54,419,242,139,245
2022-04-06,40904.24,398,221,132,223
2022-04-07,46781.39,530,247,130,249
2022-04-08,42315.97,529,238,132,242
2022-04-09,47087.92,542,300,157,301
2022-04-10,46974.53,543,293,142,297
2022-04-11,37622.79,439,212,133,216
2022-04-12,36933.29,433,224,128,224
2022-04-13,32790.13,399,225,125,225
2022-04-14,33684.57,373,226,128,228
2022-04-15,39613.17,477,249,140,249
2022-04-16,48671.85,585,293,148,298
2022-04-17,49206.74,600,299,156,306
2022-04-18,37084.45,425,229,125,232
2022-04-19,30839.48,351,211,123,215
2022-04-20,40406.73,522,233,134,238
2022-04-21,37904.6,468,203,131,204
2022-04-22,31954.6,369,210,137,212
2022-04-23,43217.02,535,269,150,273
2022-04-24,49825.16,607,328,149,334
2022-04-25,38794.55,460,237,138,239
2022-04-26,34178.23,447,220,129,224
2022-04-27,36723.15,382,192,119,194
2022-04-28,39597.53,430,219,116,219
2022-04-29,30569.79,432,209,132,213
2022-04-30,51772.47,664,317,158,323
2022-05-01,42181.82,468,269,143,275
2022-05-02,31963.89,420,226,132,228
2022-05-03,39188.5,462,219,137,225
2022-05-04,36355.83,435,198,121,199
2022-05-05,24915.39,297,178,118,178
2022-05-06,37575.47,461,240,141,244
2022-05-07,45005.3,585,319,156,320
2022-05-08,37113.89,462,255,138,258
2022-05-09,30941.79,350,203,127,205
2022-05-10,35484.23,406,218,128,222
2022-05-11,34432.01,369,196,113,198
2022-05-12,36724.92,426,211,130,212
2022-05-13,33189.99,406,221,136,224
2022-05-14,42761.88,496,280,143,282
2022-05-15,46738.5,577,306,155,312
2022-05-16,35254.950000000004,412,188,123,189
2022-05-17,35261.71,428,223,125,225
2022-05-18,38056.08,408,195,122,198
2022-05-19,39261.09,426,224,140,227
2022-05-20,32590.96,436,218,132,219
2022-05-21,51301.229999999996,564,251,146,256
2022-05-22,44642.34,559,270,139,272
2022-05-23,30114.44,327,208,125,211
2022-05-24,28917.29,323,205,124,209
2022-05-25,29106.17,366,218,125,220
2022-05-26,37801.01,439,192,122,195
2022-05-27,39333.64,441,199,116,202
2022-05-28,53620.4,622,287,154,289
2022-05-29,58843.83,706,311,155,315
2022-05-30,30817.34,367,194,120,196
2022-05-31,45342.22,510,238,134,240
2022-06-01,32606.34,416,207,126,213
2022-06-02,26154.32,290,173,108,173
2022-06-03,29035.7,375,198,129,202
2022-06-04,39074.58,446,255,142,258
2022-06-05,40724.29,537,255,145,259
2022-06-06,28786.97,317,195,125,197
2022-06-07,31375.34,417,215,129,215
2022-06-08,36733.0,496,225,130,228
2022-06-09,29602.72,327,186,123,190
2022-06-10,24189.66,306,190,122,192
2022-06-11,39058.56,448,243,140,244
2022-06-12,42188.01,488,260,136,265
2022-06-13,33425.48,434,185,124,186
2022-06-14,30903.44,388,175,109,178
2022-06-15,27703.82,308,184,115,184
2022-06-16,35719.54,472,203,124,203
2022-06-17,30570.72,340,181,114,182
2022-06-18,48254.97,551,267,139,272
2022-06-19,36526.79,438,209,129,217
2022-06-20,34216.8,380,190,116,192
2022-06-21,34603.94,376,188,122,190
2022-06-22,30011.72,346,172,113,175
2022-06-23,31254.77,355,193,123,194
2022-06-24,33250.79,398,184,112,186
2022-06-25,43431.58,491,227,130,230
2022-06-26,57876.97,687,251,139,256
2022-06-27,33820.27,408,207,126,207
2022-06-28,25517.48,296,183,115,185
2022-06-29,34564.61,396,168,110,170
2022-06-30,26027.86,340,141,104,143
2022-07-01,36178.96,356,168,104,169
2022-07-02,36901.33,478,222,129,224
2022-07-03,34193.31,438,208,125,211
2022-07-04,35169.49,369,168,107,170
2022-07-05,31167.99,381,185,133,185
2022-07-06,28025.35,310,176,118,177
2022-07-07,28800.37,334,187,116,187
2022-07-08,27913.010000000002,305,178,110,179
2022-07-09,30980.63,358,219,124,220
2022-07-10,44072.38,549,231,128,238
2022-07-11,31640.7,391,172,111,174
2022-07-12,22523.079999999998,240,136,95,137
2022-07-13,31885.66,341,167,106,167
2022-07-14,30428.24,353,158,102,158
2022-07-15,31771.28,361,194,119,196
2022-07-16,33993.49,389,226,124,226
2022-07-17,33794.41,419,225,130,227
2022-07-18,26220.75,347,150,102,152
2022-07-19,24166.97,277,156,106,158
2022-07-20,27862.14,324,169,108,170
2022-07-21,31691.57,431,175,115,176
2022-07-22,26255.65,372,159,101,159
2022-07-23,38949.44,453,227,133,230
2022-07-24,34869.81,474,229,131,230
2022-07-25,28621.97,377,148,96,149
2022-07-26,28553.67,315,175,115,176
2022-07-27,29739.3,362,156,108,156
2022-07-28,22617.56,268,158,104,158
2022-07-29,28392.78,281,152,100,152
2022-07-30,45072.54,540,203,126,205
2022-07-31,27689.84,337,195,120,195
2022-08-01,24068.87,298,155,109,157
2022-08-02,33170.34,385,176,110,177
2022-08-03,26235.8,309,174,112,174
2022-08-04,24244.24,299,174,113,174
2022-08-05,23826.34,299,153,109,156
2022-08-06,32318.02,405,205,134,208
2022-08-07,32339.13,370,193,120,195
2022-08-08,21198.27,233,144,105,145
2022-08-09,23595.1,283,138,102,138
2022-08-10,26358.9,316,164,108,165
2022-08-11,23455.02,303,159,110,161
2022-08-12,20263.28,266,132,105,135
2022-08-13,32225.09,385,206,125,208
2022-08-14,26681.3,334,193,126,195
2022-08-15,18697.76,238,134,96,134
2022-08-16,25251.05,291,142,97,143
2022-08-17,30376.57,335,143,95,143
2022-08-18,21304.77,266,145,103,146
2022-08-19,21539.58,279,142,93,142
2022-08-20,40110.45,416,215,137,217
2022-08-21,33876.7,402,189,122,193
2022-08-22,22940.9,293,154,104,154
2022-08-23,19128.670000000002,221,136,100,136
2022-08-24,18986.06,239,140,99,141
2022-08-25,22150.36,252,141,101,142
2022-08-26,21684.77,296,155,108,156
2022-08-27,41687.54,452,212,133,217
2022-08-28,36548.7,399,190,116,192
2022-08-29,19463.97,230,146,101,148
2022-08-30,16283.21,187,137,97,137
2022-08-31,19373.0,241,129,88,129
2022-09-01,18509.0,234,124,90,125
2022-09-02,20538.38,247,159,107,160
2022-09-03,33234.01,393,187,126,189
2022-09-04,34815.89,374,188,120,189
2022-09-05,31181.46,403,151,107,154
2022-09-06,20150.7,250,138,103,138
2022-09-07,17611.32,231,140,100,141
2022-09-08,19644.54,213,135,96,135
2022-09-09,18512.42,204,131,90,133
2022-09-10,33727.65,392,201,123,203
2022-09-11,35034.35,386,180,116,182
2022-09-12,34331.15,374,135,103,136
2022-09-13,19197.12,232,133,94,133
2022-09-14,21293.93,219,134,96,135
2022-09-15,19693.58,195,136,97,136
2022-09-16,18584.8,221,125,97,126
2022-09-17,23888.94,298,149,104,152
2022-09-18,29476.760000000002,325,163,107,164
2022-09-19,18367.36,217,144,96,144
2022-09-20,16963.39,197,129,93,129
2022-09-21,21555.84,269,145,95,146
2022-09-22,16504.32,187,129,89,130
2022-09-23,26726.31,288,120,86,121
2022-09-24,23218.72,247,170,116,170
2022-09-25,30406.58,350,197,114,200
2022-09-26,17940.79,244,110,87,111
2022-09-27,18757.14,223,129,93,129
2022-09-28,22378.52,245,131,94,131
2022-09-29,27108.13,323,131,97,131
2022-09-30,19082.58,216,129,95,129
2022-10-01,25122.46,331,163,119,164
2022-10-02,30441.72,387,194,124,197
2022-10-03,27368.96,310,134,98,135
2022-10-04,22848.6,248,118,89,118
2022-10-05,24765.0,301,136,98,137
2022-10-06,19398.26,234,133,92,135
2022-10-07,22632.19,258,145,101,147
2022-10-08,32292.2,383,203,117,204
2022-10-09,26122.65,296,192,120,195
2022-10-10,17828.78,222,142,100,143
2022-10-11,19180.03,210,127,92,128
2022-10-12,26383.95,297,137,94,138
2022-10-13,19936.56,266,126,90,126
2022-10-14,36934.14,354,152,100,153
2022-10-15,29330.98,334,171,107,172
2022-10-16,25679.73,318,173,106,175
2022-10-17,20881.12,229,129,99,129
2022-10-18,23909.7,281,145,102,145
2022-10-19,18516.88,222,118,88,119
2022-10-20,20627.43,239,128,91,129
2022-10-21,21054.07,295,128,90,129
2022-10-22,25027.86,290,173,109,175
2022-10-23,22444.4,275,155,104,155
2022-10-24,25570.72,284,149,108,149
2022-10-25,20772.42,229,137,96,137
2022-10-26,17899.6,209,137,100,138
2022-10-27,21719.25,233,135,102,135
2022-10-28,19305.73,233,141,103,143
2022-10-29,28044.87,290,175,110,178
2022-10-30,33389.52,422,188,117,189
2022-10-31,25781.63,295,145,95,146
2022-11-01,19073.78,209,140,102,141
2022-11-02,25832.33,290,179,112,180
2022-11-03,20706.02,243,146,96,147
2022-11-04,45894.85,561,297,156,302
2022-11-05,38540.12,499,197,132,202
2022-11-06,35477.37,421,228,125,229
2022-11-07,28899.89,371,166,113,171
2022-11-08,17424.27,215,137,88,137
2022-11-09,28669.739999999998,334,160,109,162
2022-11-10,19274.28,213,147,100,148
2022-11-11,26852.24,319,149,105,149
2022-11-12,48092.03,552,238,142,242
2022-11-13,24682.16,276,186,119,188
2022-11-14,29561.64,317,167,113,168
2022-11-15,25457.29,297,153,111,156
2022-11-16,23849.22,275,160,109,163
2022-11-17,24985.01,276,150,104,150
2022-11-18,29194.93,359,158,104,159
2022-11-19,42255.38,523,240,136,242
2022-11-20,34887.4,449,242,139,244
2022-11-21,28552.18,367,179,115,185
2022-11-22,29964.09,343,199,120,202
2022-11-23,22231.88,263,146,110,146
