product_id,product_name,supplier_name,supplier_id,lead_time_days,reorder_level,stockout_level,available_stock,last_order_date,next_expected_delivery,sold_qty,needs_reorder
p100080,Staples Child 80,supplier_3,s1106,15,126,57,0,2025-09-09,2025-09-24,3680,True
p100081,Laptop Character 81,supplier_13,s1240,13,171,30,0,2025-01-02,2025-01-15,2832,True
p100082,Decor Letter 82,supplier_15,s1655,13,6,1,0,2025-10-11,2025-10-24,2417,True
p100083,Staples Her 83,supplier_50,s1800,4,61,7,0,2024-12-06,2024-12-10,1681,True
p100084,Skincare Stand 84,supplier_49,s1926,16,169,73,0,2025-01-31,2025-02-16,4655,True
p100085,Staples Production 85,supplier_6,s1124,14,110,38,0,2025-01-14,2025-01-28,3805,True
p100086,Mobile Find 86,supplier_23,s1155,4,15,3,0,2025-08-03,2025-08-07,2669,True
p100087,Furniture Meet 87,supplier_27,s1979,5,104,36,0,2025-09-23,2025-09-28,3169,True
p100088,Accessory Throughout 88,supplier_11,s1883,2,85,11,0,2025-08-10,2025-08-12,3428,True
p100089,Beverages Usually 89,supplier_19,s1979,10,110,39,0,2024-12-30,2025-01-09,3331,True
p100090,Laptop Note 90,supplier_23,s1144,24,110,36,0,2025-06-25,2025-07-19,4192,True
p100091,Accessory Value 91,supplier_13,s1648,22,35,10,0,2025-08-19,2025-09-10,1993,True
p100092,Women Hold 92,supplier_46,s1473,29,194,40,0,2025-08-25,2025-09-23,5375,True
p100093,Makeup Goal 93,supplier_31,s1427,17,83,21,0,2025-02-23,2025-03-12,3983,True
p100094,Accessory Story 94,supplier_43,s1217,1,122,13,0,2025-06-19,2025-06-20,3954,True
p100095,Mobile Area 95,supplier_24,s1473,22,23,7,0,2025-03-18,2025-04-09,2044,True
p100096,Staples Most 96,supplier_28,s1647,16,125,51,0,2025-06-19,2025-07-05,2358,True
p100097,Furniture Measure 97,supplier_10,s1430,15,107,32,0,2025-06-03,2025-06-18,3667,True
p100098,Kitchen I 98,supplier_28,s1885,19,170,52,0,2025-04-12,2025-05-01,2191,True
p100099,Decor Long 99,supplier_13,s1314,9,79,11,0,2025-04-15,2025-04-24,4302,True
p100100,Men Single 100,supplier_44,s1841,17,20,4,0,2025-07-02,2025-07-19,4057,True
p100101,Mobile Set 101,supplier_37,s1313,2,181,77,0,2025-10-07,2025-10-09,3006,True
p100102,Accessory Door 102,supplier_21,s1371,21,51,7,0,2025-03-07,2025-03-28,4751,True
p100103,Furniture Speak 103,supplier_26,s1957,31,92,20,0,2025-01-04,2025-02-04,3427,True
p100104,Makeup Institution 104,supplier_8,s1704,12,185,19,0,2025-02-21,2025-03-05,2346,True
p100105,Beverages Growth 105,supplier_38,s1524,19,143,62,0,2025-08-13,2025-09-01,2220,True
p100106,Accessory Represent 106,supplier_48,s1555,8,161,25,0,2024-10-16,2024-10-24,2147,True
p100107,Men Law 107,supplier_43,s1392,25,167,45,0,2025-01-10,2025-02-04,3335,True
p100108,Laptop Account 108,supplier_46,s1150,8,52,6,0,2024-11-15,2024-11-23,3713,True
p100109,Laptop Husband 109,supplier_10,s1291,11,199,59,0,2025-03-12,2025-03-23,6392,True
p100110,Decor Security 110,supplier_14,s1243,9,171,61,0,2025-02-22,2025-03-03,3489,True
p100111,Beverages Institution 111,supplier_40,s1762,16,146,46,0,2025-06-01,2025-06-17,3909,True
p100112,Women Quite 112,supplier_47,s1843,18,108,47,0,2025-01-05,2025-01-23,3828,True
p100113,Staples Spring 113,supplier_22,s1908,9,28,6,0,2024-12-06,2024-12-15,2973,True
p100114,Skincare Face 114,supplier_2,s1398,17,127,21,0,2025-02-24,2025-03-13,4624,True
p100115,Laptop Strong 115,supplier_16,s1191,13,123,34,0,2024-11-08,2024-11-21,7370,True
p100116,Makeup Assume 116,supplier_8,s1597,14,86,32,0,2025-07-03,2025-07-17,1942,True
p100117,Makeup Hotel 117,supplier_36,s1980,24,176,71,0,2025-04-21,2025-05-15,2437,True
p100118,Skincare Entire 118,supplier_26,s1719,6,126,56,0,2024-12-31,2025-01-06,3286,True
p100119,Decor Tax 119,supplier_26,s1731,6,131,47,0,2025-03-25,2025-03-31,2806,True
p100120,Furniture High 120,supplier_6,s1983,16,165,65,0,2025-01-18,2025-02-03,3587,True
p100121,Beverages Certain 121,supplier_1,s1123,6,104,30,0,2025-01-02,2025-01-08,2607,True
p100122,Furniture Great 122,supplier_43,s1464,2,52,21,0,2025-05-15,2025-05-17,3976,True
p100123,Laptop Smile 123,supplier_12,s1554,10,56,24,0,2024-11-09,2024-11-19,4072,True
p100124,Furniture Morning 124,supplier_3,s1372,18,76,28,0,2025-09-03,2025-09-21,5090,True
p100125,Kitchen Because 125,supplier_33,s1772,9,149,62,0,2025-01-16,2025-01-25,3852,True
p100126,Beverages Agreement 126,supplier_46,s1234,25,50,5,0,2024-12-03,2024-12-28,4582,True
p100127,Staples Few 127,supplier_14,s1676,18,153,70,0,2025-05-19,2025-06-06,2995,True
p100128,Kitchen Fight 128,supplier_13,s1237,3,107,47,0,2025-06-07,2025-06-10,2963,True
p100129,Kitchen Myself 129,supplier_36,s1589,12,27,12,0,2025-07-04,2025-07-16,5124,True
p100130,Beverages Once 130,supplier_34,s1084,18,92,38,0,2025-01-24,2025-02-11,2526,True
p100131,Mobile Story 131,supplier_32,s1296,12,109,35,0,2025-08-24,2025-09-05,2996,True
p100132,Men Another 132,supplier_4,s1391,12,47,7,0,2025-04-14,2025-04-26,3324,True
p100133,Skincare Lot 133,supplier_5,s1067,19,113,31,0,2025-10-06,2025-10-25,3633,True
p100134,Staples Teacher 134,supplier_45,s1342,12,178,71,0,2024-10-27,2024-11-08,3059,True
p100135,Kids Imagine 135,supplier_50,s1284,14,80,18,0,2025-07-19,2025-08-02,2849,True
p100136,Staples Offer 136,supplier_16,s1529,4,47,16,0,2025-03-11,2025-03-15,1957,True
p100137,Makeup True 137,supplier_43,s1241,20,39,17,0,2025-08-17,2025-09-06,2850,True
p100138,Men Allow 138,supplier_4,s1560,17,119,32,0,2024-12-30,2025-01-16,3899,True
p100139,Kitchen Our 139,supplier_48,s1993,11,54,24,0,2024-12-19,2024-12-30,2800,True
p100140,Snacks Next 140,supplier_24,s1184,20,67,24,0,2025-09-05,2025-09-25,3558,True
p100141,Laptop Like 141,supplier_39,s1512,13,32,15,0,2025-09-29,2025-10-12,4221,True
p100142,Staples Light 142,supplier_15,s1041,3,116,32,0,2025-09-19,2025-09-22,4524,True
p100143,Mobile First 143,supplier_40,s1312,13,171,43,0,2025-09-02,2025-09-15,2790,True
p100144,Skincare Street 144,supplier_45,s1697,8,195,50,0,2025-06-24,2025-07-02,2402,True
p100145,Beverages Than 145,supplier_8,s1001,19,85,8,0,2024-12-02,2024-12-21,5052,True
p100146,Decor Around 146,supplier_14,s1489,4,84,34,0,2025-05-08,2025-05-12,2976,True
p100147,Makeup Federal 147,supplier_27,s1260,22,121,35,0,2025-07-16,2025-08-07,2498,True
p100148,Skincare Concern 148,supplier_17,s1228,16,53,6,0,2024-11-07,2024-11-23,4126,True
p100149,Furniture Speak 149,supplier_44,s1710,15,122,18,0,2025-09-25,2025-10-10,3556,True
p100150,Snacks Member 150,supplier_5,s1009,20,164,23,0,2025-10-01,2025-10-21,5394,True
p100151,Makeup Man 151,supplier_24,s1241,23,49,21,0,2025-03-11,2025-04-03,2686,True
p100152,Mobile Tree 152,supplier_15,s1852,27,94,38,0,2025-08-14,2025-09-10,3329,True
p100153,Laptop Modern 153,supplier_15,s1254,12,113,38,0,2025-04-30,2025-05-12,3201,True
p100154,Furniture Father 154,supplier_4,s1361,8,33,13,0,2025-06-18,2025-06-26,4192,True
p100155,Skincare Or 155,supplier_15,s1216,19,128,16,0,2025-06-19,2025-07-08,2164,True
p100156,Accessory Career 156,supplier_37,s1346,15,141,55,0,2025-08-13,2025-08-28,2534,True
p100157,Makeup Month 157,supplier_16,s1737,24,29,9,0,2024-11-22,2024-12-16,4376,True
p100158,Snacks Myself 158,supplier_39,s1143,7,16,4,0,2025-08-10,2025-08-17,4359,True
p100159,Women Them 159,supplier_14,s1004,14,112,37,0,2024-10-15,2024-10-29,3248,True
p100160,Women Matter 160,supplier_29,s1896,15,85,29,0,2025-03-31,2025-04-15,4839,True
p100161,Women Thought 161,supplier_37,s1050,6,30,10,0,2025-06-27,2025-07-03,3923,True
p100162,Mobile Stage 162,supplier_10,s1018,21,35,15,0,2025-07-20,2025-08-10,4886,True
p100163,Mobile Health 163,supplier_31,s1610,7,107,39,0,2025-05-21,2025-05-28,3151,True
p100164,Kids Sea 164,supplier_39,s1566,14,144,38,0,2024-10-19,2024-11-02,2746,True
p100165,Snacks Fill 165,supplier_48,s1012,10,74,19,0,2025-04-06,2025-04-16,2970,True
p100166,Makeup Defense 166,supplier_39,s1888,12,36,5,0,2025-02-05,2025-02-17,2105,True
p100167,Kids Marriage 167,supplier_14,s1178,25,184,85,0,2024-12-03,2024-12-28,2337,True
p100168,Beverages Maybe 168,supplier_18,s1469,1,130,32,0,2024-11-26,2024-11-27,7078,True
p100169,Women Key 169,supplier_5,s1740,5,109,35,0,2024-12-31,2025-01-05,4449,True
p100170,Beverages Always 170,supplier_39,s1903,9,172,24,0,2024-12-25,2025-01-03,2208,True
p100171,Mobile Need 171,supplier_22,s1742,12,46,11,0,2024-10-20,2024-11-01,2379,True
p100172,Mobile Represent 172,supplier_47,s1886,15,127,43,0,2025-06-18,2025-07-03,3977,True
p100173,Laptop Challenge 173,supplier_20,s1408,21,117,33,0,2024-11-05,2024-11-26,2479,True
p100174,Women By 174,supplier_17,s1376,16,154,25,0,2025-08-26,2025-09-11,4821,True
p100175,Makeup Cell 175,supplier_3,s1339,19,146,20,0,2025-07-16,2025-08-04,4009,True
p100176,Women Beat 176,supplier_30,s1880,10,98,17,0,2025-07-31,2025-08-10,3077,True
p100177,Accessory Describe 177,supplier_3,s1467,14,29,8,0,2025-09-26,2025-10-10,2205,True
p100178,Skincare Discover 178,supplier_13,s1651,1,177,35,0,2025-09-02,2025-09-03,3500,True
p100179,Women Kitchen 179,supplier_16,s1764,14,155,76,0,2024-11-17,2024-12-01,4718,True
p100180,Beverages Could 180,supplier_18,s1952,7,84,18,0,2025-08-23,2025-08-30,2081,True
p100181,Skincare Clear 181,supplier_22,s1096,3,149,47,0,2025-03-01,2025-03-04,3694,True
p100182,Beverages Audience 182,supplier_5,s1253,12,25,8,0,2024-12-06,2024-12-18,6216,True
p100183,Skincare Notice 183,supplier_37,s1295,4,167,67,0,2025-05-18,2025-05-22,2644,True
p100184,Kitchen Spring 184,supplier_3,s1206,10,84,38,0,2025-08-29,2025-09-08,2676,True
p100185,Accessory Respond 185,supplier_20,s1264,7,125,33,0,2025-08-08,2025-08-15,2328,True
p100186,Skincare Effect 186,supplier_10,s1245,21,31,13,0,2024-12-06,2024-12-27,2031,True
p100187,Laptop Eight 187,supplier_27,s1530,24,69,11,0,2025-07-15,2025-08-08,2199,True
p100188,Decor Player 188,supplier_4,s1887,10,69,20,0,2025-04-07,2025-04-17,2289,True
p100189,Laptop True 189,supplier_20,s1536,13,75,11,0,2025-08-25,2025-09-07,3163,True
p100190,Accessory Industry 190,supplier_5,s1481,26,33,10,0,2025-08-14,2025-09-09,5342,True
p100191,Men Seven 191,supplier_9,s1252,21,79,36,0,2025-08-30,2025-09-20,3081,True
p100192,Snacks Deal 192,supplier_46,s1607,23,194,60,0,2025-05-19,2025-06-11,3125,True
p100193,Women Magazine 193,supplier_42,s1987,17,164,47,0,2025-01-15,2025-02-01,3450,True
p100194,Men Need 194,supplier_42,s1919,6,114,27,0,2025-09-24,2025-09-30,4807,True
p100195,Makeup Professor 195,supplier_33,s1622,14,129,23,0,2024-12-27,2025-01-10,2857,True
p100196,Snacks Receive 196,supplier_27,s1437,14,152,75,0,2025-10-12,2025-10-26,1902,True
p100197,Mobile Why 197,supplier_44,s1062,21,160,25,0,2025-08-26,2025-09-16,2697,True
p100198,Makeup Into 198,supplier_25,s1392,19,131,51,0,2025-06-18,2025-07-07,6682,True
p100199,Decor Arrive 199,supplier_16,s1659,5,19,9,0,2025-04-23,2025-04-28,4536,True
