product_id,product_name,product_unit_price,product_category,product_description,product_image,brand_name,sku,barcode,launch_date,is_active
P000025,WholeFoods Juice,13.93,Groceries,Class material vote wear cause mother people certainly.,https://images.unsplash.com/photo-1542831371-d531d36971e6,WholeFoods,SKU-000025,262888121719,2021-08-22,True
P000026,TraderJoes Chocolate,50.0,Groceries,Read trial senior reality hotel stuff can yourself not.,https://images.unsplash.com/photo-1572441710523-4cfa1a2b48b4,TraderJoes,SKU-000026,841604443662,2023-10-31,True
P000027,Nike Football,134.14,Sports,Out land he upon several put though page audience direction sort get vote.,https://images.unsplash.com/photo-1599058917212-d750089bc07a,Nike,SKU-000027,531355472800,2021-12-08,True
P000028,Philips Tablet,517.59,Electronics,Operation with ahead south stock interview future main sense drug.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Philips,SKU-000028,793798226816,2023-02-24,True
P000029,Yonex Football,280.32,Sports,Ten ground he company police defense.,https://cdn-icons-png.flaticon.com/512/1046/1046950.png,Yonex,SKU-000029,201071918034,2021-11-10,True
P000030,NaturesBest Cheese,15.48,Groceries,Strong painting natural center wife purpose effort sea.,https://images.unsplash.com/photo-1510626176961-4b37d0f0b7c8,NaturesBest,SKU-000030,226812347631,2022-01-13,True
P000031,Nike Basketball,164.36,Sports,Life our head however sing doctor across fine world build outside ten move.,https://cdn-icons-png.flaticon.com/512/1046/1046951.png,Nike,SKU-000031,747840552452,2022-11-20,True
P000032,GE Refrigerator,925.34,Appliances,Hard contain fall study evening reason computer yard college about win receive dream.,https://picsum.photos/400/400,GE,SKU-000032,517321874721,2023-02-20,True
P000033,Dove Conditioner,85.76,Beauty,Event test company watch only suggest morning senior onto stock method.,https://picsum.photos/400/400,Dove,SKU-000033,303923277069,2022-11-17,True
P000034,Philips Chair,311.51,Home & Kitchen,Peace require more husband oil blood light benefit newspaper space.,https://cdn-icons-png.flaticon.com/512/3515/3515265.png,Philips,SKU-000034,759944173215,2023-01-12,True
P000035,Yonex Running Shoes,396.47,Sports,Dream recognize friend what represent great nature could list.,https://images.unsplash.com/photo-1517649763962-0c623066013b,Yonex,SKU-000035,837891624550,2022-09-03,True
P000036,NaturesBest Snack Pack,30.43,Groceries,Floor kid modern much writer beat culture part from help reason.,https://images.unsplash.com/photo-1567306226416-28f0efdc88ce,NaturesBest,SKU-000036,499547542707,2021-10-10,True
P000037,CVSBrand First Aid Kit,154.16,Health,Enough citizen product own and southern employee follow.,https://picsum.photos/400/400,CVSBrand,SKU-000037,486461882141,2021-11-21,True
P000038,Husqvarna Pruner,86.71,Garden,Woman upon resource total coach win across others TV.,https://picsum.photos/400/400,Husqvarna,SKU-000038,426209500125,2022-06-04,True
P000039,TraderJoes Cereal,8.96,Groceries,Unit participant choose TV create laugh knowledge maybe from environmental.,https://images.unsplash.com/photo-1580910051073-e6a1b1b7f9e1,TraderJoes,SKU-000039,659804466448,2023-01-24,True
P000040,NaturesBest Milk,21.18,Groceries,Hot rate management easy experience wife tough citizen discussion where TV.,https://images.unsplash.com/photo-1567306226416-28f0efdc88ce,NaturesBest,SKU-000040,678788385536,2022-05-08,True
P000041,Penguin Biography,26.82,Books,Physical deal truth agency identify attorney those as staff step.,https://picsum.photos/400/400,Penguin,SKU-000041,251921040877,2021-07-24,True
P000042,Hasbro Puzzle,181.65,Toys & Games,Research magazine single what realize strategy force stage million south.,https://picsum.photos/400/400,Hasbro,SKU-000042,270366748709,2023-02-15,True
P000043,HarperCollins Cookbook,50.0,Books,Few show son may central heart.,https://picsum.photos/400/400,HarperCollins,SKU-000043,936848888847,2023-02-23,True
P000044,WalgreensBrand First Aid Kit,196.81,Health,Month understand behind music from card test sister.,https://picsum.photos/400/400,WalgreensBrand,SKU-000044,655544343914,2023-10-09,True
P000045,Staples Printer,63.45,Office Supplies,Teacher line the cold society discover economic at stay staff store.,https://picsum.photos/400/400,Staples,SKU-000045,722179951907,2023-05-11,True
P000046,Prada Watch,163.87,Fashion,Ever without work cut mission TV garden question including ability west think political.,https://images.unsplash.com/photo-1520975918318-5bfb3c1f6a5d,Prada,SKU-000046,687885888774,2022-04-04,True
P000047,Apple Speaker,669.74,Electronics,Admit theory staff door shake increase market forward trip old economic only office.,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f,Apple,SKU-000047,283346395588,2022-08-01,True
P000048,Columbia Backpack,257.56,Outdoor,Machine light admit factor note type laugh task each information among hot whatever.,https://picsum.photos/400/400,Columbia,SKU-000048,720887870025,2022-07-03,True
P000049,Instant Pot Blender,259.38,Home & Kitchen,Task participant tree return skin security director as.,https://cdn-icons-png.flaticon.com/512/3515/3515265.png,Instant Pot,SKU-000049,939103917340,2021-08-24,True
P000050,Whirlpool Coffee Maker,370.47,Appliances,Almost environmental maybe generation art ever military trial in loss.,https://picsum.photos/400/400,Whirlpool,SKU-000050,350457401183,2022-04-03,True
P000051,Johnson&Johnson Baby Monitor,51.17,Baby,Third discuss performance office throw during learn enjoy individual.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000051,643698979179,2023-11-09,True
P000052,Adidas Sunglasses,50.04,Fashion,Mission act factor pressure western organization tree red present.,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb,Adidas,SKU-000052,260375388190,2022-08-22,True
P000053,Samsung Refrigerator,2500.0,Appliances,School matter adult class positive people thank western bag officer industry to worker remain.,https://picsum.photos/400/400,Samsung,SKU-000053,911165803495,2023-01-01,True
P000054,GE Refrigerator,2500.0,Appliances,Probably impact kind consumer blood too.,https://picsum.photos/400/400,GE,SKU-000054,119926176467,2023-05-29,True
P000055,Mobil Headlight,49.15,Automotive,Prepare million movie pretty beyond bed receive by talk authority.,https://picsum.photos/400/400,Mobil,SKU-000055,839303459901,2023-04-16,True
P000056,Nike Bag,300.0,Fashion,Which street loss summer show as owner sister think good.,https://cdn-icons-png.flaticon.com/512/3456/3456426.png,Nike,SKU-000056,758682842558,2021-12-16,True
P000057,Instant Pot Table,182.88,Home & Kitchen,Particular blue professional red condition of environment store senior star financial visit allow.,https://cdn-icons-png.flaticon.com/512/3515/3515265.png,Instant Pot,SKU-000057,414538365631,2023-12-24,True
P000058,Lenovo Headphones,1877.89,Electronics,Popular tend garden defense million during better feel attention agreement father particularly people.,https://images.unsplash.com/photo-1517336714731-489689fd1ca8,Lenovo,SKU-000058,759467418403,2023-11-26,True
P000059,Kenwood Vacuum,600.0,Home & Kitchen,Staff particular adult lay design give free hold receive all card group seat benefit.,https://cdn-icons-png.flaticon.com/512/3515/3515265.png,Kenwood,SKU-000059,304170703695,2023-02-06,True
P000060,Hamilton Beach Lamp,394.77,Home & Kitchen,Notice all fund pass our me way itself growth.,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,Hamilton Beach,SKU-000060,288596189279,2021-07-18,True
P000061,Under Armour Watch,94.84,Fashion,Inside fire my person off remember.,https://cdn-icons-png.flaticon.com/512/836/836600.png,Under Armour,SKU-000061,311480014452,2022-10-04,True
P000062,KrogerBrand Milk,10.76,Groceries,Person red pretty here program respond history now.,https://cdn-icons-png.flaticon.com/512/590/590836.png,KrogerBrand,SKU-000062,634852796720,2021-11-20,True
P000063,Dell Tablet,732.77,Electronics,Central capital year production yeah end find far choice.,https://cdn-icons-png.flaticon.com/512/1046/1046784.png,Dell,SKU-000063,587540353312,2021-12-21,True
P000064,Hamilton Beach Vacuum,340.74,Home & Kitchen,Ok science around information term trade point sister skin medical culture fill live question.,https://images.unsplash.com/photo-1606813909028-63e1d6c1f2e4,Hamilton Beach,SKU-000064,841798907171,2022-07-09,True
P000065,Johnson&Johnson Pain Relief,118.96,Health,Present put sort first understand traditional indeed very knowledge million.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000065,618765114482,2022-08-20,True
P000066,Under Armour Shoes,56.19,Fashion,Place free crime way firm idea half interview home walk push either usually.,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb,Under Armour,SKU-000066,180309456142,2023-01-23,True
P000067,GenericBrandB Backpack,43.6,Misc,College nothing cut read tell artist nothing one plan task total down fight.,https://cdn-icons-png.flaticon.com/512/679/679922.png,GenericBrandB,SKU-000067,703036947646,2021-08-10,True
P000068,Dell Monitor,3000.0,Electronics,In participant effect force kind finish production personal special result.,https://cdn-icons-png.flaticon.com/512/1046/1046784.png,Dell,SKU-000068,218218418613,2022-06-28,True
P000069,3M Car Cover,383.09,Automotive,Economy identify employee everybody before mission teach themselves reality answer police seem her.,https://picsum.photos/400/400,3M,SKU-000069,294121612993,2022-04-19,True
P000070,Whirlpool Toaster,2500.0,Appliances,Visit often country with thank health factor often job light want.,https://picsum.photos/400/400,Whirlpool,SKU-000070,388620062647,2023-12-02,True
P000071,TraderJoes Juice,7.46,Groceries,Official local hospital specific city parent approach best worker buy have black none.,https://images.unsplash.com/photo-1567306226416-28f0efdc88ce,TraderJoes,SKU-000071,160323861676,2021-09-27,True
P000072,WalgreensBrand Bandages,135.87,Health,Single deal finish eight trade interest wonder.,https://picsum.photos/400/400,WalgreensBrand,SKU-000072,883546938526,2022-05-21,True
P000073,TheNorthFace Camping Stove,248.28,Outdoor,Plant last as answer really piece husband heart professor.,https://picsum.photos/400/400,TheNorthFace,SKU-000073,417865598003,2022-05-01,True
P000074,Puma Helmet,400.0,Sports,Run either what range continue part always garden message particularly lawyer but.,https://images.unsplash.com/photo-1599058917504-b3d2ef26738f,Puma,SKU-000074,373200206347,2023-07-26,True
P000075,Whirlpool Coffee Maker,1361.98,Appliances,Serious far individual spring report carry hotel.,https://picsum.photos/400/400,Whirlpool,SKU-000075,587937502464,2022-10-31,True
P000076,Sephora Cream,143.19,Beauty,Will heavy image agree develop positive nor six as as head response.,https://picsum.photos/400/400,Sephora,SKU-000076,531365334813,2023-04-11,True
P000077,Instant Pot Chair,231.85,Home & Kitchen,American art raise affect movie detail operation serve his media seven discussion.,https://images.unsplash.com/photo-1582582420890-bb38a3a36d17,Instant Pot,SKU-000077,417110202256,2023-07-24,False
P000078,WalgreensBrand Pain Relief,148.22,Health,Process player away particularly four teacher interest year wonder.,https://picsum.photos/400/400,WalgreensBrand,SKU-000078,732359021319,2022-06-22,True
P000079,Sephora Mascara,175.34,Beauty,Indicate those seat deep rise size activity tonight most political light.,https://picsum.photos/400/400,Sephora,SKU-000079,127677925062,2022-06-17,True
P000080,CVSBrand Vitamins,181.73,Health,Item address then that others imagine cold because those.,https://picsum.photos/400/400,CVSBrand,SKU-000080,369794370597,2021-09-07,True
P000081,NaturesBest Cheese,50.0,Groceries,Top although physical energy decide paper travel source ago.,https://images.unsplash.com/photo-1580910051073-e6a1b1b7f9e1,NaturesBest,SKU-000081,433686717216,2021-09-01,True
P000082,Johnson&Johnson First Aid Kit,100.4,Health,Run full understand within ball break later.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000082,825014738637,2022-02-02,True
P000083,Adidas Running Shoes,189.83,Sports,Cut population senior trouble customer forget.,https://images.unsplash.com/photo-1505842465776-3d4f1c8a57f0,Adidas,SKU-000083,259527126177,2022-12-13,True
P000084,Johnson&Johnson Pain Relief,78.75,Health,State front article industry important production know wide public memory guy media wear.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000084,637273705053,2022-06-27,True
P000085,Yonex Football,400.0,Sports,Production read your expert book memory make war foot black control so blood.,https://images.unsplash.com/photo-1599058917504-b3d2ef26738f,Yonex,SKU-000085,618586233548,2023-03-22,True
P000086,Apple Phone,447.15,Electronics,Talk training this lay often environmental become official student long follow.,https://cdn-icons-png.flaticon.com/512/1046/1046784.png,Apple,SKU-000086,586320371245,2023-04-21,True
P000087,Uniqlo Sunglasses,90.9,Fashion,Since water area all bed human however hand form believe evening require.,https://images.unsplash.com/photo-1520975918318-5bfb3c1f6a5d,Uniqlo,SKU-000087,794993576634,2021-09-03,False
P000088,Sephora Perfume,143.9,Beauty,Strong would thing shake practice give everything method prepare American letter among agree.,https://picsum.photos/400/400,Sephora,SKU-000088,340444336556,2023-06-10,True
P000089,KrogerBrand Chocolate,26.8,Groceries,Prepare fear enough respond source well spend.,https://cdn-icons-png.flaticon.com/512/3075/3075977.png,KrogerBrand,SKU-000089,846140453482,2022-04-09,True
P000090,TheNorthFace Jacket,196.69,Outdoor,Manage audience win baby cultural lay leave both protect.,https://picsum.photos/400/400,TheNorthFace,SKU-000090,309947361373,2022-03-16,True
P000091,GenericBrandA Gift Card,166.51,Misc,Realize soon fact information difference mind memory population site marriage marriage.,https://cdn-icons-png.flaticon.com/512/679/679922.png,GenericBrandA,SKU-000091,584543864256,2023-05-04,True
P000092,Whirlpool Toaster,2500.0,Appliances,Understand win easy work music bill stock bar single traditional data price.,https://picsum.photos/400/400,Whirlpool,SKU-000092,561695201010,2023-01-27,True
P000093,Johnson&Johnson First Aid Kit,21.87,Health,Fight huge shoulder continue reveal crime east but them seven.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000093,747496590766,2021-11-02,True
P000094,Kenwood Table,200.24,Home & Kitchen,Mission candidate notice fast firm last down set nation.,https://images.unsplash.com/photo-1598300054675-87cbbd41bb7b,Kenwood,SKU-000094,750553793104,2023-12-15,True
P000095,Lenovo Phone,1632.01,Electronics,Management picture college management laugh gas direction born moment put loss.,https://cdn-icons-png.flaticon.com/512/1046/1046784.png,Lenovo,SKU-000095,369548895569,2022-11-23,True
P000096,WholeFoods Cheese,50.0,Groceries,Debate party hospital gun process home cover where suggest.,https://cdn-icons-png.flaticon.com/512/590/590836.png,WholeFoods,SKU-000096,295045711291,2021-08-07,True
P000097,WholeFoods Snack Pack,11.74,Groceries,Carry carry whole teacher lead itself hour hot.,https://cdn-icons-png.flaticon.com/512/3075/3075977.png,WholeFoods,SKU-000097,288063104778,2021-11-27,True
P000098,L'Oreal Cream,15.65,Beauty,Fire reveal present whether behind against.,https://picsum.photos/400/400,L'Oreal,SKU-000098,237580822786,2023-04-02,True
P000099,Adidas Basketball,202.45,Sports,Response discover control recent baby seem send on happen cell land better.,https://cdn-icons-png.flaticon.com/512/1046/1046947.png,Adidas,SKU-000099,976430778666,2023-03-26,True
P000100,Sony Phone,1625.92,Electronics,Kid local land military catch mission wind soon deal weight may.,https://cdn-icons-png.flaticon.com/512/4202/4202836.png,Sony,SKU-000100,632347847477,2023-12-01,True
P000101,GE Refrigerator,934.24,Appliances,Pass agent generation class would dog wife prevent thing.,https://picsum.photos/400/400,GE,SKU-000101,786559334125,2022-08-18,True
P000102,TraderJoes Chocolate,50.0,Groceries,Size ball surface save strategy guess eight rate.,https://cdn-icons-png.flaticon.com/512/1046/1046787.png,TraderJoes,SKU-000102,290949832430,2023-04-07,True
P000103,Hamilton Beach Vacuum,169.78,Home & Kitchen,Home capital all street mouth already charge into population mission.,https://images.unsplash.com/photo-1505691938895-1758d7feb511,Hamilton Beach,SKU-000103,421739383004,2021-08-30,True
P000104,The Body Shop Cream,55.33,Beauty,Often subject stop operation job feeling fine partner run right.,https://picsum.photos/400/400,The Body Shop,SKU-000104,305783815154,2022-01-14,True
P000105,LG Monitor,3000.0,Electronics,Ball save others behavior them example test interview.,https://cdn-icons-png.flaticon.com/512/1046/1046784.png,LG,SKU-000105,121133371666,2022-10-24,True
P000106,Samsung Washing Machine,2467.78,Appliances,Mouth quite science soon wind hot laugh stand ever way few thing in.,https://picsum.photos/400/400,Samsung,SKU-000106,206813295668,2023-10-12,True
P000107,The Body Shop Conditioner,45.04,Beauty,Education law town subject behind rich pass.,https://picsum.photos/400/400,The Body Shop,SKU-000107,684045527091,2022-01-06,True
P000108,Husqvarna Plant Pot,42.07,Garden,Policy people matter service very wait tax approach record such way American suffer.,https://picsum.photos/400/400,Husqvarna,SKU-000108,217707233009,2022-06-12,True
P000109,GE Coffee Maker,573.59,Appliances,Player talk difficult thought region smile material think operation.,https://picsum.photos/400/400,GE,SKU-000109,669750315293,2023-09-21,True
P000110,Hamilton Beach Lamp,375.35,Home & Kitchen,Race else newspaper couple really final organization.,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,Hamilton Beach,SKU-000110,181374232419,2022-03-16,True
P000111,Lenovo Camera,1250.76,Electronics,Hard huge sure five consider inside address live military.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Lenovo,SKU-000111,184912361077,2023-10-28,True
P000112,Pedigree Pet Bed,108.24,Pet Supplies,Once me seek exactly term media image whatever feel only most technology best.,https://picsum.photos/400/400,Pedigree,SKU-000112,140170623103,2022-05-05,True
P000113,IKEA Knife Set,431.69,Home & Kitchen,Third view statement gas option most bit.,https://cdn-icons-png.flaticon.com/512/1046/1046857.png,IKEA,SKU-000113,708600875283,2023-07-02,True
P000114,Sony Headphones,3000.0,Electronics,Manage player start interesting small article in word window study increase record want.,https://cdn-icons-png.flaticon.com/512/4202/4202836.png,Sony,SKU-000114,736988446327,2022-04-06,True
P000115,TraderJoes Juice,9.92,Groceries,Standard street though international affect top identify act traditional near people we loss.,https://cdn-icons-png.flaticon.com/512/3075/3075977.png,TraderJoes,SKU-000115,335101701885,2023-10-04,True
P000116,Staples Notebook,65.03,Office Supplies,Western time weight everyone reality try show society pretty.,https://picsum.photos/400/400,Staples,SKU-000116,173086685151,2023-10-07,True
P000117,TraderJoes Juice,50.0,Groceries,Hotel single another wind game apply risk despite huge may.,https://cdn-icons-png.flaticon.com/512/3075/3075977.png,TraderJoes,SKU-000117,849983031584,2022-03-27,True
P000118,WholeFoods Cheese,50.0,Groceries,Organization politics institution main among learn onto.,https://cdn-icons-png.flaticon.com/512/1046/1046787.png,WholeFoods,SKU-000118,336599318915,2023-10-13,True
P000119,Levi's Jacket,234.39,Fashion,Huge suggest ready write certainly process.,https://cdn-icons-png.flaticon.com/512/836/836600.png,Levi's,SKU-000119,866029150288,2023-09-26,True
P000120,CVSBrand Protein Powder,143.15,Health,Present too there job air much sign current.,https://picsum.photos/400/400,CVSBrand,SKU-000120,919073762302,2023-08-26,True
P000121,WalgreensBrand First Aid Kit,200.0,Health,Far story professional drop person natural church reach any something better occur.,https://picsum.photos/400/400,WalgreensBrand,SKU-000121,778740589969,2023-01-19,True
P000122,NaturesBest Juice,23.53,Groceries,Beyond animal difficult agree impact quality forget.,https://images.unsplash.com/photo-1567306226416-28f0efdc88ce,NaturesBest,SKU-000122,969744360118,2021-11-24,True
P000123,Hamilton Beach Knife Set,33.95,Home & Kitchen,Choice management read edge much marriage range evidence two probably.,https://images.unsplash.com/photo-1505691938895-1758d7feb511,Hamilton Beach,SKU-000123,311805764307,2022-06-26,True
P000124,Lenovo Laptop,2265.79,Electronics,Despite western would enter article figure.,https://cdn-icons-png.flaticon.com/512/4202/4202836.png,Lenovo,SKU-000124,787930187733,2022-10-16,True
P000125,KrogerBrand Cheese,15.99,Groceries,Scientist dog with every financial may once memory church.,https://cdn-icons-png.flaticon.com/512/1046/1046787.png,KrogerBrand,SKU-000125,734437697233,2022-12-03,True
P000126,Sephora Shampoo,125.39,Beauty,Scene blood fish my responsibility onto.,https://picsum.photos/400/400,Sephora,SKU-000126,243270569232,2022-01-19,True
P000127,LG Speaker,1943.87,Electronics,Enjoy plan without very moment nothing hospital structure artist growth.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,LG,SKU-000127,423191496250,2023-07-14,True
P000128,Puma Watch,50.17,Fashion,Money clear Republican forget sound catch next plant behind outside next late.,https://cdn-icons-png.flaticon.com/512/3456/3456426.png,Puma,SKU-000128,383719337008,2022-10-29,True
P000129,WholeFoods Milk,50.0,Groceries,Seem trip dark expert system election church carry meet ask safe market.,https://images.unsplash.com/photo-1572441710523-4cfa1a2b48b4,WholeFoods,SKU-000129,140831762477,2023-06-13,True
P000130,CVSBrand Protein Powder,106.43,Health,Recent stand wrong interest authority character public future shoulder choice into.,https://picsum.photos/400/400,CVSBrand,SKU-000130,845934207786,2021-10-02,True
P000131,Samsung Toaster,540.83,Appliances,System mouth before agree world so purpose cup here.,https://picsum.photos/400/400,Samsung,SKU-000131,593650098348,2022-03-07,True
P000132,Johnson&Johnson First Aid Kit,46.81,Health,Partner board perform difference building black official.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000132,311557027088,2021-10-15,True
P000133,GE Microwave,2500.0,Appliances,Woman career push six should education property mention him before always use let.,https://picsum.photos/400/400,GE,SKU-000133,502105925299,2022-12-24,True
P000134,Pandora Earrings,588.33,Jewelry,Join information entire oil concern fact support money treat single.,https://picsum.photos/400/400,Pandora,SKU-000134,882787586326,2022-04-19,True
P000135,TraderJoes Chocolate,18.51,Groceries,Gas both effect technology house interesting approach full same enjoy position short relationship.,https://images.unsplash.com/photo-1542831371-d531d36971e6,TraderJoes,SKU-000135,512584077335,2022-05-30,True
P000136,GenericBrandA Umbrella,72.0,Misc,Start along up gas control good.,https://cdn-icons-png.flaticon.com/512/679/679922.png,GenericBrandA,SKU-000136,552569398163,2022-04-18,True
P000137,Nike Basketball,400.0,Sports,Blood alone stage time trip program focus.,https://cdn-icons-png.flaticon.com/512/1046/1046947.png,Nike,SKU-000137,235989744740,2022-04-01,True
P000138,Zara Watch,300.0,Fashion,Official paper one degree participant administration card may item a or.,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb,Zara,SKU-000138,543138782194,2022-09-28,True
P000139,Uniqlo Dress,199.66,Fashion,Blue something its drug movement Republican prevent wind.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,Uniqlo,SKU-000139,671935413603,2022-09-22,True
P000140,The Body Shop Mascara,102.55,Beauty,Shoulder ask political place both remember energy total strong leave result movie.,https://picsum.photos/400/400,The Body Shop,SKU-000140,800328793243,2023-02-27,True
P000141,WalgreensBrand Pain Relief,80.13,Health,Test weight young maybe agent he.,https://picsum.photos/400/400,WalgreensBrand,SKU-000141,782632589386,2022-05-18,True
P000142,Philips Knife Set,239.69,Home & Kitchen,After moment few space by main.,https://images.unsplash.com/photo-1598300054675-87cbbd41bb7b,Philips,SKU-000142,298820439845,2022-05-18,True
P000143,HarperCollins Novel,39.97,Books,Contain window prevent amount lose music by eye.,https://picsum.photos/400/400,HarperCollins,SKU-000143,738128213488,2021-11-08,True
P000144,NaturesBest Cereal,33.36,Groceries,Speak adult lead recognize audience degree audience shake.,https://images.unsplash.com/photo-1542831371-d531d36971e6,NaturesBest,SKU-000144,769897607898,2021-08-06,True
P000145,Purina Cat Litter,200.0,Pet Supplies,Soon water leg four number position.,https://picsum.photos/400/400,Purina,SKU-000145,615928903174,2022-12-18,True
P000146,Random House Novel,50.0,Books,Process on be feeling green indicate federal when.,https://picsum.photos/400/400,Random House,SKU-000146,246913677618,2023-02-14,True
P000147,Johnson&Johnson Stroller,10.51,Baby,Charge notice upon exist ok improve professor.,https://picsum.photos/400/400,Johnson&Johnson,SKU-000147,351036985920,2023-10-28,True
P000148,GenericBrandA Water Bottle,187.05,Misc,Individual on evening game quickly down front culture data.,https://cdn-icons-png.flaticon.com/512/679/679922.png,GenericBrandA,SKU-000148,510292070636,2022-02-20,True
P000149,LG Headphones,3000.0,Electronics,Single show us staff peace make affect positive tax into specific parent give.,https://images.unsplash.com/photo-1512499617640-c2f999098c01,LG,SKU-000149,448687281659,2022-04-18,True
P000150,TraderJoes Juice,20.52,Groceries,Thousand teacher sort offer bit quite fall.,https://cdn-icons-png.flaticon.com/512/3075/3075977.png,TraderJoes,SKU-000150,497761959846,2022-09-23,True
