date,sku_id,location_id,stock_on_hand,stock_in_transit,reserved_stock
2024-01-04,P0031,L2,196,18,14
2024-01-04,P0032,L5,228,44,3
2024-01-04,P0033,L4,169,43,17
2024-01-04,P0034,L1,196,16,6
2024-01-04,P0035,L5,244,46,19
2024-01-04,P0036,L3,58,23,6
2024-01-04,P0037,L4,212,45,1
2024-01-04,P0038,L3,140,1,18
2024-01-04,P0039,L2,193,29,10
2024-01-04,P0040,L3,107,47,5
2024-01-04,P0041,L3,229,26,11
2024-01-04,P0042,L1,72,33,15
2024-01-04,P0043,L4,30,22,7
2024-01-04,P0044,L2,110,47,12
2024-01-04,P0045,L3,222,21,8
2024-01-04,P0046,L4,287,14,8
2024-01-04,P0047,L3,298,12,16
2024-01-04,P0048,L5,107,6,9
2024-01-04,P0049,L4,194,23,10
2024-01-05,P0000,L2,47,38,8
2024-01-05,P0001,L1,236,49,19
2024-01-05,P0002,L3,223,46,19
2024-01-05,P0003,L5,282,7,13
2024-01-05,P0004,L3,196,47,12
2024-01-05,P0005,L4,92,15,9
2024-01-05,P0006,L3,93,41,6
2024-01-05,P0007,L5,121,3,2
2024-01-05,P0008,L4,212,39,18
2024-01-05,P0009,L2,199,1,12
2024-01-05,P0010,L4,173,42,8
2024-01-05,P0011,L1,89,32,15
2024-01-05,P0012,L1,166,16,13
2024-01-05,P0013,L1,120,29,10
2024-01-05,P0014,L4,196,32,12
2024-01-05,P0015,L1,114,40,18
2024-01-05,P0016,L2,176,36,14
2024-01-05,P0017,L1,80,27,5
2024-01-05,P0018,L5,121,39,10
2024-01-05,P0019,L1,296,21,0
2024-01-05,P0020,L1,63,26,10
2024-01-05,P0021,L1,181,27,13
2024-01-05,P0022,L4,283,23,15
2024-01-05,P0023,L4,293,12,18
2024-01-05,P0024,L3,220,6,12
2024-01-05,P0025,L2,121,25,14
2024-01-05,P0026,L4,287,49,1
2024-01-05,P0027,L3,240,29,16
2024-01-05,P0028,L5,44,12,11
2024-01-05,P0029,L3,86,22,0
2024-01-05,P0030,L5,247,26,13
2024-01-05,P0031,L5,145,20,12
2024-01-05,P0032,L3,293,42,7
2024-01-05,P0033,L1,21,37,11
2024-01-05,P0034,L5,83,15,13
2024-01-05,P0035,L5,129,27,12
2024-01-05,P0036,L4,46,42,4
2024-01-05,P0037,L4,23,2,5
2024-01-05,P0038,L5,36,26,17
2024-01-05,P0039,L3,286,9,1
2024-01-05,P0040,L1,34,38,12
2024-01-05,P0041,L3,139,18,14
2024-01-05,P0042,L2,299,46,14
2024-01-05,P0043,L1,214,34,0
2024-01-05,P0044,L2,33,30,4
2024-01-05,P0045,L5,65,44,16
2024-01-05,P0046,L4,89,23,19
2024-01-05,P0047,L1,132,33,1
2024-01-05,P0048,L1,202,32,7
2024-01-05,P0049,L4,49,42,0
2024-01-06,P0000,L1,67,0,10
2024-01-06,P0001,L1,185,14,16
2024-01-06,P0002,L4,74,26,3
2024-01-06,P0003,L2,296,39,1
2024-01-06,P0004,L2,33,0,17
2024-01-06,P0005,L4,171,9,1
2024-01-06,P0006,L4,213,26,11
2024-01-06,P0007,L4,201,7,1
2024-01-06,P0008,L5,190,18,3
2024-01-06,P0009,L3,291,35,7
2024-01-06,P0010,L1,123,45,11
2024-01-06,P0011,L1,195,29,15
2024-01-06,P0012,L4,161,9,7
2024-01-06,P0013,L4,95,7,14
2024-01-06,P0014,L5,288,49,8
2024-01-06,P0015,L5,277,16,4
2024-01-06,P0016,L2,161,47,11
2024-01-06,P0017,L3,82,35,16
2024-01-06,P0018,L1,134,7,4
2024-01-06,P0019,L4,292,37,10
2024-01-06,P0020,L2,70,9,4
2024-01-06,P0021,L4,236,23,2
2024-01-06,P0022,L4,164,28,13
2024-01-06,P0023,L3,200,48,12
2024-01-06,P0024,L3,191,14,1
2024-01-06,P0025,L1,83,18,14
2024-01-06,P0026,L4,265,42,3
2024-01-06,P0027,L5,288,39,16
2024-01-06,P0028,L5,231,49,11
2024-01-06,P0029,L1,121,2,19
2024-01-06,P0030,L2,44,44,10
2024-01-06,P0031,L1,186,26,4
2024-01-06,P0032,L3,269,21,4
2024-01-06,P0033,L4,236,15,5
2024-01-06,P0034,L5,42,37,14
2024-01-06,P0035,L1,67,0,11
2024-01-06,P0036,L1,27,10,8
2024-01-06,P0037,L3,164,7,2
2024-01-06,P0038,L5,74,7,12
2024-01-06,P0039,L2,202,12,11
2024-01-06,P0040,L4,260,7,5
2024-01-06,P0041,L2,243,43,17
2024-01-06,P0042,L3,233,9,15
2024-01-06,P0043,L3,51,9,16
2024-01-06,P0044,L4,286,13,16
2024-01-06,P0045,L4,216,47,19
2024-01-06,P0046,L3,54,25,19
2024-01-06,P0047,L5,107,29,18
2024-01-06,P0048,L5,113,18,17
2024-01-06,P0049,L3,92,19,17
2024-01-07,P0000,L3,86,12,6
2024-01-07,P0001,L5,74,22,6
2024-01-07,P0002,L3,80,31,18
2024-01-07,P0003,L4,244,47,0
2024-01-07,P0004,L2,74,7,8
2024-01-07,P0005,L4,217,24,2
2024-01-07,P0006,L1,170,17,3
2024-01-07,P0007,L4,204,20,3
2024-01-07,P0008,L4,34,21,11
2024-01-07,P0009,L2,182,45,17
2024-01-07,P0010,L3,285,6,5
2024-01-07,P0011,L3,190,27,11
2024-01-07,P0012,L3,66,15,18
2024-01-07,P0013,L4,170,37,18
2024-01-07,P0014,L3,144,43,10
2024-01-07,P0015,L2,39,43,5
2024-01-07,P0016,L4,159,8,3
2024-01-07,P0017,L5,93,46,19
2024-01-07,P0018,L3,222,0,9
2024-01-07,P0019,L5,179,10,19
2024-01-07,P0020,L2,183,39,14
2024-01-07,P0021,L2,281,37,3
2024-01-07,P0022,L4,85,4,13
2024-01-07,P0023,L5,61,47,7
2024-01-07,P0024,L2,184,11,7
2024-01-07,P0025,L3,145,34,10
2024-01-07,P0026,L4,70,33,2
2024-01-07,P0027,L1,241,48,0
2024-01-07,P0028,L3,150,49,0
2024-01-07,P0029,L3,55,45,10
2024-01-07,P0030,L1,57,49,15
2024-01-07,P0031,L1,137,21,12
2024-01-07,P0032,L1,242,38,3
2024-01-07,P0033,L5,91,30,8
2024-01-07,P0034,L3,147,3,1
2024-01-07,P0035,L4,289,40,3
2024-01-07,P0036,L5,270,44,5
2024-01-07,P0037,L5,138,22,5
2024-01-07,P0038,L2,188,26,13
2024-01-07,P0039,L3,203,23,12
2024-01-07,P0040,L5,155,13,8
2024-01-07,P0041,L3,155,10,13
2024-01-07,P0042,L3,36,17,1
2024-01-07,P0043,L3,188,17,6
2024-01-07,P0044,L5,141,26,9
2024-01-07,P0045,L4,113,34,15
2024-01-07,P0046,L2,201,11,13
2024-01-07,P0047,L4,203,18,9
2024-01-07,P0048,L4,62,5,4
2024-01-07,P0049,L2,81,5,14
2024-01-08,P0000,L5,226,24,18
2024-01-08,P0001,L2,89,24,19
2024-01-08,P0002,L5,44,10,3
2024-01-08,P0003,L3,172,25,8
2024-01-08,P0004,L2,278,25,6
2024-01-08,P0005,L1,202,49,13
2024-01-08,P0006,L5,299,46,2
2024-01-08,P0007,L2,165,20,9
2024-01-08,P0008,L4,274,25,8
2024-01-08,P0009,L1,146,16,12
2024-01-08,P0010,L3,101,38,4
2024-01-08,P0011,L1,284,28,4
2024-01-08,P0012,L5,60,6,18
2024-01-08,P0013,L5,105,25,3
2024-01-08,P0014,L2,71,40,19
2024-01-08,P0015,L1,62,10,2
2024-01-08,P0016,L3,141,45,2
2024-01-08,P0017,L3,153,14,15
2024-01-08,P0018,L1,196,7,2
2024-01-08,P0019,L1,193,21,3
2024-01-08,P0020,L1,207,15,11
2024-01-08,P0021,L1,241,39,6
2024-01-08,P0022,L3,106,37,13
2024-01-08,P0023,L3,104,19,7
2024-01-08,P0024,L5,150,26,14
2024-01-08,P0025,L1,242,41,10
2024-01-08,P0026,L5,252,36,11
2024-01-08,P0027,L5,139,3,4
2024-01-08,P0028,L5,252,42,6
2024-01-08,P0029,L4,280,27,1
2024-01-08,P0030,L3,248,8,3
2024-01-08,P0031,L3,49,29,9
2024-01-08,P0032,L1,269,22,7
2024-01-08,P0033,L4,257,40,18
2024-01-08,P0034,L1,220,19,5
2024-01-08,P0035,L2,68,3,7
2024-01-08,P0036,L3,242,22,6
2024-01-08,P0037,L3,54,9,7
2024-01-08,P0038,L5,38,38,3
2024-01-08,P0039,L1,91,23,15
2024-01-08,P0040,L5,24,46,19
2024-01-08,P0041,L4,83,48,18
2024-01-08,P0042,L5,166,44,18
2024-01-08,P0043,L2,239,47,6
2024-01-08,P0044,L2,112,27,2
2024-01-08,P0045,L3,198,25,6
2024-01-08,P0046,L3,298,34,6
2024-01-08,P0047,L4,195,45,1
2024-01-08,P0048,L2,25,18,16
2024-01-08,P0049,L5,33,11,19
2024-01-09,P0000,L1,197,31,17
2024-01-09,P0001,L4,30,40,15
2024-01-09,P0002,L4,194,6,19
2024-01-09,P0003,L4,287,2,4
2024-01-09,P0004,L1,173,40,12
2024-01-09,P0005,L2,231,27,18
2024-01-09,P0006,L4,163,38,15
2024-01-09,P0007,L3,280,10,0
2024-01-09,P0008,L2,47,11,16
2024-01-09,P0009,L4,229,20,16
2024-01-09,P0010,L3,214,3,12
2024-01-09,P0011,L2,125,15,8
2024-01-09,P0012,L4,250,44,4
2024-01-09,P0013,L2,160,31,10
2024-01-09,P0014,L4,45,34,9
2024-01-09,P0015,L5,184,17,5
2024-01-09,P0016,L2,108,31,12
2024-01-09,P0017,L2,200,38,17
2024-01-09,P0018,L4,235,30,17
2024-01-09,P0019,L4,235,42,14
2024-01-09,P0020,L5,271,33,18
2024-01-09,P0021,L2,120,15,19
2024-01-09,P0022,L4,123,44,3
2024-01-09,P0023,L3,175,3,14
2024-01-09,P0024,L3,295,36,17
2024-01-09,P0025,L4,75,30,11
2024-01-09,P0026,L2,68,39,9
2024-01-09,P0027,L2,159,27,0
2024-01-09,P0028,L2,97,16,8
2024-01-09,P0029,L5,107,45,15
2024-01-09,P0030,L5,113,35,15
2024-01-09,P0031,L2,267,5,13
2024-01-09,P0032,L1,115,14,10
2024-01-09,P0033,L1,235,30,8
2024-01-09,P0034,L4,114,12,2
2024-01-09,P0035,L3,236,39,16
2024-01-09,P0036,L3,272,37,1
2024-01-09,P0037,L2,169,47,13
2024-01-09,P0038,L2,151,37,2
2024-01-09,P0039,L5,271,44,14
2024-01-09,P0040,L1,65,38,16
2024-01-09,P0041,L4,83,27,12
2024-01-09,P0042,L2,171,3,12
2024-01-09,P0043,L2,58,40,11
2024-01-09,P0044,L1,191,17,3
2024-01-09,P0045,L3,152,39,2
2024-01-09,P0046,L2,187,25,11
2024-01-09,P0047,L1,116,12,18
2024-01-09,P0048,L3,258,11,7
2024-01-09,P0049,L4,157,20,5
2024-01-10,P0000,L5,129,16,5
2024-01-10,P0001,L2,118,24,7
2024-01-10,P0002,L4,237,26,10
2024-01-10,P0003,L2,98,15,7
2024-01-10,P0004,L1,221,11,4
2024-01-10,P0005,L2,231,46,1
2024-01-10,P0006,L5,111,4,8
2024-01-10,P0007,L3,222,1,12
2024-01-10,P0008,L5,158,36,1
2024-01-10,P0009,L2,182,14,14
2024-01-10,P0010,L1,96,28,16
2024-01-10,P0011,L5,203,6,13
2024-01-10,P0012,L3,105,46,15
2024-01-10,P0013,L3,21,15,17
2024-01-10,P0014,L1,262,37,14
2024-01-10,P0015,L4,39,36,7
2024-01-10,P0016,L3,122,43,17
2024-01-10,P0017,L3,56,8,16
2024-01-10,P0018,L2,77,36,10
2024-01-10,P0019,L5,37,27,17
2024-01-10,P0020,L5,45,24,14
2024-01-10,P0021,L3,72,8,6
2024-01-10,P0022,L1,166,8,15
2024-01-10,P0023,L3,124,43,9
2024-01-10,P0024,L4,172,4,10
2024-01-10,P0025,L2,130,13,3
2024-01-10,P0026,L3,213,22,15
2024-01-10,P0027,L3,93,41,5
2024-01-10,P0028,L1,235,42,0
2024-01-10,P0029,L1,234,32,9
2024-01-10,P0030,L2,73,16,12
2024-01-10,P0031,L2,150,44,5
2024-01-10,P0032,L5,116,43,5
2024-01-10,P0033,L3,48,39,10
2024-01-10,P0034,L1,134,6,2
2024-01-10,P0035,L1,213,11,13
2024-01-10,P0036,L3,148,11,4
2024-01-10,P0037,L2,131,5,14
2024-01-10,P0038,L4,189,11,8
2024-01-10,P0039,L1,32,9,0
2024-01-10,P0040,L4,215,4,11
2024-01-10,P0041,L3,81,29,7
2024-01-10,P0042,L4,143,20,6
2024-01-10,P0043,L4,27,23,8
2024-01-10,P0044,L4,50,46,17
2024-01-10,P0045,L1,36,38,0
2024-01-10,P0046,L2,264,31,7
2024-01-10,P0047,L3,87,12,5
2024-01-10,P0048,L5,189,24,13
2024-01-10,P0049,L5,219,17,0
2024-01-11,P0000,L4,179,24,12
2024-01-11,P0001,L4,107,7,15
2024-01-11,P0002,L4,209,10,13
2024-01-11,P0003,L2,118,5,9
2024-01-11,P0004,L2,127,15,3
2024-01-11,P0005,L2,77,46,13
2024-01-11,P0006,L5,84,18,4
2024-01-11,P0007,L1,66,23,14
2024-01-11,P0008,L5,273,26,14
2024-01-11,P0009,L5,93,0,4
2024-01-11,P0010,L1,151,8,12
2024-01-11,P0011,L3,278,35,12
2024-01-11,P0012,L4,104,16,11
2024-01-11,P0013,L2,69,46,19
2024-01-11,P0014,L3,242,44,18
2024-01-11,P0015,L2,27,6,5
2024-01-11,P0016,L1,201,38,11
2024-01-11,P0017,L2,136,46,10
2024-01-11,P0018,L2,214,29,12
2024-01-11,P0019,L1,39,17,19
2024-01-11,P0020,L2,157,24,1
2024-01-11,P0021,L3,277,40,3
2024-01-11,P0022,L1,137,25,18
2024-01-11,P0023,L5,83,12,9
2024-01-11,P0024,L5,75,40,4
2024-01-11,P0025,L2,197,33,5
2024-01-11,P0026,L2,84,17,16
2024-01-11,P0027,L3,126,40,14
2024-01-11,P0028,L3,191,26,16
2024-01-11,P0029,L1,211,16,0
2024-01-11,P0030,L4,92,20,5
2024-01-11,P0031,L4,24,9,14
2024-01-11,P0032,L3,280,36,8
2024-01-11,P0033,L3,167,37,16
2024-01-11,P0034,L3,239,40,18
2024-01-11,P0035,L2,147,27,2
2024-01-11,P0036,L4,166,42,18
2024-01-11,P0037,L4,134,1,18
2024-01-11,P0038,L3,151,31,0
2024-01-11,P0039,L5,77,21,12
2024-01-11,P0040,L2,181,21,12
2024-01-11,P0041,L4,177,41,13
2024-01-11,P0042,L2,41,6,6
2024-01-11,P0043,L2,277,27,15
2024-01-11,P0044,L4,277,4,10
2024-01-11,P0045,L1,159,3,15
2024-01-11,P0046,L2,195,12,3
2024-01-11,P0047,L3,41,44,10
2024-01-11,P0048,L5,227,24,9
2024-01-11,P0049,L5,288,3,8
2024-01-12,P0000,L5,212,8,13
2024-01-12,P0001,L5,200,45,12
2024-01-12,P0002,L2,143,18,0
2024-01-12,P0003,L3,89,32,2
2024-01-12,P0004,L2,69,25,9
2024-01-12,P0005,L4,214,39,18
2024-01-12,P0006,L3,261,0,4
2024-01-12,P0007,L4,109,45,1
2024-01-12,P0008,L1,90,17,14
2024-01-12,P0009,L5,296,14,3
2024-01-12,P0010,L2,111,28,3
2024-01-12,P0011,L5,215,5,13
2024-01-12,P0012,L1,232,33,1
2024-01-12,P0013,L4,206,10,16
2024-01-12,P0014,L2,294,41,19
2024-01-12,P0015,L2,174,33,2
2024-01-12,P0016,L3,298,40,19
2024-01-12,P0017,L1,246,43,5
2024-01-12,P0018,L4,61,30,1
2024-01-12,P0019,L2,60,33,2
2024-01-12,P0020,L3,288,3,4
2024-01-12,P0021,L5,238,32,14
2024-01-12,P0022,L1,211,17,19
2024-01-12,P0023,L2,186,9,13
2024-01-12,P0024,L4,141,11,16
2024-01-12,P0025,L5,116,25,14
2024-01-12,P0026,L5,253,43,15
2024-01-12,P0027,L1,261,39,5
2024-01-12,P0028,L5,233,12,3
2024-01-12,P0029,L3,189,47,11
2024-01-12,P0030,L2,51,43,7
2024-01-12,P0031,L2,272,26,11
2024-01-12,P0032,L4,171,44,16
2024-01-12,P0033,L5,186,40,19
2024-01-12,P0034,L2,46,6,12
2024-01-12,P0035,L5,111,35,19
2024-01-12,P0036,L4,120,11,16
2024-01-12,P0037,L1,196,31,2
2024-01-12,P0038,L3,39,48,19
2024-01-12,P0039,L1,127,14,19
2024-01-12,P0040,L2,232,21,12
2024-01-12,P0041,L1,152,26,4
2024-01-12,P0042,L5,177,43,3
2024-01-12,P0043,L4,100,43,16
2024-01-12,P0044,L2,68,2,18
2024-01-12,P0045,L2,287,12,5
2024-01-12,P0046,L3,228,39,14
2024-01-12,P0047,L1,129,5,6
2024-01-12,P0048,L1,186,37,9
2024-01-12,P0049,L4,266,19,2
2024-01-13,P0000,L5,197,7,13
2024-01-13,P0001,L5,134,23,19
2024-01-13,P0002,L1,60,25,8
2024-01-13,P0003,L4,64,42,17
2024-01-13,P0004,L1,203,1,13
2024-01-13,P0005,L5,287,23,11
2024-01-13,P0006,L5,111,47,13
2024-01-13,P0007,L4,291,44,7
2024-01-13,P0008,L4,93,37,4
2024-01-13,P0009,L3,39,40,12
2024-01-13,P0010,L1,78,13,12
2024-01-13,P0011,L1,61,29,4
2024-01-13,P0012,L1,105,5,19
2024-01-13,P0013,L2,129,20,14
2024-01-13,P0014,L1,157,22,18
2024-01-13,P0015,L3,114,23,3
2024-01-13,P0016,L3,50,31,11
2024-01-13,P0017,L5,244,39,13
2024-01-13,P0018,L5,214,30,9
2024-01-13,P0019,L1,115,16,4
2024-01-13,P0020,L4,170,46,10
2024-01-13,P0021,L1,63,36,15
2024-01-13,P0022,L1,143,8,3
2024-01-13,P0023,L3,121,0,18
2024-01-13,P0024,L4,113,35,4
2024-01-13,P0025,L3,172,0,12
2024-01-13,P0026,L4,234,33,18
2024-01-13,P0027,L4,20,24,13
2024-01-13,P0028,L5,267,26,2
2024-01-13,P0029,L2,102,17,15
2024-01-13,P0030,L1,100,18,19
2024-01-13,P0031,L1,145,23,18
2024-01-13,P0032,L5,223,24,3
2024-01-13,P0033,L1,66,27,1
2024-01-13,P0034,L4,291,19,18
2024-01-13,P0035,L3,146,19,12
2024-01-13,P0036,L1,138,21,8
2024-01-13,P0037,L4,214,31,16
2024-01-13,P0038,L1,72,16,4
2024-01-13,P0039,L3,100,12,10
2024-01-13,P0040,L4,124,49,10
2024-01-13,P0041,L1,161,48,16
2024-01-13,P0042,L2,154,44,11
2024-01-13,P0043,L4,100,8,15
2024-01-13,P0044,L3,206,30,11
2024-01-13,P0045,L4,78,19,19
2024-01-13,P0046,L3,28,41,12
2024-01-13,P0047,L3,283,1,19
2024-01-13,P0048,L5,181,34,8
2024-01-13,P0049,L2,138,4,0
2024-01-14,P0000,L1,277,21,14
2024-01-14,P0001,L1,134,13,14
2024-01-14,P0002,L5,121,6,17
2024-01-14,P0003,L3,33,23,3
2024-01-14,P0004,L2,280,37,3
2024-01-14,P0005,L4,142,10,7
2024-01-14,P0006,L3,52,4,7
2024-01-14,P0007,L5,227,1,7
2024-01-14,P0008,L1,126,22,13
2024-01-14,P0009,L2,189,35,9
2024-01-14,P0010,L2,74,47,0
2024-01-14,P0011,L2,71,0,7
2024-01-14,P0012,L2,141,32,5
2024-01-14,P0013,L2,189,24,4
2024-01-14,P0014,L5,124,16,9
2024-01-14,P0015,L1,91,31,5
2024-01-14,P0016,L4,74,32,16
2024-01-14,P0017,L2,292,4,13
2024-01-14,P0018,L3,39,47,5
2024-01-14,P0019,L3,295,3,4
2024-01-14,P0020,L1,94,26,15
2024-01-14,P0021,L2,53,13,15
2024-01-14,P0022,L5,280,4,14
2024-01-14,P0023,L5,228,48,19
2024-01-14,P0024,L3,190,42,9
2024-01-14,P0025,L4,48,46,2
2024-01-14,P0026,L5,248,18,6
2024-01-14,P0027,L3,296,44,17
2024-01-14,P0028,L1,136,10,3
2024-01-14,P0029,L4,84,29,13
2024-01-14,P0030,L4,29,49,6
2024-01-14,P0031,L1,108,32,2
2024-01-14,P0032,L1,203,34,14
2024-01-14,P0033,L4,223,29,11
2024-01-14,P0034,L4,136,32,10
2024-01-14,P0035,L3,100,9,16
2024-01-14,P0036,L5,61,14,13
2024-01-14,P0037,L3,248,45,15
2024-01-14,P0038,L5,85,10,0
2024-01-14,P0039,L1,74,22,1
2024-01-14,P0040,L3,108,36,17
2024-01-14,P0041,L5,54,11,7
2024-01-14,P0042,L3,31,17,2
2024-01-14,P0043,L5,233,22,17
2024-01-14,P0044,L1,47,2,4
2024-01-14,P0045,L3,278,38,18
