date,sku_id,location_id,regular_price,promo_price,discount_percent,promo_type,competitor_price
2024-02-12,SKU1000,LOC2,1244,,0.0,Flat Off,1413
2024-02-13,SKU1000,LOC6,1244,,0.0,Flat Off,1068
2024-02-14,SKU1000,LOC5,1245,,0.0,Flat Off,1333
2024-02-15,SKU1000,LOC3,1243,1056.0,15.0,Bundle,1084
2024-02-16,SKU1000,LOC3,1245,,0.0,Bundle,1149
2024-02-17,SKU1000,LOC4,1245,,0.0,BOGO,1345
2024-02-18,SKU1000,LOC1,1246,934.0,25.0,Seasonal,1318
2024-02-19,SKU1000,LOC6,1246,,0.0,Seasonal,1347
2024-02-20,SKU1000,LOC5,1245,,0.0,Bundle,1103
2024-02-21,SKU1000,LOC2,1244,,0.0,Flat Off,1219
2024-02-22,SKU1000,LOC4,1245,,0.0,Bundle,1391
2024-02-23,SKU1000,LOC5,1240,,0.0,None,1358
2024-02-24,SKU1000,LOC2,1246,,0.0,Bundle,1311
2024-02-25,SKU1000,LOC1,1245,,0.0,Flat Off,1364
2024-02-26,SKU1000,LOC2,1247,,0.0,BOGO,1328
2024-02-27,SKU1000,LOC1,1250,,0.0,Seasonal,1065
2024-02-28,SKU1000,LOC1,1245,,0.0,Flat Off,1324
2024-02-29,SKU1000,LOC6,1245,,0.0,Seasonal,1071
2024-03-01,SKU1000,LOC6,1247,,0.0,BOGO,1416
2024-03-02,SKU1000,LOC3,1245,,0.0,BOGO,1196
2024-03-03,SKU1000,LOC1,1245,,0.0,Flat Off,1104
2024-03-04,SKU1000,LOC6,1245,,0.0,BOGO,1374
2024-03-05,SKU1000,LOC2,1246,,0.0,Seasonal,1259
2024-03-06,SKU1000,LOC5,1242,,0.0,Bundle,1305
2024-03-07,SKU1000,LOC6,1245,,0.0,None,1390
2024-03-08,SKU1000,LOC3,1248,,0.0,BOGO,1360
2024-03-09,SKU1000,LOC6,1245,,0.0,BOGO,1072
2024-03-10,SKU1000,LOC3,1247,,0.0,Bundle,1242
2024-03-11,SKU1000,LOC2,1246,,0.0,Bundle,1277
2024-03-12,SKU1000,LOC6,1247,,0.0,Bundle,1327
2024-03-13,SKU1000,LOC5,1247,,0.0,Seasonal,1318
2024-03-14,SKU1000,LOC5,1245,,0.0,None,1346
2024-03-15,SKU1000,LOC5,1246,,0.0,None,1223
2024-03-16,SKU1000,LOC5,1242,,0.0,Flat Off,1066
2024-03-17,SKU1000,LOC3,1246,,0.0,Seasonal,1410
2024-03-18,SKU1000,LOC4,1249,,0.0,None,1122
2024-03-19,SKU1000,LOC3,1246,,0.0,Bundle,1347
2024-03-20,SKU1000,LOC5,1244,,0.0,Bundle,1209
2024-03-21,SKU1000,LOC6,1244,,0.0,None,1093
2024-03-22,SKU1000,LOC2,1247,,0.0,BOGO,1351
2024-03-23,SKU1000,LOC1,1244,,0.0,None,1127
2024-03-24,SKU1000,LOC6,1239,,0.0,BOGO,1305
2024-03-25,SKU1000,LOC6,1243,,0.0,Flat Off,1185
2024-03-26,SKU1000,LOC3,1245,,0.0,Bundle,1281
2024-03-27,SKU1000,LOC6,1247,,0.0,Flat Off,1347
2024-03-28,SKU1000,LOC2,1244,,0.0,BOGO,1360
2024-03-29,SKU1000,LOC6,1245,,0.0,Flat Off,1342
2024-03-30,SKU1000,LOC4,1245,,0.0,Seasonal,1098
2024-03-31,SKU1000,LOC5,1245,,0.0,Flat Off,1425
2024-04-01,SKU1000,LOC3,1244,,0.0,None,1148
2024-04-02,SKU1000,LOC6,1243,,0.0,Flat Off,1393
2024-04-03,SKU1000,LOC4,1247,,0.0,Bundle,1279
2024-04-04,SKU1000,LOC3,1244,,0.0,BOGO,1219
2024-04-05,SKU1000,LOC2,1244,,0.0,None,1103
2024-04-06,SKU1000,LOC2,1245,,0.0,Seasonal,1210
2024-04-07,SKU1000,LOC3,1244,,0.0,Bundle,1329
2024-04-08,SKU1000,LOC5,1245,,0.0,None,1223
2024-04-09,SKU1000,LOC6,1244,,0.0,Bundle,1079
2024-04-10,SKU1000,LOC3,1244,,0.0,BOGO,1367
2024-04-11,SKU1000,LOC4,1245,,0.0,BOGO,1294
2024-04-12,SKU1000,LOC5,1243,,0.0,Flat Off,1165
2024-04-13,SKU1000,LOC4,1245,,0.0,Flat Off,1242
2024-04-14,SKU1000,LOC6,1243,,0.0,Flat Off,1061
2024-04-15,SKU1000,LOC6,1245,,0.0,Flat Off,1187
2024-04-16,SKU1000,LOC4,1243,,0.0,None,1242
2024-04-17,SKU1000,LOC3,1245,,0.0,Seasonal,1184
2024-04-18,SKU1000,LOC4,1241,,0.0,Seasonal,1292
2024-04-19,SKU1000,LOC5,1244,,0.0,Seasonal,1074
2024-04-20,SKU1000,LOC5,1245,,0.0,Bundle,1191
2024-04-21,SKU1000,LOC6,1243,,0.0,BOGO,1204
2024-04-22,SKU1000,LOC3,1245,,0.0,Flat Off,1151
2024-04-23,SKU1000,LOC3,1245,,0.0,Flat Off,1370
2024-04-24,SKU1000,LOC3,1242,,0.0,Flat Off,1426
2024-04-25,SKU1000,LOC5,1245,,0.0,Seasonal,1366
2024-04-26,SKU1000,LOC6,1245,,0.0,Seasonal,1296
2024-04-27,SKU1000,LOC2,1243,,0.0,Seasonal,1122
2024-04-28,SKU1000,LOC2,1245,,0.0,None,1211
2024-04-29,SKU1000,LOC4,1247,,0.0,Bundle,1283
2024-04-30,SKU1000,LOC1,1245,,0.0,Seasonal,1431
2024-05-01,SKU1000,LOC4,1245,,0.0,BOGO,1194
2024-05-02,SKU1000,LOC4,1245,,0.0,BOGO,1402
2024-05-03,SKU1000,LOC1,1247,,0.0,BOGO,1071
2024-05-04,SKU1000,LOC6,1246,1121.0,10.0,Seasonal,1261
2024-05-05,SKU1000,LOC4,1247,,0.0,Flat Off,1250
2024-05-06,SKU1000,LOC4,1245,,0.0,Seasonal,1359
2024-05-07,SKU1000,LOC6,1245,,0.0,Seasonal,1110
2024-05-08,SKU1000,LOC5,1246,,0.0,Seasonal,1267
2024-05-09,SKU1000,LOC6,1245,,0.0,Seasonal,1200
2024-05-10,SKU1000,LOC1,1245,,0.0,None,1426
2024-05-11,SKU1000,LOC1,1245,,0.0,Flat Off,1398
2024-05-12,SKU1000,LOC6,1244,,0.0,Flat Off,1147
2024-05-13,SKU1000,LOC2,1245,933.0,25.0,Bundle,1383
2024-05-14,SKU1000,LOC6,1244,,0.0,Bundle,1085
2024-05-15,SKU1000,LOC5,1246,,0.0,Bundle,1325
2024-05-16,SKU1000,LOC4,1247,,0.0,BOGO,1224
2024-05-17,SKU1000,LOC2,1244,,0.0,Bundle,1187
2024-05-18,SKU1000,LOC3,1248,,0.0,Bundle,1395
2024-05-19,SKU1000,LOC2,1245,,0.0,None,1076
2024-05-20,SKU1000,LOC3,1244,,0.0,BOGO,1233
2024-05-21,SKU1000,LOC1,1245,,0.0,Seasonal,1388
2024-05-22,SKU1000,LOC1,1246,,0.0,None,1293
2024-05-23,SKU1000,LOC5,1245,1245.0,0.0,BOGO,1373
2024-05-24,SKU1000,LOC4,1246,,0.0,Seasonal,1140
2024-05-25,SKU1000,LOC5,1245,,0.0,Flat Off,1115
2024-05-26,SKU1000,LOC2,1244,,0.0,Seasonal,1233
2024-05-27,SKU1000,LOC2,1243,,0.0,Flat Off,1217
2024-05-28,SKU1000,LOC5,1250,,0.0,Bundle,1232
2024-05-29,SKU1000,LOC6,1245,,0.0,Seasonal,1320
2024-05-30,SKU1000,LOC2,1245,,0.0,Seasonal,1111
2024-05-31,SKU1000,LOC1,1248,,0.0,None,1297
2024-06-01,SKU1000,LOC3,1246,,0.0,Flat Off,1277
2024-06-02,SKU1000,LOC5,1247,,0.0,Bundle,1143
2024-06-03,SKU1000,LOC2,1243,,0.0,BOGO,1401
2024-06-04,SKU1000,LOC4,1247,,0.0,Bundle,1302
2024-06-05,SKU1000,LOC4,1245,,0.0,None,1374
2024-06-06,SKU1000,LOC3,1242,,0.0,Bundle,1183
2024-06-07,SKU1000,LOC2,1248,,0.0,None,1340
2024-06-08,SKU1000,LOC4,1245,,0.0,Seasonal,1123
2024-06-09,SKU1000,LOC1,1246,,0.0,BOGO,1419
2024-06-10,SKU1000,LOC5,1245,,0.0,Seasonal,1303
2024-06-11,SKU1000,LOC4,1245,,0.0,BOGO,1223
2024-06-12,SKU1000,LOC3,1245,,0.0,BOGO,1264
2024-06-13,SKU1000,LOC6,1245,,0.0,None,1229
2024-06-14,SKU1000,LOC4,1244,1119.0,10.0,None,1341
2024-06-15,SKU1000,LOC3,1242,,0.0,BOGO,1128
2024-06-16,SKU1000,LOC4,1247,,0.0,None,1188
2024-06-17,SKU1000,LOC5,1243,,0.0,None,1217
2024-06-18,SKU1000,LOC3,1246,,0.0,Seasonal,1202
2024-06-19,SKU1000,LOC5,1245,,0.0,None,1319
2024-06-20,SKU1000,LOC5,1245,747.0,40.0,BOGO,1186
2024-06-21,SKU1000,LOC4,1243,,0.0,None,1140
2024-06-22,SKU1000,LOC6,1245,,0.0,Seasonal,1238
2024-06-23,SKU1000,LOC2,1245,,0.0,None,1214
2024-06-24,SKU1000,LOC2,1244,,0.0,Flat Off,1349
2024-06-25,SKU1000,LOC6,1245,,0.0,Bundle,1091
2024-06-26,SKU1000,LOC2,1243,,0.0,None,1332
2024-06-27,SKU1000,LOC4,1244,,0.0,BOGO,1370
2024-06-28,SKU1000,LOC1,1250,,0.0,BOGO,1407
2024-06-29,SKU1000,LOC2,1245,,0.0,BOGO,1159
2024-06-30,SKU1000,LOC4,1245,1058.0,15.0,Flat Off,1216
2024-07-01,SKU1000,LOC5,1243,,0.0,Bundle,1418
2024-07-02,SKU1000,LOC6,1245,,0.0,BOGO,1274
2024-07-03,SKU1000,LOC2,1245,,0.0,BOGO,1239
2024-07-04,SKU1000,LOC4,1245,,0.0,Bundle,1371
2024-07-05,SKU1000,LOC4,1244,,0.0,Bundle,1065
2024-07-06,SKU1000,LOC3,1243,,0.0,Bundle,1423
2024-07-07,SKU1000,LOC1,1246,,0.0,Flat Off,1311
2024-07-08,SKU1000,LOC1,1242,,0.0,Bundle,1110
2024-07-09,SKU1000,LOC1,1242,,0.0,BOGO,1079
2024-07-10,SKU1000,LOC6,1244,,0.0,BOGO,1369
2024-07-11,SKU1000,LOC5,1245,,0.0,BOGO,1175
2024-07-12,SKU1000,LOC1,1245,,0.0,Flat Off,1130
2024-07-13,SKU1000,LOC1,1246,,0.0,Flat Off,1175
2024-07-14,SKU1000,LOC5,1248,,0.0,None,1249
2024-07-15,SKU1000,LOC1,1246,,0.0,Flat Off,1175
2024-07-16,SKU1000,LOC1,1245,,0.0,Flat Off,1149
2024-07-17,SKU1000,LOC4,1244,,0.0,Flat Off,1387
2024-07-18,SKU1000,LOC4,1243,,0.0,Seasonal,1413
2024-07-19,SKU1000,LOC2,1245,,0.0,None,1297
2024-07-20,SKU1000,LOC5,1248,874.0,30.0,Flat Off,1262
2024-07-21,SKU1000,LOC3,1245,,0.0,Flat Off,1196
2024-07-22,SKU1000,LOC3,1243,,0.0,None,1318
2024-07-23,SKU1000,LOC4,1247,,0.0,Seasonal,1311
2024-07-24,SKU1000,LOC1,1245,,0.0,BOGO,1313
2024-07-25,SKU1000,LOC6,1245,,0.0,Bundle,1181
2024-07-26,SKU1000,LOC1,1246,,0.0,BOGO,1258
2024-07-27,SKU1000,LOC5,1245,,0.0,BOGO,1112
2024-07-28,SKU1000,LOC1,1243,,0.0,Seasonal,1264
2024-07-29,SKU1000,LOC5,1243,1118.0,10.0,Flat Off,1385
2024-07-30,SKU1000,LOC6,1248,,0.0,Flat Off,1136
2024-07-31,SKU1000,LOC1,1244,,0.0,None,1387
2024-08-01,SKU1000,LOC5,1245,933.0,25.0,Bundle,1127
2024-08-02,SKU1000,LOC5,1244,,0.0,None,1384
2024-08-03,SKU1000,LOC5,1247,,0.0,Bundle,1254
2024-08-04,SKU1000,LOC5,1245,,0.0,Seasonal,1121
2024-08-05,SKU1000,LOC4,1245,,0.0,Bundle,1187
2024-08-06,SKU1000,LOC5,1247,,0.0,Bundle,1129
2024-08-07,SKU1000,LOC4,1245,,0.0,Seasonal,1359
2024-08-08,SKU1000,LOC3,1243,,0.0,Flat Off,1171
2024-08-09,SKU1000,LOC4,1246,,0.0,BOGO,1107
2024-08-10,SKU1000,LOC6,1243,1118.0,10.0,BOGO,1272
2024-08-11,SKU1000,LOC2,1245,747.0,40.0,Bundle,1260
2024-08-12,SKU1000,LOC6,1246,,0.0,Bundle,1247
2024-08-13,SKU1000,LOC2,1245,,0.0,Bundle,1261
2024-08-14,SKU1000,LOC4,1242,,0.0,Bundle,1079
2024-08-15,SKU1000,LOC4,1245,,0.0,BOGO,1210
2024-08-16,SKU1000,LOC3,1245,,0.0,Seasonal,1173
2024-08-17,SKU1000,LOC2,1244,,0.0,Seasonal,1257
2024-08-18,SKU1000,LOC2,1247,,0.0,Seasonal,1093
2024-08-19,SKU1000,LOC3,1242,,0.0,Bundle,1190
2024-08-20,SKU1000,LOC3,1245,,0.0,Flat Off,1376
2024-08-21,SKU1000,LOC4,1245,,0.0,BOGO,1274
2024-08-22,SKU1000,LOC5,1246,,0.0,BOGO,1406
2024-08-23,SKU1000,LOC5,1245,,0.0,Seasonal,1420
2024-08-24,SKU1000,LOC4,1245,,0.0,Flat Off,1065
2024-08-25,SKU1000,LOC4,1248,,0.0,Seasonal,1081
2024-08-26,SKU1000,LOC2,1246,,0.0,Flat Off,1279
2024-08-27,SKU1000,LOC2,1245,,0.0,Flat Off,1359
2024-08-28,SKU1000,LOC4,1244,,0.0,Seasonal,1220
2024-08-29,SKU1000,LOC5,1245,,0.0,None,1229
2024-08-30,SKU1000,LOC1,1244,,0.0,None,1428
2024-08-31,SKU1000,LOC3,1245,,0.0,BOGO,1149
2024-09-01,SKU1000,LOC2,1245,,0.0,BOGO,1258
2024-09-02,SKU1000,LOC1,1243,,0.0,Seasonal,1222
2024-09-03,SKU1000,LOC4,1245,,0.0,BOGO,1285
2024-09-04,SKU1000,LOC3,1248,,0.0,Flat Off,1328
2024-09-05,SKU1000,LOC2,1245,,0.0,Seasonal,1388
2024-09-06,SKU1000,LOC4,1245,,0.0,Bundle,1064
2024-09-07,SKU1000,LOC6,1246,,0.0,Flat Off,1190
2024-09-08,SKU1000,LOC1,1245,,0.0,Bundle,1229
2024-09-09,SKU1000,LOC1,1245,,0.0,Bundle,1250
2024-09-10,SKU1000,LOC4,1247,,0.0,None,1370
2024-09-11,SKU1000,LOC5,1244,,0.0,Bundle,1064
2024-09-12,SKU1000,LOC5,1246,,0.0,None,1237
2024-09-13,SKU1000,LOC4,1243,,0.0,BOGO,1347
2024-09-14,SKU1000,LOC1,1249,,0.0,Flat Off,1334
2024-09-15,SKU1000,LOC5,1244,,0.0,Flat Off,1404
2024-09-16,SKU1000,LOC1,1245,,0.0,Flat Off,1228
2024-09-17,SKU1000,LOC6,1247,,0.0,None,1309
2024-09-18,SKU1000,LOC3,1243,,0.0,None,1136
2024-09-19,SKU1000,LOC5,1244,,0.0,Flat Off,1127
2024-09-20,SKU1000,LOC3,1246,,0.0,BOGO,1210
2024-09-21,SKU1000,LOC5,1242,,0.0,BOGO,1367
2024-09-22,SKU1000,LOC2,1245,933.0,25.0,Flat Off,1186
2024-09-23,SKU1000,LOC6,1244,,0.0,Bundle,1105
2024-09-24,SKU1000,LOC3,1245,747.0,40.0,Bundle,1147
2024-09-25,SKU1000,LOC6,1243,,0.0,Flat Off,1225
2024-09-26,SKU1000,LOC5,1249,1124.0,10.0,Seasonal,1064
2024-09-27,SKU1000,LOC1,1241,,0.0,Bundle,1058
2024-09-28,SKU1000,LOC4,1245,,0.0,BOGO,1173
2024-09-29,SKU1000,LOC6,1244,,0.0,Seasonal,1107
2024-09-30,SKU1000,LOC4,1242,,0.0,BOGO,1247
2024-10-01,SKU1000,LOC6,1246,,0.0,BOGO,1358
2024-10-02,SKU1000,LOC3,1247,,0.0,None,1227
2024-10-03,SKU1000,LOC6,1247,,0.0,None,1217
2024-10-04,SKU1000,LOC1,1245,,0.0,None,1320
2024-10-05,SKU1000,LOC2,1242,1117.0,10.0,BOGO,1333
2024-10-06,SKU1000,LOC1,1242,,0.0,None,1269
2024-10-07,SKU1000,LOC1,1245,996.0,20.0,None,1150
2024-10-08,SKU1000,LOC6,1246,,0.0,Seasonal,1205
2024-10-09,SKU1000,LOC1,1246,,0.0,Bundle,1176
2024-10-10,SKU1000,LOC6,1245,,0.0,None,1138
2024-10-11,SKU1000,LOC5,1244,,0.0,Flat Off,1325
2024-10-12,SKU1000,LOC6,1245,,0.0,None,1320
2024-10-13,SKU1000,LOC1,1246,,0.0,Flat Off,1245
2024-10-14,SKU1000,LOC1,1245,,0.0,Seasonal,1299
2024-10-15,SKU1000,LOC2,1245,,0.0,Bundle,1380
2024-10-16,SKU1000,LOC5,1243,,0.0,Seasonal,1137
2024-10-17,SKU1000,LOC1,1242,,0.0,None,1114
2024-10-18,SKU1000,LOC2,1244,,0.0,Seasonal,1166
2024-10-19,SKU1000,LOC5,1244,,0.0,None,1343
2024-10-20,SKU1000,LOC2,1247,,0.0,Flat Off,1066
2024-10-21,SKU1000,LOC2,1242,,0.0,BOGO,1100
2024-10-22,SKU1000,LOC5,1245,,0.0,Flat Off,1388
2024-10-23,SKU1000,LOC4,1246,,0.0,Flat Off,1212
2024-10-24,SKU1000,LOC5,1245,1120.0,10.0,BOGO,1314
2024-10-25,SKU1000,LOC3,1245,,0.0,None,1232
2024-10-26,SKU1000,LOC4,1243,,0.0,Seasonal,1215
2024-10-27,SKU1000,LOC4,1245,996.0,20.0,Bundle,1411
2024-10-28,SKU1000,LOC1,1246,,0.0,BOGO,1402
2024-10-29,SKU1000,LOC5,1245,,0.0,Seasonal,1092
2024-10-30,SKU1000,LOC6,1248,,0.0,BOGO,1353
2024-10-31,SKU1000,LOC4,1243,,0.0,BOGO,1061
2024-11-01,SKU1000,LOC4,1245,,0.0,Seasonal,1216
2024-11-02,SKU1000,LOC6,1245,,0.0,None,1086
2024-11-03,SKU1000,LOC6,1245,,0.0,Bundle,1134
2024-11-04,SKU1000,LOC3,1246,,0.0,Bundle,1227
2024-11-05,SKU1000,LOC4,1246,,0.0,Flat Off,1247
2024-11-06,SKU1000,LOC2,1245,,0.0,None,1334
2024-11-07,SKU1000,LOC2,1242,,0.0,Flat Off,1284
2024-11-08,SKU1000,LOC4,1244,,0.0,Flat Off,1349
2024-11-09,SKU1000,LOC2,1245,,0.0,None,1194
2024-11-10,SKU1000,LOC1,1245,,0.0,BOGO,1334
2024-11-11,SKU1000,LOC2,1248,750.0,40.0,Bundle,1273
2024-11-12,SKU1000,LOC2,1245,,0.0,Seasonal,1151
2024-11-13,SKU1000,LOC3,1245,,0.0,Bundle,1143
2024-11-14,SKU1000,LOC4,1245,,0.0,Bundle,1275
2024-11-15,SKU1000,LOC6,1242,1117.0,10.0,None,1267
2024-11-16,SKU1000,LOC1,1244,,0.0,Seasonal,1410
2024-11-17,SKU1000,LOC3,1245,,0.0,Bundle,1347
2024-11-18,SKU1000,LOC2,1245,,0.0,BOGO,1342
2024-11-19,SKU1000,LOC6,1247,,0.0,Seasonal,1239
2024-11-20,SKU1000,LOC4,1245,,0.0,Seasonal,1187
2024-11-21,SKU1000,LOC3,1245,,0.0,Flat Off,1109
2024-11-22,SKU1000,LOC3,1242,,0.0,None,1170
2024-11-23,SKU1000,LOC4,1241,,0.0,BOGO,1271
2024-11-24,SKU1000,LOC6,1245,,0.0,BOGO,1182
2024-11-25,SKU1000,LOC6,1244,,0.0,BOGO,1279
2024-11-26,SKU1000,LOC5,1246,,0.0,Flat Off,1370
2024-11-27,SKU1000,LOC2,1245,,0.0,Seasonal,1285
2024-11-28,SKU1000,LOC2,1245,,0.0,Flat Off,1345
2024-11-29,SKU1000,LOC4,1241,,0.0,BOGO,1386
2024-11-30,SKU1000,LOC5,1245,,0.0,Flat Off,1348
2024-12-01,SKU1000,LOC5,1244,,0.0,Bundle,1219
2024-12-02,SKU1000,LOC5,1244,,0.0,BOGO,1283
2024-12-03,SKU1000,LOC1,1242,,0.0,BOGO,1431
2024-12-04,SKU1000,LOC6,1243,,0.0,None,1119
2024-12-05,SKU1000,LOC4,1245,,0.0,BOGO,1074
2024-12-06,SKU1000,LOC3,1248,,0.0,Flat Off,1134
2024-12-07,SKU1000,LOC3,1249,,0.0,BOGO,1317
2024-12-08,SKU1000,LOC5,1244,,0.0,Flat Off,1186
2024-12-09,SKU1000,LOC5,1246,,0.0,None,1428
2024-12-10,SKU1000,LOC6,1247,,0.0,Seasonal,1227
2024-12-11,SKU1000,LOC3,1244,,0.0,None,1354
2024-12-12,SKU1000,LOC3,1246,,0.0,None,1377
2024-12-13,SKU1000,LOC1,1247,,0.0,None,1409
2024-12-14,SKU1000,LOC3,1243,,0.0,Flat Off,1207
2024-12-15,SKU1000,LOC4,1245,,0.0,Seasonal,1341
2024-12-16,SKU1000,LOC4,1243,,0.0,BOGO,1077
2024-12-17,SKU1000,LOC4,1245,,0.0,Bundle,1313
2024-12-18,SKU1000,LOC3,1245,,0.0,None,1337
2024-12-19,SKU1000,LOC1,1242,930.0,25.0,BOGO,1402
2024-12-20,SKU1000,LOC5,1248,,0.0,Bundle,1262
2024-12-21,SKU1000,LOC5,1245,1058.0,15.0,Bundle,1269
2024-12-22,SKU1000,LOC6,1243,,0.0,Seasonal,1083
2024-12-23,SKU1000,LOC1,1245,,0.0,Seasonal,1122
2024-12-24,SKU1000,LOC1,1245,,0.0,Flat Off,1382
2024-12-25,SKU1000,LOC4,1245,1245.0,0.0,None,1323
2024-12-26,SKU1000,LOC2,1245,,0.0,Flat Off,1396
2024-12-27,SKU1000,LOC1,1247,,0.0,BOGO,1318
2024-12-28,SKU1000,LOC1,1243,,0.0,Bundle,1403
2024-12-29,SKU1000,LOC4,1245,,0.0,Bundle,1096
2024-12-30,SKU1000,LOC6,1242,,0.0,Flat Off,1159
2024-01-01,SKU1001,LOC4,84,,0.0,BOGO,87
2024-01-02,SKU1001,LOC2,84,,0.0,Seasonal,81
2024-01-03,SKU1001,LOC1,84,71.0,15.0,Flat Off,72
2024-01-04,SKU1001,LOC4,84,71.0,15.0,Flat Off,77
2024-01-05,SKU1001,LOC2,85,,0.0,Flat Off,73
2024-01-06,SKU1001,LOC5,85,,0.0,Bundle,73
2024-01-07,SKU1001,LOC1,83,,0.0,None,83
2024-01-08,SKU1001,LOC6,86,,0.0,None,82
2024-01-09,SKU1001,LOC1,85,,0.0,Flat Off,87
2024-01-10,SKU1001,LOC5,83,,0.0,None,90
2024-01-11,SKU1001,LOC5,84,,0.0,Flat Off,75
2024-01-12,SKU1001,LOC4,84,,0.0,Seasonal,93
2024-01-13,SKU1001,LOC3,84,,0.0,Bundle,75
2024-01-14,SKU1001,LOC2,86,,0.0,BOGO,76
2024-01-15,SKU1001,LOC3,81,,0.0,Bundle,91
2024-01-16,SKU1001,LOC1,85,,0.0,Bundle,83
2024-01-17,SKU1001,LOC5,86,,0.0,Bundle,80
2024-01-18,SKU1001,LOC2,84,,0.0,None,73
2024-01-19,SKU1001,LOC6,80,,0.0,Seasonal,88
2024-01-20,SKU1001,LOC6,82,,0.0,Flat Off,78
2024-01-21,SKU1001,LOC5,83,,0.0,None,75
2024-01-22,SKU1001,LOC6,84,,0.0,BOGO,93
2024-01-23,SKU1001,LOC2,85,,0.0,Flat Off,83
2024-01-24,SKU1001,LOC2,82,,0.0,Bundle,82
2024-01-25,SKU1001,LOC6,84,,0.0,Seasonal,85
2024-01-26,SKU1001,LOC2,81,,0.0,Seasonal,73
2024-01-27,SKU1001,LOC3,86,,0.0,Flat Off,87
2024-01-28,SKU1001,LOC1,82,,0.0,None,94
2024-01-29,SKU1001,LOC5,84,67.0,20.0,None,85
2024-01-30,SKU1001,LOC3,83,,0.0,Bundle,76
2024-01-31,SKU1001,LOC6,84,,0.0,None,85
2024-02-01,SKU1001,LOC3,84,,0.0,Bundle,86
2024-02-02,SKU1001,LOC6,83,,0.0,Bundle,75
2024-02-03,SKU1001,LOC6,85,72.0,15.0,None,83
2024-02-04,SKU1001,LOC1,85,,0.0,Flat Off,77
2024-02-05,SKU1001,LOC1,84,,0.0,None,93
2024-02-06,SKU1001,LOC4,85,,0.0,Flat Off,74
2024-02-07,SKU1001,LOC4,83,,0.0,Seasonal,81
2024-02-08,SKU1001,LOC3,83,,0.0,Bundle,74
2024-02-09,SKU1001,LOC1,81,,0.0,None,77
2024-02-10,SKU1001,LOC4,83,,0.0,Bundle,87
2024-02-11,SKU1001,LOC4,85,,0.0,None,83
2024-02-12,SKU1001,LOC5,85,,0.0,BOGO,94
2024-02-13,SKU1001,LOC6,84,,0.0,BOGO,87
2024-02-14,SKU1001,LOC1,84,,0.0,Flat Off,88
