po_id,sku_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,freight_cost,payment_terms
PO100033,SKU1087,SUP502,2024-03-23,2024-04-09,2024-04-09,916,89.09,Prepaid
PO100034,SKU1007,SUP507,2024-06-12,2024-06-19,2024-06-20,514,172.46,Net45
PO100035,SKU1077,SUP501,2025-05-01,2025-05-19,2025-05-22,808,72.13,Prepaid
PO100036,SKU1015,SUP500,2025-07-01,2025-07-15,2025-07-18,217,52.97,Net30
PO100037,SKU1044,SUP516,2024-05-23,2024-06-14,2024-06-15,315,48.12,Prepaid
PO100038,SKU1047,SUP504,2024-12-26,2025-01-13,2025-01-14,800,119.83,Prepaid
PO100039,SKU1098,SUP500,2024-06-26,2024-07-12,2024-07-13,586,127.8,Prepaid
PO100040,SKU1033,SUP502,2024-08-05,2024-08-10,2024-08-12,106,46.31,Net30
PO100041,SKU1109,SUP505,2024-01-17,2024-01-28,2024-01-29,155,11.86,Net45
PO100042,SKU1086,SUP503,2025-06-22,2025-07-05,2025-07-05,95,98.44,Prepaid
PO100043,SKU1031,SUP501,2025-06-15,2025-06-28,2025-06-28,203,187.97,Prepaid
PO100044,SKU1119,SUP501,2025-09-22,2025-10-07,2025-10-07,808,38.39,Net45
PO100045,SKU1053,SUP507,2024-06-06,2024-06-11,2024-06-12,787,100.64,Net30
PO100046,SKU1034,SUP502,2024-03-01,2024-03-24,2024-03-26,739,180.28,Prepaid
PO100047,SKU1022,SUP507,2023-12-13,2023-12-24,2023-12-24,460,70.81,Prepaid
PO100048,SKU1112,SUP514,2024-01-17,2024-02-08,2024-02-11,368,77.69,Net30
PO100049,SKU1011,SUP517,2024-01-28,2024-02-04,2024-02-06,348,89.05,Net45
PO100050,SKU1100,SUP509,2024-02-24,2024-03-03,2024-03-03,427,186.13,Net45
PO100051,SKU1063,SUP506,2025-07-09,2025-08-02,2025-08-02,865,42.82,Prepaid
PO100052,SKU1019,SUP500,2025-09-20,2025-10-01,2025-10-03,604,28.79,Net30
PO100053,SKU1081,SUP500,2025-03-09,2025-03-24,2025-03-26,723,171.6,Net30
PO100054,SKU1108,SUP509,2024-01-17,2024-01-24,2024-01-25,293,82.63,Net30
PO100055,SKU1062,SUP501,2024-12-02,2024-12-14,2024-12-16,336,27.77,Prepaid
PO100056,SKU1005,SUP507,2025-07-21,2025-08-12,2025-08-12,767,94.68,Net30
PO100057,SKU1058,SUP502,2024-03-31,2024-04-16,2024-04-16,702,155.6,Net30
PO100058,SKU1009,SUP501,2025-02-05,2025-02-18,2025-02-19,292,122.67,Net30
PO100059,SKU1033,SUP510,2025-06-16,2025-07-03,2025-07-04,901,117.6,Net45
PO100060,SKU1041,SUP510,2025-01-08,2025-01-28,2025-01-29,257,145.07,Prepaid
PO100061,SKU1099,SUP503,2024-02-23,2024-03-12,2024-03-12,527,153.02,Net30
PO100062,SKU1052,SUP503,2024-03-16,2024-03-30,2024-03-31,262,165.69,Net30
PO100063,SKU1039,SUP514,2024-12-20,2025-01-08,2025-01-10,211,65.63,Net45
PO100064,SKU1038,SUP501,2024-09-24,2024-10-08,2024-10-09,201,194.1,Prepaid
PO100065,SKU1091,SUP507,2024-06-26,2024-07-11,2024-07-12,100,34.03,Net45
PO100066,SKU1038,SUP508,2024-07-01,2024-07-18,2024-07-20,464,31.35,Net30
PO100067,SKU1071,SUP517,2025-08-28,2025-09-10,2025-09-11,873,88.54,Prepaid
PO100068,SKU1015,SUP500,2025-03-24,2025-04-08,2025-04-09,277,167.31,Prepaid
PO100069,SKU1025,SUP512,2024-12-31,2025-01-22,2025-01-22,710,111.96,Prepaid
PO100070,SKU1074,SUP508,2025-03-09,2025-03-20,2025-03-21,116,71.88,Prepaid
PO100071,SKU1115,SUP514,2023-12-30,2024-01-07,2024-01-09,917,39.9,Net30
PO100072,SKU1015,SUP501,2024-05-31,2024-06-19,2024-06-22,996,141.84,Net45
PO100073,SKU1055,SUP512,2025-09-16,2025-10-03,2025-10-04,486,96.57,Prepaid
PO100074,SKU1045,SUP506,2025-07-15,2025-07-28,2025-07-28,506,128.09,Prepaid
PO100075,SKU1004,SUP507,2024-03-10,2024-03-24,2024-03-26,953,81.59,Net45
PO100076,SKU1061,SUP501,2024-02-12,2024-02-18,2024-02-19,479,138.42,Prepaid
PO100077,SKU1082,SUP516,2024-03-15,2024-03-23,2024-03-23,606,163.12,Prepaid
PO100078,SKU1048,SUP511,2025-01-17,2025-01-27,2025-01-29,402,16.92,Net45
PO100079,SKU1064,SUP510,2024-10-11,2024-10-27,2024-10-27,376,77.72,Net45
PO100080,SKU1028,SUP500,2024-04-01,2024-04-24,2024-04-24,109,150.6,Net30
PO100081,SKU1067,SUP511,2024-06-24,2024-07-15,2024-07-18,213,17.61,Prepaid
PO100082,SKU1031,SUP507,2024-05-20,2024-06-06,2024-06-07,989,11.79,Net45
PO100083,SKU1007,SUP507,2025-05-16,2025-05-28,2025-05-28,447,121.3,Net30
PO100084,SKU1119,SUP505,2025-09-04,2025-09-16,2025-09-18,875,199.39,Net45
PO100085,SKU1089,SUP511,2023-12-05,2023-12-24,2023-12-26,767,158.95,Net30
PO100086,SKU1072,SUP504,2024-08-17,2024-08-31,2024-09-01,879,187.2,Net30
PO100087,SKU1069,SUP509,2024-11-12,2024-11-18,2024-11-20,107,48.99,Prepaid
PO100088,SKU1077,SUP507,2024-10-31,2024-11-11,2024-11-12,389,98.87,Net45
PO100089,SKU1025,SUP504,2024-12-03,2024-12-15,2024-12-16,871,162.5,Net30
PO100090,SKU1007,SUP500,2024-09-13,2024-09-30,2024-10-01,195,97.42,Prepaid
PO100091,SKU1108,SUP516,2024-06-17,2024-07-05,2024-07-06,432,157.92,Net45
PO100092,SKU1084,SUP512,2024-03-31,2024-04-18,2024-04-19,380,104.54,Prepaid
PO100093,SKU1020,SUP513,2024-03-31,2024-04-13,2024-04-13,714,79.36,Net30
PO100094,SKU1022,SUP517,2025-08-18,2025-08-25,2025-08-26,855,163.07,Net30
PO100095,SKU1028,SUP505,2024-12-13,2024-12-20,2024-12-21,351,115.77,Prepaid
PO100096,SKU1022,SUP500,2025-08-30,2025-09-19,2025-09-19,450,58.98,Net45
PO100097,SKU1004,SUP505,2024-11-30,2024-12-23,2024-12-24,676,133.14,Prepaid
PO100098,SKU1081,SUP503,2024-07-17,2024-08-02,2024-08-04,813,26.3,Prepaid
PO100099,SKU1030,SUP511,2024-12-26,2025-01-07,2025-01-09,956,77.78,Prepaid
PO100100,SKU1105,SUP510,2024-04-15,2024-04-23,2024-04-24,305,54.96,Net45
PO100101,SKU1008,SUP511,2025-09-10,2025-09-30,2025-10-02,51,199.66,Prepaid
PO100102,SKU1049,SUP514,2024-11-29,2024-12-12,2024-12-12,955,69.42,Net30
PO100103,SKU1063,SUP512,2024-08-26,2024-09-05,2024-09-05,898,56.5,Net30
PO100104,SKU1100,SUP507,2024-01-10,2024-01-29,2024-02-01,916,29.97,Prepaid
PO100105,SKU1037,SUP500,2025-03-15,2025-03-29,2025-03-29,125,108.25,Net30
PO100106,SKU1021,SUP512,2025-09-03,2025-09-18,2025-09-20,969,141.59,Prepaid
PO100107,SKU1043,SUP515,2025-11-15,2025-12-01,2025-12-01,719,111.47,Prepaid
PO100108,SKU1077,SUP513,2024-11-19,2024-12-11,2024-12-13,260,23.39,Prepaid
PO100109,SKU1052,SUP517,2025-07-11,2025-07-31,2025-08-01,321,152.94,Net45
PO100110,SKU1036,SUP509,2024-06-26,2024-07-17,2024-07-19,635,40.81,Net45
PO100111,SKU1107,SUP515,2024-09-07,2024-09-20,2024-09-21,487,196.98,Prepaid
PO100112,SKU1037,SUP515,2025-07-27,2025-08-08,2025-08-09,224,189.7,Net45
PO100113,SKU1037,SUP502,2025-05-26,2025-05-30,2025-06-01,853,18.82,Net30
PO100114,SKU1060,SUP515,2024-09-09,2024-09-15,2024-09-17,707,24.66,Net45
PO100115,SKU1049,SUP505,2024-03-25,2024-04-17,2024-04-18,241,63.3,Net30
PO100116,SKU1005,SUP508,2025-05-01,2025-05-06,2025-05-06,907,166.32,Net30
PO100117,SKU1072,SUP501,2025-10-28,2025-11-11,2025-11-11,149,148.88,Prepaid
PO100118,SKU1085,SUP511,2025-09-09,2025-09-21,2025-09-23,824,129.55,Net45
PO100119,SKU1029,SUP517,2024-07-19,2024-08-10,2024-08-11,585,173.35,Net30
PO100120,SKU1068,SUP515,2024-03-22,2024-03-31,2024-04-01,356,181.94,Prepaid
PO100121,SKU1050,SUP501,2025-01-09,2025-01-23,2025-01-24,869,152.45,Net45
PO100122,SKU1086,SUP504,2025-03-17,2025-04-08,2025-04-08,227,192.76,Prepaid
PO100123,SKU1027,SUP506,2025-03-21,2025-04-07,2025-04-08,749,105.27,Net30
PO100124,SKU1025,SUP504,2024-04-25,2024-05-15,2024-05-16,982,69.81,Net45
PO100125,SKU1117,SUP502,2025-09-02,2025-09-09,2025-09-09,615,185.22,Net30
PO100126,SKU1109,SUP508,2024-02-13,2024-03-02,2024-03-02,62,37.54,Net45
PO100127,SKU1079,SUP516,2024-06-24,2024-07-03,2024-07-05,203,102.42,Prepaid
PO100128,SKU1072,SUP503,2024-04-21,2024-04-25,2024-04-25,153,164.42,Net30
PO100129,SKU1111,SUP517,2024-03-20,2024-03-27,2024-03-27,320,155.57,Net30
PO100130,SKU1083,SUP515,2024-08-25,2024-09-05,2024-09-05,226,149.52,Net30
PO100131,SKU1051,SUP504,2025-07-22,2025-08-09,2025-08-09,461,108.5,Prepaid
PO100132,SKU1050,SUP510,2024-10-21,2024-11-07,2024-11-09,536,103.23,Net30
PO100133,SKU1114,SUP511,2025-08-27,2025-09-06,2025-09-07,360,189.28,Net30
PO100134,SKU1035,SUP515,2025-04-18,2025-04-23,2025-04-23,939,60.77,Prepaid
PO100135,SKU1017,SUP509,2024-03-15,2024-03-26,2024-03-28,895,30.41,Net30
PO100136,SKU1034,SUP513,2025-08-31,2025-09-20,2025-09-24,502,35.0,Prepaid
PO100137,SKU1116,SUP513,2024-03-06,2024-03-22,2024-03-23,938,173.11,Net30
PO100138,SKU1105,SUP501,2025-05-29,2025-06-11,2025-06-11,368,190.01,Net45
PO100139,SKU1064,SUP512,2024-05-25,2024-06-15,2024-06-16,950,155.28,Net45
PO100140,SKU1003,SUP505,2024-10-12,2024-10-25,2024-10-26,907,99.95,Prepaid
PO100141,SKU1031,SUP501,2024-06-18,2024-06-24,2024-06-25,771,153.2,Prepaid
PO100142,SKU1035,SUP511,2024-08-26,2024-08-31,2024-09-02,700,111.07,Prepaid
PO100143,SKU1087,SUP500,2024-06-16,2024-06-24,2024-06-24,506,137.02,Prepaid
PO100144,SKU1111,SUP515,2024-11-15,2024-12-03,2024-12-03,217,164.36,Net30
PO100145,SKU1095,SUP502,2025-06-05,2025-06-09,2025-06-12,216,58.27,Net45
PO100146,SKU1099,SUP506,2024-06-17,2024-07-05,2024-07-08,743,165.23,Prepaid
PO100147,SKU1034,SUP513,2024-06-09,2024-06-18,2024-06-18,835,163.12,Net45
PO100148,SKU1001,SUP515,2025-08-17,2025-08-25,2025-08-25,665,83.38,Prepaid
PO100149,SKU1028,SUP508,2025-05-26,2025-06-12,2025-06-14,779,33.42,Net45
PO100150,SKU1082,SUP508,2024-07-31,2024-08-10,2024-08-10,407,23.63,Net30
PO100151,SKU1032,SUP506,2025-03-22,2025-04-11,2025-04-11,894,27.97,Net45
PO100152,SKU1050,SUP503,2024-05-07,2024-05-11,2024-05-18,913,29.87,Net30
PO100153,SKU1071,SUP509,2023-11-28,2023-12-02,2023-12-06,115,190.47,Net30
PO100154,SKU1035,SUP510,2025-10-08,2025-10-12,2025-10-12,778,192.75,Net45
PO100155,SKU1038,SUP506,2024-06-12,2024-06-21,2024-06-21,971,103.63,Prepaid
PO100156,SKU1103,SUP512,2025-01-13,2025-01-26,2025-01-27,788,102.62,Prepaid
PO100157,SKU1083,SUP515,2024-04-14,2024-05-05,2024-05-06,478,91.76,Net30
PO100158,SKU1049,SUP501,2025-03-30,2025-04-06,2025-04-07,885,23.68,Prepaid
PO100159,SKU1043,SUP507,2024-02-18,2024-03-10,2024-03-11,537,159.97,Net45
PO100160,SKU1045,SUP516,2025-05-07,2025-05-28,2025-05-28,723,93.95,Net45
PO100161,SKU1023,SUP509,2024-06-05,2024-06-09,2024-06-09,314,78.89,Net45
PO100162,SKU1103,SUP517,2025-03-06,2025-03-15,2025-03-18,746,70.94,Net30
PO100163,SKU1083,SUP502,2025-06-19,2025-07-01,2025-07-01,942,111.1,Net30
PO100164,SKU1053,SUP510,2024-04-24,2024-05-12,2024-05-12,524,46.82,Prepaid
PO100165,SKU1060,SUP501,2024-08-10,2024-08-23,2024-08-24,685,28.59,Prepaid
PO100166,SKU1060,SUP506,2025-08-27,2025-09-08,2025-09-08,440,20.69,Net45
PO100167,SKU1038,SUP513,2025-05-26,2025-06-12,2025-06-15,190,192.51,Prepaid
PO100168,SKU1043,SUP513,2024-07-01,2024-07-15,2024-07-17,518,102.97,Prepaid
PO100169,SKU1040,SUP505,2023-11-23,2023-12-09,2023-12-09,696,33.36,Prepaid
PO100170,SKU1040,SUP501,2024-01-21,2024-01-30,2024-02-05,829,188.72,Prepaid
PO100171,SKU1073,SUP505,2024-07-13,2024-07-21,2024-07-22,140,40.81,Prepaid
PO100172,SKU1078,SUP513,2024-09-25,2024-10-19,2024-10-19,538,154.49,Net30
PO100173,SKU1000,SUP501,2025-06-17,2025-07-07,2025-07-08,64,176.32,Net30
PO100174,SKU1096,SUP516,2024-08-05,2024-08-09,2024-08-10,691,46.96,Net45
PO100175,SKU1031,SUP507,2025-10-29,2025-11-09,2025-11-10,182,120.03,Prepaid
PO100176,SKU1049,SUP516,2024-11-24,2024-12-13,2024-12-16,893,124.79,Prepaid
PO100177,SKU1038,SUP509,2024-11-28,2024-12-18,2024-12-18,586,110.19,Net30
PO100178,SKU1055,SUP504,2024-09-24,2024-10-17,2024-10-17,417,139.85,Prepaid
PO100179,SKU1021,SUP512,2024-08-03,2024-08-25,2024-08-26,184,197.55,Prepaid
PO100180,SKU1093,SUP500,2023-12-04,2023-12-09,2023-12-10,425,28.0,Net45
PO100181,SKU1083,SUP501,2024-04-07,2024-04-26,2024-04-26,839,76.23,Net45
PO100182,SKU1079,SUP501,2024-03-04,2024-03-14,2024-03-16,160,163.95,Net45
PO100183,SKU1107,SUP500,2024-08-11,2024-08-29,2024-09-01,504,34.43,Net30
PO100184,SKU1015,SUP517,2025-02-21,2025-03-02,2025-03-03,260,128.94,Net45
PO100185,SKU1087,SUP500,2024-02-11,2024-02-26,2024-02-27,728,79.09,Net45
PO100186,SKU1034,SUP504,2023-12-01,2023-12-08,2023-12-09,573,73.22,Net45
PO100187,SKU1079,SUP503,2025-03-13,2025-04-02,2025-04-02,559,92.42,Prepaid
PO100188,SKU1077,SUP506,2025-02-11,2025-02-27,2025-02-27,256,166.78,Net30
PO100189,SKU1090,SUP513,2024-07-14,2024-08-07,2024-08-10,558,46.67,Prepaid
PO100190,SKU1088,SUP515,2025-10-22,2025-11-04,2025-11-06,737,45.72,Prepaid
PO100191,SKU1116,SUP503,2024-06-23,2024-07-17,2024-07-17,202,115.32,Prepaid
PO100192,SKU1099,SUP516,2025-01-14,2025-02-01,2025-02-01,976,68.83,Net30
PO100193,SKU1082,SUP507,2024-07-04,2024-07-22,2024-07-24,320,44.85,Net30
PO100194,SKU1006,SUP503,2024-11-19,2024-12-04,2024-12-07,922,16.68,Net30
PO100195,SKU1046,SUP510,2023-11-27,2023-12-04,2023-12-06,921,191.57,Prepaid
PO100196,SKU1001,SUP504,2025-04-13,2025-05-02,2025-05-04,416,133.66,Net30
PO100197,SKU1079,SUP508,2023-11-24,2023-12-08,2023-12-09,884,179.6,Net30
PO100198,SKU1023,SUP503,2025-06-10,2025-06-16,2025-06-17,328,27.86,Net30
PO100199,SKU1088,SUP515,2024-08-14,2024-08-20,2024-08-21,866,58.85,Prepaid
PO100200,SKU1014,SUP504,2024-12-03,2024-12-23,2024-12-26,914,181.27,Prepaid
PO100201,SKU1013,SUP513,2024-11-18,2024-11-22,2024-11-23,632,133.65,Net45
PO100202,SKU1056,SUP505,2024-03-02,2024-03-11,2024-03-12,676,73.87,Prepaid
PO100203,SKU1110,SUP504,2025-09-11,2025-09-30,2025-09-30,958,120.69,Net30
PO100204,SKU1056,SUP501,2024-08-28,2024-09-01,2024-09-02,62,12.43,Net45
PO100205,SKU1111,SUP516,2024-06-06,2024-06-22,2024-06-23,628,36.27,Prepaid
PO100206,SKU1085,SUP510,2024-08-08,2024-08-30,2024-08-31,683,138.95,Prepaid
PO100207,SKU1055,SUP507,2025-06-19,2025-06-23,2025-06-29,706,61.62,Net30
PO100208,SKU1019,SUP517,2024-08-20,2024-09-13,2024-09-13,61,171.56,Net45
PO100209,SKU1119,SUP505,2024-04-22,2024-05-03,2024-05-04,557,194.59,Prepaid
PO100210,SKU1009,SUP515,2023-12-11,2023-12-19,2023-12-20,334,139.48,Prepaid
PO100211,SKU1064,SUP507,2024-05-17,2024-05-27,2024-05-27,886,125.27,Prepaid
PO100212,SKU1010,SUP514,2025-11-14,2025-11-18,2025-11-18,140,52.63,Net30
PO100213,SKU1057,SUP510,2024-04-10,2024-04-26,2024-04-26,719,31.44,Prepaid
PO100214,SKU1013,SUP512,2024-01-30,2024-02-20,2024-02-21,50,55.45,Prepaid
PO100215,SKU1101,SUP509,2024-03-02,2024-03-15,2024-03-16,720,147.02,Net45
PO100216,SKU1058,SUP510,2024-05-27,2024-06-09,2024-06-12,278,126.41,Net30
PO100217,SKU1042,SUP517,2025-05-16,2025-05-20,2025-05-20,783,170.73,Net45
PO100218,SKU1046,SUP514,2025-08-20,2025-08-25,2025-08-25,277,26.08,Prepaid
PO100219,SKU1043,SUP511,2025-10-18,2025-11-09,2025-11-10,348,96.67,Net45
PO100220,SKU1066,SUP511,2024-10-14,2024-11-07,2024-11-09,218,86.88,Net30
PO100221,SKU1017,SUP513,2024-05-15,2024-05-27,2024-05-27,242,176.23,Prepaid
PO100222,SKU1119,SUP512,2025-06-17,2025-07-09,2025-07-11,245,18.87,Net45
PO100223,SKU1043,SUP503,2024-08-10,2024-08-19,2024-08-22,698,118.81,Net45
PO100224,SKU1075,SUP503,2025-08-26,2025-09-02,2025-09-04,724,138.37,Net45
PO100225,SKU1064,SUP504,2024-03-12,2024-03-28,2024-03-29,803,118.99,Prepaid
PO100226,SKU1070,SUP513,2024-05-02,2024-05-19,2024-05-20,570,146.92,Prepaid
PO100227,SKU1088,SUP505,2024-02-23,2024-03-09,2024-03-09,446,168.13,Net45
PO100228,SKU1076,SUP510,2025-03-18,2025-03-27,2025-03-28,673,190.77,Net45
PO100229,SKU1097,SUP507,2024-03-12,2024-03-29,2024-03-30,351,88.3,Net30
PO100230,SKU1103,SUP504,2024-10-27,2024-11-03,2024-11-06,957,137.64,Net45
PO100231,SKU1065,SUP509,2023-12-07,2023-12-31,2024-01-02,371,102.95,Net45
PO100232,SKU1094,SUP517,2025-02-17,2025-03-05,2025-03-06,689,109.15,Net45
PO100233,SKU1037,SUP511,2024-03-24,2024-03-28,2024-03-30,777,171.53,Net45
PO100234,SKU1022,SUP516,2024-05-06,2024-05-26,2024-05-26,777,198.14,Prepaid
PO100235,SKU1097,SUP511,2025-03-23,2025-04-03,2025-04-03,733,199.51,Net45
PO100236,SKU1053,SUP517,2024-08-15,2024-08-23,2024-08-23,877,43.45,Prepaid
PO100237,SKU1066,SUP503,2025-03-02,2025-03-23,2025-03-25,736,137.35,Prepaid
PO100238,SKU1025,SUP508,2025-05-31,2025-06-19,2025-06-22,343,66.21,Net45
PO100239,SKU1032,SUP504,2024-09-12,2024-10-01,2024-10-02,352,56.6,Prepaid
PO100240,SKU1096,SUP517,2023-12-20,2024-01-12,2024-01-13,154,185.99,Net45
PO100241,SKU1111,SUP517,2024-10-11,2024-10-27,2024-10-29,624,141.22,Net30
PO100242,SKU1030,SUP516,2024-04-26,2024-05-17,2024-05-18,344,87.16,Net45
PO100243,SKU1085,SUP501,2024-11-02,2024-11-12,2024-11-13,857,110.19,Net45
PO100244,SKU1040,SUP517,2024-12-08,2024-12-25,2024-12-27,257,72.06,Net45
PO100245,SKU1111,SUP514,2024-08-23,2024-09-08,2024-09-08,771,115.83,Net45
PO100246,SKU1082,SUP511,2025-09-13,2025-09-26,2025-09-27,667,93.28,Prepaid
PO100247,SKU1099,SUP506,2025-08-25,2025-09-02,2025-09-02,749,140.94,Prepaid
PO100248,SKU1023,SUP505,2024-12-20,2024-12-27,2024-12-29,91,158.01,Net30
PO100249,SKU1035,SUP517,2025-07-18,2025-08-08,2025-08-08,916,23.92,Net30
PO100250,SKU1000,SUP510,2025-01-05,2025-01-21,2025-01-23,90,30.93,Prepaid
PO100251,SKU1118,SUP510,2025-08-11,2025-08-23,2025-08-24,690,128.08,Net45
PO100252,SKU1107,SUP509,2024-05-10,2024-05-18,2024-05-18,416,70.15,Prepaid
PO100253,SKU1100,SUP510,2025-06-23,2025-07-02,2025-07-02,583,132.13,Prepaid
PO100254,SKU1100,SUP516,2025-05-16,2025-05-21,2025-05-22,463,155.33,Prepaid
PO100255,SKU1044,SUP507,2025-09-22,2025-10-08,2025-10-08,389,195.12,Net30
PO100256,SKU1037,SUP506,2023-11-17,2023-12-08,2023-12-09,536,152.37,Net45
PO100257,SKU1105,SUP500,2024-10-17,2024-10-25,2024-10-25,296,20.15,Net45
PO100258,SKU1078,SUP507,2024-10-14,2024-10-20,2024-10-20,378,120.13,Net30
PO100259,SKU1117,SUP503,2025-03-18,2025-04-05,2025-04-06,339,155.94,Prepaid
PO100260,SKU1116,SUP516,2025-08-21,2025-09-04,2025-09-04,872,127.96,Net45
PO100261,SKU1057,SUP515,2024-06-28,2024-07-09,2024-07-10,247,177.41,Net30
PO100262,SKU1065,SUP502,2024-04-23,2024-05-15,2024-05-17,841,97.77,Net45
PO100263,SKU1068,SUP500,2025-07-29,2025-08-14,2025-08-15,694,62.68,Prepaid
PO100264,SKU1110,SUP513,2025-08-06,2025-08-10,2025-08-10,898,16.37,Net45
PO100265,SKU1112,SUP513,2025-03-17,2025-04-03,2025-04-05,814,11.24,Net45
PO100266,SKU1019,SUP500,2024-08-14,2024-09-05,2024-09-05,139,27.48,Prepaid
PO100267,SKU1006,SUP505,2025-02-24,2025-03-12,2025-03-12,638,55.04,Prepaid
PO100268,SKU1116,SUP508,2025-06-10,2025-06-23,2025-06-23,464,191.29,Net30
PO100269,SKU1040,SUP500,2024-10-21,2024-10-30,2024-11-03,56,186.86,Net45
PO100270,SKU1092,SUP502,2024-04-11,2024-04-22,2024-04-22,767,117.74,Prepaid
PO100271,SKU1045,SUP516,2024-01-12,2024-01-17,2024-01-17,358,28.26,Net45
PO100272,SKU1011,SUP509,2025-06-04,2025-06-18,2025-06-19,454,163.23,Net45
PO100273,SKU1003,SUP515,2024-08-29,2024-09-05,2024-09-07,814,176.18,Net30
PO100274,SKU1101,SUP517,2025-05-23,2025-06-16,2025-06-17,355,136.4,Net45
PO100275,SKU1113,SUP511,2025-06-01,2025-06-18,2025-06-19,945,138.1,Net45
PO100276,SKU1018,SUP503,2024-01-25,2024-02-16,2024-02-17,453,42.54,Net45
PO100277,SKU1070,SUP502,2024-04-04,2024-04-19,2024-04-19,975,185.07,Net45
PO100278,SKU1044,SUP506,2024-06-07,2024-06-14,2024-06-14,574,140.74,Prepaid
PO100279,SKU1020,SUP505,2024-06-20,2024-07-02,2024-07-04,248,137.24,Prepaid
PO100280,SKU1023,SUP501,2025-05-16,2025-06-06,2025-06-07,612,126.63,Net30
PO100281,SKU1082,SUP517,2024-08-25,2024-09-05,2024-09-09,306,159.71,Prepaid
PO100282,SKU1025,SUP515,2025-07-05,2025-07-27,2025-07-27,737,146.61,Net45
PO100283,SKU1030,SUP503,2025-09-20,2025-09-24,2025-09-25,248,185.51,Net30
PO100284,SKU1062,SUP514,2024-10-14,2024-10-20,2024-10-20,760,74.8,Net45
PO100285,SKU1019,SUP511,2025-04-06,2025-04-16,2025-04-17,222,187.2,Prepaid
PO100286,SKU1040,SUP507,2024-12-20,2024-12-29,2024-12-29,706,177.05,Net30
PO100287,SKU1035,SUP511,2024-11-01,2024-11-19,2024-11-21,948,185.6,Net30
PO100288,SKU1059,SUP514,2023-12-25,2024-01-18,2024-01-19,614,51.67,Prepaid
PO100289,SKU1022,SUP502,2024-02-21,2024-02-28,2024-03-01,193,37.91,Net45
