Date,Product_Category,Product_Name,SKU_Code,Region,Units_Sold,Price_per_Unit,Revenue,Promotion_Flag,Festival_Season,Weather_Temp,Competitor_Price,Social_Sentiment
2023-07-31,Butter & Spreads,Amul Peanut Spread Creamy 200g,57348568,Central,7,46,322,No,No,30.2,56,0.99
2021-08-01,UHT & Long Life,Amul Mithai Mate UHT 200g,93684965,North,14,163,2282,No,No,16.5,144,0.5
2023-08-28,Probiotic & Health Range,Amul Probiotic Dahi 400g,33992976,East,8,249,1992,Yes,No,21.8,231,0.88
2024-07-30,Bakery Items,Amul Chocolate Brownie 100g,58937020,West,5,208,1040,No,No,26.6,248,0.68
2024-09-26,Probiotic & Health Range,Amul Greek Yogurt Blueberry 100g,21365294,East,18,254,4572,No,No,24.5,211,-0.57
2024-09-09,Probiotic & Health Range,Amul Greek Yogurt Strawberry 100g,21750991,South,4,206,824,No,No,25.0,216,0.43
2022-08-15,Bakery Items,Amul Chocolate Donut 80g,28937579,South,15,443,6645,No,Yes,22.2,386,-0.19
2024-09-14,Butter & Spreads,Amul Garlic & Herbs Butter 100g,16267619,South,20,51,1020,No,No,39.3,56,0.29
2022-06-22,Butter & Spreads,Amul Cheese Spread Garlic 200g,93020688,East,9,214,1926,No,No,29.2,227,-0.44
2024-05-09,Dairy Products,Amul Lactose-Free Milk 1L,91017437,South,15,109,1635,No,No,21.9,99,-0.23
2024-03-30,Chocolates,Amul Fruit & Nut Chocolate 150g,16443921,Central,7,155,1085,No,No,36.2,155,0.16
2024-07-10,Bakery & Frozen,Amul Frozen Paneer Tikka 500g,62882309,North,11,228,2508,No,No,28.8,255,-0.84
2021-11-23,UHT & Long Life,Amul Mithai Mate UHT 200g,93684965,North,11,144,1584,Yes,No,10.3,153,-0.1
2023-07-22,Ice Creams,Amul Chocolate Ice Cream 1L,97241768,West,13,277,3601,No,No,32.6,290,0.71
2024-12-23,Snacks & Savories,Amul Spicy Potato Chips 200g,37245757,South,16,51,816,No,No,23.1,46,0.57
2024-08-29,Others,Amul Camel Milk Chocolate 150g,5752287,Central,22,128,2816,No,Yes,33.9,112,-0.79
2020-11-21,Cheese & Cheese Products,Amul Cheese Block 500g,97719922,West,18,454,8172,Yes,No,13.7,450,0.52
2023-07-24,Others,Amul Ice Cream Cake 1kg,25444452,West,12,508,6096,No,No,10.3,483,0.19
2021-12-30,Probiotic & Health Range,Amul Greek Yogurt Blueberry 100g,21365294,South,20,266,5320,No,No,31.2,280,0.54
2023-03-22,Ice Creams,Amul Vanilla Ice Cream 1L,45007361,North,22,141,3102,Yes,Yes,25.5,167,-0.86
2021-07-21,Cheese & Cheese Products,Amul Cheese Slices 200g,92496774,South,12,368,4416,No,No,20.2,394,0.6
2020-09-03,Ice Creams,Amul Kulfi 60ml,68137847,East,10,113,1130,No,No,18.5,104,-0.9
2025-02-20,Bakery Items,Amul Chocolate Brownie 100g,58937020,South,9,203,1827,No,No,30.8,201,0.63
2022-04-15,Snacks & Savories,Amul Veggie Sticks 100g,83950377,South,11,90,990,No,No,22.6,78,-0.65
2024-09-02,Dairy Products,Amul Lactose-Free Milk 1L,91017437,South,13,107,1391,No,No,24.2,103,-0.58
2022-10-25,UHT & Long Life,Amul Taaza UHT Milk 1L,40523156,East,15,163,2445,No,No,35.3,135,0.02
2020-09-07,Butter & Spreads,Amul Cheese Spread Yummy Plain 200g,83734632,Central,25,177,4425,No,No,36.1,189,-0.27
2023-09-06,Bakery & Frozen,Amul Frozen Paratha 400g,70167474,North,15,225,3375,Yes,No,8.1,220,0.94
2025-04-15,Snacks & Savories,Amul Cheesy Corn Puffs 150g,14921131,Central,25,506,12650,No,No,24.2,624,0.31
2021-01-31,Dairy Products,Amul Lactose-Free Milk 1L,91017437,Central,17,105,1785,No,No,37.7,102,-0.44
2020-12-13,Ghee & Cooking Essentials,Amul Buffalo Ghee 1L,11071426,South,9,725,6525,No,No,20.6,667,0.14
2024-05-05,Butter & Spreads,Amul Cheese Spread Red Chilli Flakes 200g,70537390,West,4,63,252,No,No,29.5,60,-0.09
2023-10-25,Butter & Spreads,Amul Butter 100g,80016687,Central,19,187,3553,No,Yes,37.4,179,0.63
2021-04-14,Butter & Spreads,Amul Cheese Spread Garlic 200g,93020688,West,6,182,1092,No,No,27.1,191,-0.22
2021-02-07,Probiotic & Health Range,Amul Greek Yogurt Strawberry 100g,21750991,Central,8,208,1664,No,No,29.7,254,0.11
2023-01-25,Bakery Items,Amul Vanilla Muffin 90g,34223963,Central,7,53,371,No,No,33.3,51,0.88
2021-02-09,Butter & Spreads,Amul Cheese Spread Red Chilli Flakes 200g,70537390,West,11,64,704,No,No,23.4,66,0.33
2021-07-22,Health & Nutrition,Amul Low Fat Yogurt 100g,81837793,South,31,464,14384,No,No,21.2,464,-0.23
2021-11-27,Chocolates,Amul Milk Chocolate 150g,62232487,East,14,113,1582,No,No,33.0,126,-0.49
2020-10-10,UHT & Long Life,Amul Taaza UHT Milk 1L,40523156,West,17,146,2482,No,No,20.9,161,-0.26
2023-09-16,Cheese & Cheese Products,Amul Cheese Block 500g,97719922,East,12,529,6348,No,No,30.3,504,0.51
2024-08-29,Dairy Products,Amul Masti Buttermilk 500ml,26598550,Central,9,93,837,No,Yes,33.3,111,-0.32
2024-10-30,Chocolates,Amul Milk Chocolate 150g,62232487,North,20,114,2280,No,No,29.9,119,-0.51
2021-10-27,Beverages,Amul Kool Flavoured Milk Bottle 200ml,6094027,West,18,116,2088,No,No,34.0,115,0.88
2020-09-25,Bakery & Frozen,Amul Frozen Veggie Burger Patty 500g,70415490,North,8,256,2048,No,No,15.0,249,-0.81
2020-12-19,Beverages,Amul Kool Flavoured Milk Bottle 200ml,6094027,Central,19,131,2489,Yes,No,32.7,109,-0.32
2025-05-03,UHT & Long Life,Amul Cream Tetra Pack 250ml,64829395,Central,11,146,1606,No,No,22.4,141,-0.25
2022-04-21,Health & Nutrition,Amul Fortified Milk 1L,56068016,South,15,616,9240,No,No,20.4,565,-0.46
2021-06-15,Bakery Items,Amul Chocolate Brownie 100g,58937020,North,18,238,4284,Yes,No,14.2,241,-0.12
2021-03-02,Bakery Items,Amul Chocolate Brownie 100g,58937020,Central,9,227,2043,No,No,30.8,225,-0.82
2020-11-16,Snacks & Savories,Amul Veggie Sticks 100g,83950377,North,14,77,1078,No,No,9.2,72,-0.15
2021-07-04,UHT & Long Life,Amul Slim UHT Milk 1L,45319204,North,8,148,1184,No,No,14.3,171,-0.07
2025-07-23,Ice Creams,Amul Kulfi 60ml,68137847,North,14,114,1596,No,No,12.4,122,-0.46
2023-10-11,Snacks & Savories,Amul Masala Peanuts 250g,91980489,East,10,279,2790,No,No,22.5,270,-0.49
2021-01-23,Chocolates,Amul India Twilight Tryst 150g,35651383,North,9,147,1323,No,No,29.3,153,-0.1
2021-09-05,Ice Creams,Amul Butter Scotch Ice Cream 1L,97994268,West,9,307,2763,No,No,18.1,331,0.73
2020-10-10,Beverages,Amul Pro Milk Drink 200g,74913534,West,20,112,2240,No,No,32.2,108,0.41
2022-03-15,Dairy Products,Amul Taaza Milk 1L,16994393,West,13,108,1404,No,No,30.7,107,-0.95
2024-06-20,Ice Creams,Amul Vanilla Ice Cream 1L,45007361,North,29,146,4234,No,No,25.4,142,-0.14
2021-05-22,Health & Nutrition,Amul Protein Shake Chocolate 200ml,57937380,Central,19,597,11343,No,No,32.9,548,-0.62
2022-06-24,Bakery & Frozen,Amul Frozen Cheese Corn Nuggets 400g,18439717,West,3,229,687,No,No,30.4,222,-0.57
2025-07-14,Specialty Products,Amul Basundi 1L,12571772,South,16,422,6752,No,No,38.2,391,0.02
2023-04-02,Others,Amul A2 Cow Milk 1L,80405061,West,10,523,5230,No,No,12.2,540,0.31
2023-01-03,Dairy Products,Amul Fresh Cream 250ml,44564353,Central,7,92,644,Yes,No,24.8,113,-0.36
2024-10-30,Dairy Products,Amul Fresh Cream 250ml,44564353,East,12,90,1080,No,No,15.4,92,0.07
2020-09-13,Others,Amul Butter Cookies 200g,72940877,North,7,544,3808,Yes,No,19.7,564,0.48
2025-06-11,Chocolates,Amul Chocozoo Kids Pack 250g,23548091,East,8,145,1160,Yes,No,19.0,151,-0.03
2020-11-05,Ice Creams,Amul Vanilla Ice Cream 1L,45007361,West,19,162,3078,No,No,16.6,146,-0.57
2024-12-01,Butter & Spreads,Amul Peanut Spread Creamy 200g,57348568,North,15,50,750,Yes,No,25.7,52,-0.33
2025-06-26,UHT & Long Life,Amul Mithai Mate UHT 200g,93684965,North,5,155,775,No,No,10.6,156,-0.02
2023-07-29,Probiotic & Health Range,Amul Probiotic Dahi 400g,33992976,East,5,259,1295,Yes,No,26.6,223,-0.35
2024-12-29,Dairy Products,Amul Gold Milk 1L,25032666,East,19,97,1843,No,No,25.4,103,-0.62
2024-03-29,Chocolates,Amul Almond Bar 40g,82147020,East,22,61,1342,No,Yes,37.8,53,-0.99
2021-01-24,Butter & Spreads,Amul Peanut Spread Crunchy 200g,94900507,East,13,96,1248,No,No,34.7,108,0.82
2024-04-20,Beverages,Amul Kool Rose Milk 200ml,14415647,East,21,109,2289,Yes,Yes,34.0,104,-0.12
2023-05-27,Others,Amul Kool Café Can 250ml,36576395,South,18,450,8100,Yes,No,29.1,452,0.55
2022-02-25,Beverages (New Flavors),Amul Buttermilk Masala 200ml,4664321,North,16,612,9792,No,No,19.8,575,-0.59
2021-08-02,Dairy Products,Amul Fresh Cream 250ml,44564353,East,11,97,1067,No,No,37.1,98,0.32
2023-11-12,Bakery & Frozen,Amul Frozen Paneer Tikka 500g,62882309,North,30,232,6960,No,Yes,17.4,258,-0.76
2022-03-31,Health & Nutrition,Amul Fortified Milk 1L,56068016,Central,10,626,6260,No,No,25.8,654,-0.37
2022-11-17,Probiotic & Health Range,Amul Greek Yogurt Strawberry 100g,21750991,North,11,219,2409,No,No,8.5,215,0.28
2023-02-23,Chocolates,Amul Milk Chocolate 150g,62232487,South,6,123,738,No,No,32.9,126,-0.31
2022-01-09,Snacks & Savories,Amul Cheese Crackers 120g,81997831,East,16,458,7328,No,No,21.9,525,0.59
2020-12-17,Snacks & Savories,Amul Masala Peanuts 250g,91980489,West,12,254,3048,Yes,No,16.9,267,-0.47
2022-06-22,Cheese & Cheese Products,Amul Cheddar Cheese 200g,53074058,South,19,481,9139,No,No,39.5,447,0.82
2025-01-31,Cheese & Cheese Products,Amul Mozzarella Cheese 200g,59239307,North,8,494,3952,No,No,30.5,562,-0.57
2024-11-19,Beverages,Amul Kool Koko 200ml,83184284,Central,8,131,1048,No,No,38.7,111,-0.63
2025-03-13,Health & Nutrition,Amul Protein Shake Chocolate 200ml,57937380,West,30,615,18450,No,Yes,35.7,636,-0.0
2023-08-27,Ice Creams,Amul Cassata Slice 120ml,14909382,South,15,60,900,No,No,32.8,55,-0.69
2022-12-07,Chocolates,Amul Fruit & Nut Chocolate 150g,16443921,South,8,150,1200,Yes,No,26.5,167,-0.99
2021-10-17,Health & Nutrition,Amul Multigrain Dahi 200g,93245593,South,16,150,2400,No,No,24.2,158,0.1
2023-09-05,Probiotic & Health Range,Amul Probiotic Dahi 400g,33992976,East,10,257,2570,No,No,31.1,281,-0.56
2021-08-04,Dairy Products,Amul Taaza Milk 1L,16994393,South,11,91,1001,No,No,33.2,91,0.99
2022-04-27,Dairy Products,Amul Mithai Mate Condensed Milk 400g,11288909,East,14,98,1372,No,No,30.6,114,0.62
2024-09-11,Health & Nutrition,Amul Protein Shake Chocolate 200ml,57937380,North,15,656,9840,No,No,14.1,533,0.99
2023-05-25,Beverages,Amul Kool Saffron Milk 200ml,79195263,North,11,128,1408,No,No,30.8,135,0.82
2022-03-06,Bakery Items,Amul Chocolate Brownie 100g,58937020,West,20,197,3940,No,No,11.9,236,0.7
2025-05-05,Bakery & Frozen,Amul Frozen Cheese Corn Nuggets 400g,18439717,South,9,235,2115,Yes,No,26.9,283,-0.66
2023-10-12,Beverages,Amul Kool Elaichi Milk 200ml,14701085,Central,18,112,2016,No,No,19.3,115,0.63
2021-05-12,Chocolates,Amul Chocozoo Kids Pack 250g,23548091,West,12,158,1896,Yes,No,33.5,136,0.24
2024-01-19,Snacks & Savories,Amul Masala Peanuts 250g,91980489,South,21,240,5040,No,No,32.0,288,-0.05
2020-10-06,Others,Amul Camel Milk Chocolate 150g,5752287,East,20,124,2480,No,No,28.6,135,-0.92
2023-06-03,Health & Nutrition,Amul Protein Shake Chocolate 200ml,57937380,Central,26,658,17108,No,No,21.7,514,-0.99
2023-01-21,Ice Creams,Amul Kulfi 60ml,68137847,East,9,110,990,No,No,29.8,118,0.63
2021-07-03,Cheese & Cheese Products,Amul Cheddar Cheese 200g,53074058,East,14,462,6468,No,No,15.5,441,-0.23
2021-08-04,Dairy Products,Amul Gold Milk 1L,25032666,North,11,109,1199,No,No,20.8,104,-0.04
2022-03-03,Others,Amul Happy Treats Veggie Stix 400g,31256377,North,18,541,9738,No,No,18.9,506,-0.67
2024-11-24,Cheese & Cheese Products,Amul Mozzarella Cheese 200g,59239307,Central,9,540,4860,No,No,19.0,548,0.99
2024-07-13,Beverages,Amul Tru Orange Juice 200ml,26980737,South,12,113,1356,No,No,30.6,99,0.38
2021-05-19,Ice Creams,Amul Cassata Slice 120ml,14909382,East,24,54,1296,No,No,28.1,61,-0.13
2021-09-10,Butter & Spreads,Amul Butter 100g,80016687,Central,23,181,4163,Yes,No,22.5,190,0.08
2021-08-30,Cheese & Cheese Products,Amul Gouda Cheese 200g,78916050,North,13,472,6136,Yes,No,28.6,502,-0.08
2023-12-24,UHT & Long Life,Amul Gold UHT Milk 1L,41910047,South,9,140,1260,No,Yes,20.7,145,-0.49
2025-02-11,Specialty Products,Amul Shrikhand Kesar 500g,43726257,Central,7,374,2618,No,No,29.2,458,0.21
2022-11-11,Others,Amul Camel Milk Chocolate 150g,5752287,West,12,114,1368,No,No,11.4,114,0.23
2023-06-04,UHT & Long Life,Amul Mithai Mate UHT 200g,93684965,East,9,163,1467,No,No,19.1,163,-0.93
2024-09-16,Cheese & Cheese Products,Amul Pizza Cheese 1kg,79666428,West,12,471,5652,No,No,14.4,466,-0.1
2022-09-15,UHT & Long Life,Amul Gold UHT Milk 1L,41910047,East,9,149,1341,No,No,35.6,152,0.11
2023-02-08,Cheese & Cheese Products,Amul Mozzarella Cheese 200g,59239307,West,12,541,6492,No,No,19.8,563,0.34
2023-04-02,Ghee & Cooking Essentials,Amul Pure Ghee 500ml,40563084,South,11,401,4411,No,No,33.8,434,0.76
2025-05-06,Beverages,Amul Tru Apple Juice 200ml,70134094,Central,15,80,1200,Yes,No,24.2,80,0.57
2024-12-06,Ghee & Cooking Essentials,Amul Cooking Butter 500g,206846,West,8,732,5856,Yes,No,17.5,783,-0.75
2023-04-24,Dairy Products,Amul Paneer 200g,18315080,West,18,66,1188,Yes,No,16.3,60,-0.88
2023-01-04,Specialty Products,Amul Basundi 1L,12571772,West,18,413,7434,No,No,35.9,396,0.42
2020-10-03,Butter & Spreads,Amul Peanut Spread Creamy 200g,57348568,West,10,46,460,No,No,14.0,53,0.36
2021-10-09,Specialty Products,Amul Shrikhand Mango 500g,69924743,North,10,432,4320,No,No,22.1,395,0.98
2025-01-24,Ice Creams,Amul Vanilla Ice Cream 1L,45007361,East,11,149,1639,No,No,26.9,169,-0.76
2024-04-01,Beverages,Amul Tru Apple Juice 200ml,70134094,South,24,78,1872,No,Yes,34.4,66,-0.49
2021-06-19,Others,Amul Organic Ghee 500ml,18009972,Central,12,500,6000,No,No,29.7,445,-0.03
2024-01-18,Specialty Products,Amul Shrikhand Kesar 500g,43726257,Central,11,436,4796,No,No,24.8,349,-0.14
2024-05-14,Ice Creams,Amul Cassata Slice 120ml,14909382,North,15,59,885,No,No,28.2,61,0.36
2022-08-11,Specialty Products,Amul Shrikhand Mango 500g,69924743,West,24,361,8664,Yes,Yes,33.4,452,-0.04
2021-10-20,Chocolates,Amul Fruit & Nut Chocolate 150g,16443921,East,8,138,1104,No,No,28.3,144,-0.24
2021-09-06,Ice Creams,Amul Vanilla Ice Cream 1L,45007361,North,11,159,1749,No,No,16.1,154,-0.34
2023-09-14,Cheese & Cheese Products,Amul Pizza Cheese 1kg,79666428,West,12,482,5784,No,No,37.6,448,-0.29
2021-06-11,Beverages (New Flavors),Amul Mango Lassi 250ml,31363198,North,15,598,8970,No,No,29.3,546,-0.98
2020-10-19,Ice Creams,Amul Butter Scotch Ice Cream 1L,97994268,North,10,328,3280,No,No,18.5,271,0.05
2024-12-21,Bakery Items,Amul Butter Croissant 80g,61133075,South,18,178,3204,No,No,20.3,173,-0.81
2022-08-13,Others,Amul Camel Milk 500ml,1148473,Central,8,535,4280,No,No,36.4,503,0.11
2024-04-20,Bakery & Frozen,Amul Frozen Cheese Corn Nuggets 400g,18439717,West,18,235,4230,No,Yes,25.4,270,0.01
2022-10-09,Others,Amul Cheese Tin 500g,82806583,North,5,493,2465,No,No,10.3,530,0.74
2022-05-31,Butter & Spreads,Amul Cheese Spread Garlic 200g,93020688,East,15,190,2850,No,No,34.0,181,0.98
2025-06-03,Chocolates,Amul Almond Bar 40g,82147020,Central,9,53,477,No,No,36.4,51,-0.99
2022-06-16,UHT & Long Life,Amul Cream Tetra Pack 250ml,64829395,East,12,163,1956,No,No,33.4,161,-0.85
2021-03-18,Snacks & Savories,Amul Cheese Crackers 120g,81997831,North,14,486,6804,No,No,23.9,463,0.11
2023-07-14,Dairy Products,Amul Lactose-Free Milk 1L,91017437,West,12,109,1308,No,No,11.1,88,-0.73
2025-06-04,Ghee & Cooking Essentials,Amul Buffalo Ghee 1L,11071426,East,12,740,8880,Yes,No,16.2,709,-0.43
2024-09-06,Ghee & Cooking Essentials,Amul White Butter 500g,54796676,Central,7,822,5754,No,No,24.2,810,-0.36
2022-01-29,Ice Creams,Amul Cassata Slice 120ml,14909382,Central,9,51,459,No,No,36.1,56,0.03
2023-01-23,Beverages (New Flavors),Amul Strawberry Lassi 250ml,71235158,East,23,552,12696,No,No,16.1,657,-0.82
2025-01-06,Bakery Items,Amul Vanilla Muffin 90g,34223963,Central,11,52,572,No,No,23.9,53,-0.03
2024-10-06,Snacks & Savories,Amul Masala Peanuts 250g,91980489,South,16,246,3936,Yes,No,21.7,222,-0.09
2024-12-25,UHT & Long Life,Amul Gold UHT Milk 1L,41910047,Central,9,162,1458,No,Yes,15.5,129,-0.32
2022-04-04,Bakery Items,Amul Chocolate Donut 80g,28937579,South,12,462,5544,No,No,24.7,409,0.03
2022-03-10,Others,Amul Kool Café Can 250ml,36576395,South,12,475,5700,No,No,24.7,465,-0.72
2021-04-25,Ghee & Cooking Essentials,Amul Cow Ghee 1L,71930565,North,27,860,23220,No,No,26.0,888,0.62
2021-11-28,Beverages,Amul Tru Apple Juice 200ml,70134094,South,17,78,1326,No,No,24.3,78,-0.52
2021-09-15,Others,Amul Camel Milk Chocolate 150g,5752287,South,15,132,1980,Yes,No,38.1,119,0.6
2022-01-25,Dairy Products,Amul Fresh Cream 250ml,44564353,South,14,103,1442,No,No,37.4,100,-0.4
2024-10-10,Chocolates,Amul Mystic Mocha Chocolate 150g,71579542,West,11,32,352,No,No,30.1,30,0.18
2024-06-20,Probiotic & Health Range,Amul Greek Yogurt Strawberry 100g,21750991,East,15,215,3225,No,No,33.6,239,0.6
2024-09-10,Health & Nutrition,Amul Low Fat Yogurt 100g,81837793,South,18,460,8280,No,No,26.7,395,-0.76
2021-08-31,Ice Creams,Amul Kesar Pista Ice Cream 1L,24078757,East,26,314,8164,No,No,24.5,304,-0.27
2022-01-12,Others,Amul Camel Milk 500ml,1148473,East,11,490,5390,No,No,18.8,483,-0.13
2022-09-02,Chocolates,Amul Chocozoo Kids Pack 250g,23548091,East,11,138,1518,Yes,No,31.6,151,-0.27
2024-02-05,Probiotic & Health Range,Amul Greek Yogurt Strawberry 100g,21750991,Central,9,231,2079,No,No,20.5,230,-0.83
2021-01-02,Bakery Items,Amul Chocolate Donut 80g,28937579,West,12,395,4740,No,No,25.3,370,0.66
2022-12-25,Bakery Items,Amul Butter Croissant 80g,61133075,South,15,200,3000,No,Yes,23.2,202,-0.36
2022-11-08,Beverages (New Flavors),Amul Choco Milk 200ml,42543602,South,7,286,2002,No,Yes,33.2,330,-0.03
2025-02-02,Chocolates,Amul Almond Bar 40g,82147020,West,7,57,399,No,No,35.0,57,0.94
2022-07-30,Ghee & Cooking Essentials,Amul White Butter 500g,54796676,North,10,746,7460,No,No,7.0,742,0.9
2024-04-08,Snacks & Savories,Amul Cheesy Corn Puffs 150g,14921131,West,22,566,12452,No,No,29.3,590,0.98
2021-02-05,Dairy Products,Amul Fresh Cream 250ml,44564353,North,11,108,1188,Yes,No,20.5,92,0.85
2024-04-13,Snacks & Savories,Amul Cheese Crackers 120g,81997831,East,19,544,10336,No,No,33.7,448,-0.51
2023-08-09,Bakery & Frozen,Amul Frozen Paratha 400g,70167474,Central,9,241,2169,No,No,29.3,277,-0.96
2023-09-17,Dairy Products,Amul Slim & Trim Milk 500ml,64335100,West,21,108,2268,No,Yes,36.7,109,-0.52
2022-01-01,Butter & Spreads,Amul Butter 100g,80016687,East,39,214,8346,No,Yes,26.1,200,-0.5
2022-07-29,Beverages,Amul Kool Flavoured Milk Bottle 200ml,6094027,North,20,111,2220,No,No,33.6,130,-0.48
2023-05-31,Specialty Products,Amul Shrikhand Mango 500g,69924743,North,10,423,4230,Yes,No,5.9,438,-0.65
2023-10-18,Ice Creams,Amul Chocolate Ice Cream 1L,97241768,East,19,302,5738,Yes,No,18.4,314,-0.06
2023-06-22,Bakery Items,Amul Butter Croissant 80g,61133075,West,12,199,2388,Yes,No,28.1,165,0.86
2021-12-12,Butter & Spreads,Amul Peanut Spread Creamy 200g,57348568,North,4,55,220,No,No,26.4,50,0.5
2022-02-23,Others,Amul Cheese Tin 500g,82806583,Central,12,488,5856,No,No,24.3,459,-0.63
2023-08-12,Ice Creams,Amul Strawberry Magic 750ml,16367289,South,8,279,2232,No,No,21.8,323,-0.07
2025-08-24,Ice Creams,Amul Vanilla Ice Cream 1L,45007361,South,24,161,3864,No,No,28.2,168,-0.43
2020-11-30,Ice Creams,Amul Chocolate Ice Cream 1L,97241768,West,8,279,2232,No,No,37.8,341,0.99
2021-03-11,Bakery Items,Amul Chocolate Brownie 100g,58937020,East,15,213,3195,No,No,28.9,204,0.16
2024-09-02,Bakery Items,Amul Chocolate Brownie 100g,58937020,East,12,228,2736,No,No,30.6,219,-0.21
2022-03-01,Butter & Spreads,Amul Cheese Spread Garlic 200g,93020688,North,10,186,1860,No,Yes,19.8,182,-0.06
2024-09-30,Ghee & Cooking Essentials,Amul Cow Ghee 1L,71930565,North,16,831,13296,No,No,33.7,728,-0.13
2023-08-30,Butter & Spreads,Amul Peanut Spread Creamy 200g,57348568,North,12,52,624,No,No,23.5,45,-0.36
2023-12-08,Ghee & Cooking Essentials,Amul Pure Ghee 500ml,40563084,East,25,392,9800,No,No,31.9,374,0.37
2022-12-14,Others,Amul Ice Cream Cake 1kg,25444452,Central,16,464,7424,No,No,38.6,531,0.47
2022-11-21,Bakery & Frozen,Amul Frozen Cheese Corn Nuggets 400g,18439717,Central,12,236,2832,No,No,35.6,287,0.86
2024-02-15,Butter & Spreads,Amul Peanut Spread Crunchy 200g,94900507,South,12,106,1272,Yes,No,36.2,99,-0.12
2025-02-05,Bakery Items,Amul Vanilla Muffin 90g,34223963,West,12,48,576,No,Yes,21.8,54,-0.58
2024-07-20,UHT & Long Life,Amul Taaza UHT Milk 1L,40523156,West,18,141,2538,No,No,14.4,156,0.47
2021-07-04,Beverages,Amul Kool Rose Milk 200ml,14415647,North,15,119,1785,No,No,21.1,127,0.2
2021-09-29,UHT & Long Life,Amul Cream Tetra Pack 250ml,64829395,West,17,136,2312,Yes,No,33.2,140,-0.3
